DateTime,AddedIPs,RemovedIPs
1602527287,149,154
1602529224,112,103
1602531157,160,161
1602533050,156,165
1602534970,116,130
1602536921,184,151
1602538808,107,98
1602540729,729,166
1602542677,780,95
1602544566,148,105
1602546491,171,127
1602548436,184,143
1602550329,96,154
1602552250,140,138
1602554197,89,88
1602556096,123,190
1602558055,117,130
1602559930,97,242
1602561853,136,144
1602563796,95,162
1602565695,115,166
1602567637,112,151
1602569531,225,103
1602571448,132,121
1602573399,220,444
1602575302,422,96
1602577453,172,166
1602579368,111,96
1602581318,114,111
1602583231,101,107
1602585132,160,141
1602587079,173,91
1602588969,100,168
1602590890,167,170
1602592842,105,1176
1602594730,132,327
1602596653,134,118
1602598598,173,187
1602600488,121,132
1602602406,157,1145
1602604361,116,1827
1602606249,174,1422
1602608170,127,1627
1602610118,357,939
1602613000,278,201
1602614889,150,118
1602616807,174,155
1602618761,207,144
1602620651,183,138
1602622568,105,178
1602624523,147,125
1602627395,193,1580
1602629285,119,450
1602631243,102,157
1602633128,118,205
1602635053,113,189
1602636997,94,117
1602638887,154,150
1602640825,385,127
1602642757,209,141
1602644654,160,128
1602646569,98,109
1602648518,161,150
1602650409,116,93
1602652329,117,130
1602654392,153,117
1602656436,137,177
1602658326,92,128
1602660249,145,186
1602662194,137,157
1602664088,236,161
1602666069,175,133
1602667934,230,120
1602669853,206,164
1602671800,259,124
1602673732,268,181
1602675613,146,111
1602677560,161,171
1602679450,128,129
1602681368,440,151
1602683316,129,124
1602685206,160,153
1602687158,201,107
1602689060,155,133
1602690975,199,94
1602692915,151,172
1602694820,100,112
1602696758,189,185
1602698657,145,230
1602700570,437,267
1602702520,1984,182
1602704409,239,128
1602706337,910,232
1602708275,1587,164
1602710171,1639,144
1602712087,652,97
1602714037,118,143
1602715929,98,102
1602717853,139,75
1602719796,159,120
1602722058,226,112
1602724194,132,140
1602726005,76,119
1602728202,144,475
1602730096,209,107
1602732110,160,155
1602733954,101,99
1602735848,638,174
1602737798,93,95
1602739686,109,119
1602741537,107,131
1602743555,206,147
1602745448,125,113
1602747367,110,101
1602749319,136,149
1602751209,107,123
1602753129,153,146
1602755083,116,125
1602757211,133,196
1602759128,126,268
1602761083,119,180
1602762967,114,102
1602764889,154,156
1602766849,159,373
1602768734,125,186
1602770653,127,155
1602772604,186,102
1602774488,1442,191
1602776417,116,199
1602778365,154,136
1602780258,152,84
1602782166,154,175
1602784126,112,151
1602786009,146,121
1602787961,130,103
1602789848,110,618
1602791767,195,1917
1602793721,314,1455
1602796601,726,2310
1602798498,613,610
1602800407,576,114
1602802358,565,98
1602804251,613,127
1602806167,630,157
1602808085,673,219
1602810026,674,122
1602811962,531,124
1602813851,129,128
1602815770,90,120
1602817728,66,275
1602819606,85,154
1602821531,118,98
1602823478,96,632
1602825369,122,98
1602827289,663,102
1602829237,336,168
1602831129,86,157
1602833049,141,129
1602834998,357,110
1602836890,141,148
1602838824,365,105
1602840759,3802,162
1602842925,4119,139
1602844819,2619,97
1602846974,2362,162
1602848895,1893,114
1602850844,1019,143
1602852734,81,126
1602854654,159,146
1602856606,140,106
1602858490,93,152
1602860428,131,117
1602862364,95,1390
1602864252,924,142
1602866175,898,121
1602868125,756,156
1602870010,916,85
1602871936,313,156
1602873883,95,131
1602875771,94,120
1602877692,94,192
1602879640,109,164
1602881544,95,393
1602883457,87,528
1602885398,96,580
1602887291,182,475
1602889230,147,531
1602891168,140,654
1602893059,147,548
1602894973,135,604
1602896941,137,653
1602898812,115,358
1602900734,170,115
1602902681,186,103
1602904570,165,71
1602906492,264,88
1602908437,522,135
1602910332,790,97
1602912257,481,122
1602914202,505,743
1602916091,707,134
1602918261,693,152
1602920174,781,442
1602922128,1027,310
1602924016,422,116
1602925934,524,345
1602927880,510,4663
1602929771,161,2470
1602931688,125,2262
1602933641,162,1597
1602935532,162,1632
1602937452,259,743
1602939398,167,91
1602941385,170,190
1602943233,184,99
1602945132,155,105
1602947084,323,127
1602948978,391,94
1602950893,222,87
1602952848,108,181
1602954748,174,90
1602956656,170,100
1602958602,156,76
1602960491,153,93
1602962415,136,405
1602964365,202,1923
1602966253,172,1288
1602968171,254,1468
1602970117,1604,1332
1602972029,1373,113
1602973933,1253,182
1602975899,1547,158
1602977769,511,109
1602979695,71,158
1602981643,98,135
1602983539,95,120
1602985452,97,136
1602987401,82,167
1602989292,78,164
1602991212,77,164
1602993164,79,447
1602995053,69,498
1602996971,70,729
1602998919,81,576
1603000825,68,521
1603002730,84,754
1603004678,88,701
1603006569,95,813
1603008492,86,710
1603010439,101,478
1603012331,91,516
1603014250,96,552
1603016200,98,177
1603018093,86,136
