DateTime,AddedIPs,RemovedIPs
1602340366,2,2
1602342260,1,2
1602344172,1,3
1602346120,1,3
1602348013,1,0
1602357609,1,2
1602361481,1,1
1602363369,1,0
1602365533,1,2
1602367453,3,2
1602369397,2,2
1602371292,0,1
1602373211,0,2
1602377050,3,1
1602378967,0,2
1602380916,0,1
1602382812,3,0
1602384732,2,1
1602386679,0,2
1602388567,3,2
1602390486,1,2
1602392579,2,3
1602394600,0,2
1602396491,3,1
1602398414,1,0
1602402251,1,1
1602404167,0,1
1602406119,1,1
1602408009,1,1
1602409931,0,2
1602411876,0,1
1602413771,1,0
1602415688,0,1
1602421711,1,1
1602423644,0,2
1602425594,1,2
1602427470,0,3
1602429677,1,0
1602431562,0,3
1602433482,1,1
1602439274,1,0
1602443055,0,1
1602446986,1,1
1602448863,1,0
1602450822,0,2
1602452682,0,3
1602454594,1,1
1602456554,0,1
1602458447,1,0
1602460375,2,0
1602462302,0,2
1602464198,1,1
1602468080,0,3
1602469953,0,3
1602471889,0,1
1602473829,0,2
1602475735,0,1
1602477638,0,2
1602479685,3,1
1602481713,1,1
1602483608,0,1
1602485775,0,1
1602487691,1,0
1602489665,2,1
1602491534,1,1
1602495400,0,1
1602499212,0,1
1602501402,2,0
1602503291,2,0
1602505211,1,0
1602507161,19,1
1602509053,1,0
1602510999,2,0
1602512889,2,1
1602514822,3,0
1602516766,2,2
1602518653,1,0
1602520571,2,1
1602522524,1,0
1602524410,0,1
1602528275,1,0
1602530171,1,0
1602532088,2,0
1602534037,0,1
1602535928,0,1
1602537857,1,0
1602539795,2,0
1602541690,3,2
1602543627,2,1
1602547450,3,2
1602551326,1,0
1602555168,4,0
1602557052,1,0
1602564730,0,1
1602566652,0,2
1602568570,0,1
1602570515,1,0
1602572427,2,0
1602574330,1,2
1602576285,0,2
1602578169,1,1
1602580092,1,0
1602582044,1,0
1602583933,2,0
1602587801,0,2
1602589686,2,2
1602591609,1,1
1602593560,1,19
1602595454,5,1
1602597370,3,2
1602599317,0,2
1602602197,2,3
1602604085,1,2
1602606006,2,0
1602607957,1,2
1602609848,1,1
1602611766,2,0
1602613720,2,0
1602616600,0,2
1602618487,0,2
1602622355,2,0
1602624251,1,1
1602626166,0,2
1602628115,0,3
1602630025,1,2
1602631956,1,0
1602633848,0,2
1602637724,0,1
1602639608,3,0
1602641530,1,4
1602643477,3,1
1602645366,1,0
1602647531,1,0
1602649455,1,0
1602657162,1,1
1602659052,0,2
1602660974,1,1
1602664810,0,1
1602666763,1,2
1602668653,1,0
1602670571,2,2
1602672521,1,0
1602676333,2,2
1602678281,2,1
1602680170,1,1
1602682090,0,4
1602684043,5,3
1602685932,1,0
1602687879,0,2
1602689773,1,1
1602691699,1,1
1602693643,1,0
1602695777,1,2
1602697691,2,2
1602699637,0,1
1602703452,1,0
1602707289,1,1
1602709234,0,1
1602711160,1,1
1602713060,1,0
1602716923,1,2
1602720835,0,1
1602723022,2,0
1602727354,2,3
1602729231,1,1
1602731085,2,1
1602734896,1,1
1602736813,4,2
1602742568,1,0
1602746436,0,1
1602748346,1,0
1602750250,2,0
1602754093,2,1
1602756029,1,2
1602757935,1,0
1602759854,4,1
1602761806,2,1
1602763695,0,3
1602765612,3,0
1602767566,3,1
1602769450,1,3
1602771613,4,3
1602773528,2,0
1602775488,0,1
1602777375,2,6
1602779289,0,2
1602783138,0,2
1602785051,1,0
1602789137,1,1
1602791056,3,0
1602793005,0,1
1602794891,2,0
1602798768,0,2
1602800652,1,0
1602802573,0,1
1602806443,1,0
1602808370,0,1
1602810263,0,1
1602814128,5,2
1602816013,0,1
1602817934,0,3
1602821771,1,2
1602823687,0,4
1602829465,1,1
1602833290,1,1
1602836165,1,2
1602840034,2,1
1602841928,1,2
1602843852,2,1
1602845800,1,3
1602847687,0,2
1602849620,1,1
1602851559,0,1
1602853448,1,3
1602855368,0,1
1602857318,1,4
1602859207,2,1
1602861374,2,1
1602863286,2,1
1602865239,1,0
1602867131,1,1
1602870995,0,1
1602872887,1,1
1602875773,3,1
1602877694,1,3
1602879647,1,1
1602881545,0,1
1602885400,0,1
1602887292,1,0
1602891169,1,1
1602894974,1,0
1602898814,4,1
1602900735,0,4
1602902682,3,0
1602906493,2,0
1602908438,1,1
1602912258,1,0
1602914203,2,1
1602916092,1,0
1602918263,3,1
1602920175,1,0
1602922129,1,1
1602924017,0,1
1602925935,1,2
1602929772,2,1
1602931689,3,2
1602933643,1,1
1602935533,1,1
1602939399,0,1
1602941386,1,0
1602945133,2,3
1602947085,1,0
1602948979,0,4
1602950894,1,0
1602952849,2,1
1602954750,1,1
1602956657,1,0
1602958603,1,0
1602960492,0,2
1602962416,0,1
1602964366,0,1
1602966254,0,1
1602972045,4,0
1602973935,1,1
1602977770,0,1
1602979696,1,1
1602981644,1,1
1602983540,0,1
1602985453,0,3
1602987402,1,1
1602989293,1,2
1602991213,1,0
1602993166,0,2
1602995054,1,0
1602996972,0,1
1602998921,3,0
1603000845,0,2
1603002731,1,1
1603004680,0,3
1603006570,0,1
1603008493,2,1
1603010440,2,0
1603012332,1,1
1603014251,1,0
1603016201,1,1
1603018094,2,3
1603020009,1,1
1603021995,2,1
1603023852,1,0
1603027723,1,0
1603031569,1,3
1603033456,0,1
1603037328,2,1
1603039214,1,2
1603041135,0,1
1603043083,0,2
1603044972,1,1
1603046890,1,0
1603048842,5,0
1603052655,2,0
1603054604,1,0
1603058432,2,4
1603060367,0,1
1603062260,1,0
1603064177,1,0
1603066122,1,1
1603068017,0,1
1603071858,2,0
1603073773,1,1
1603075724,1,1
1603077611,0,1
1603079567,1,0
1603081456,0,2
1603085291,2,3
1603087231,1,0
1603089162,1,1
1603091058,1,0
1603094937,0,2
1603096812,0,2
1603100685,0,1
1603102575,0,1
1603104494,2,2
1603106441,2,1
1603108338,2,2
1603110257,2,1
1603112199,1,0
1603114092,0,1
1603116274,1,0
1603118170,0,1
1603122020,3,0
1603123934,1,1
1603125885,1,0
1603127771,1,0
1603129696,1,1
1603131639,1,1
1603133541,1,3
1603135454,0,3
1603137402,2,0
1603139289,0,3
1603142168,1,0
1603144088,1,1
1603146039,1,1
