DateTime,AddedIPs,RemovedIPs
1602522525,4,10
1602524410,7,2
1602526337,6,4
1602528276,9,2
1602530172,3,4
1602532089,8,6
1602534038,2,11
1602535929,6,2
1602537857,3,3
1602539796,5,6
1602541690,3,5
1602543637,9,4
1602545564,5,8
1602547451,71,5
1602549370,1,3
1602551326,7,4
1602553215,4,5
1602555169,7,4
1602557052,1,5
1602558970,6,130
1602560921,3,5
1602562809,2,5
1602564730,7,4
1602566653,4,4
1602568571,8,5
1602570515,4,11
1602572434,9,6
1602574330,6,4
1602576286,9,1
1602578170,8,6
1602580093,5,8
1602582045,9,10
1602583933,9,7
1602585849,7,6
1602587801,5,10
1602589687,7,5
1602591610,6,2
1602593561,10,7
1602595454,10,9
1602597371,2,7
1602599317,7,7
1602601227,3,9
1602603133,4,18
1602605080,8,5
1602606972,2,5
1602609138,11,4
1602611052,11,8
1602613001,3,7
1602614891,9,8
1602616809,7,2
1602618763,10,8
1602620653,9,2
1602622570,11,7
1602624525,5,2
1602626446,4,5
1602628331,6,5
1602630291,6,7
1602632171,2,5
1602634127,6,71
1602636011,2,1
1602637934,2,7
1602639882,24,4
1602641775,300,7
1602643693,7,2
1602645640,5,5
1602647531,6,3
1602649456,4,3
1602651403,11,8
1602653291,6,2
1602655231,6,8
1602657162,4,7
1602659052,3,8
1602660974,6,4
1602662925,7,10
1602664811,8,7
1602666763,6,7
1602668654,8,9
1602670571,65,7
1602672522,5,7
1602674408,7,6
1602676333,11,8
1602678282,3,4
1602680171,157,10
1602682091,126,12
1602684043,4,2
1602685933,7,6
1602687880,5,3
1602689773,8,3
1602691699,7,8
1602693643,4,3
1602695777,5,11
1602697691,7,10
1602699638,7,5
1602701531,5,8
1602703452,5,6
1602705398,7,10
1602707289,7,11
1602709238,4,10
1602711160,8,4
1602713060,7,5
1602714975,2,6
1602716923,2,5
1602718816,11,3
1602720835,6,6
1602723022,6,1
1602725184,2,3
1602727355,4,283
1602729231,3,44
1602731085,126,5
1602732973,10,5
1602734896,7,4
1602736814,3,9
