DateTime,AddedIPs,RemovedIPs
1602526338,14,11
1602528279,26,40
1602530174,16,21
1602532090,13,9
1602534040,12,29
1602535930,14,10
1602537859,12,11
1602539798,23,14
1602541691,15,15
1602543650,15,17
1602545565,13,6
1602547453,18,13
1602549372,13,14
1602551328,8,16
1602553217,10,12
1602555171,15,9
1602557054,12,14
1602558971,9,23
1602560922,12,9
1602562811,13,14
1602564732,7,17
1602566654,13,8
1602568573,6,13
1602570517,7,8
1602572452,11,20
1602574333,10,15
1602576288,12,14
1602578171,7,10
1602580094,10,14
1602582046,21,12
1602583935,18,12
1602585851,16,13
1602587803,15,9
1602589688,20,10
1602591611,9,409
1602593562,14,828
1602595456,18,9
1602597373,11,12
1602599319,12,10
1602601239,8,14
1602603135,11,2657
1602605082,8,2052
1602606973,14,2012
1602609140,19,2391
1602611054,20,215
1602613003,23,24
1602614893,16,22
1602616810,16,18
1602618764,25,20
1602620654,23,17
1602622572,21,19
1602624526,19,19
1602626448,18,25
1602628332,19,19
1602630292,16,20
1602632173,14,21
1602634128,26,21
1602636013,14,19
1602637935,9,12
1602639883,20,15
1602641777,15,18
1602643695,16,15
1602645641,26,8
1602647532,9,17
1602649458,23,10
1602651405,19,16
1602653292,20,9
1602655234,18,10
1602657163,15,13
1602659053,15,12
1602660976,7,14
1602662926,20,11
1602664812,11,10
1602666765,11,18
1602668656,21,25
1602670572,9,19
1602672523,17,21
1602674409,8,26
1602676334,11,23
1602678283,15,10
1602680173,14,19
1602682092,18,23
1602684044,13,12
1602685934,138,12
1602687881,14,13
1602689775,17,12
1602691700,14,4
1602693644,16,16
1602695779,13,16
1602697693,117,17
1602699640,30,20
1602701532,2008,15
1602703454,1279,13
1602705399,300,18
1602707291,1877,19
1602709246,2161,17
1602711164,1646,18
1602713062,12,15
1602714976,10,17
1602716925,9,12
1602718817,13,10
1602720836,125,16
1602723023,20,11
1602725186,17,11
1602727356,14,15
1602729233,9,11
1602731087,15,16
1602732975,14,13
1602734898,8,12
1602736815,11,14
1602738740,6,10
1602740683,16,19
1602742570,9,9
1602744500,30,14
1602746439,9,8
1602748348,13,13
1602750252,19,10
1602752209,16,19
1602754096,10,10
1602756038,7,10
1602757937,12,11
1602759857,17,2
1602761808,15,15
1602763697,21,7
1602765614,15,10
1602767568,17,12
1602769452,7,15
1602771615,11,6
1602773530,19,66
1602775489,17,16
1602777378,5,17
1602779291,5,14
1602781323,8,6
1602783140,11,69
1602785053,5,10
1602787253,9,16
1602789139,10,15
1602791058,8,2593
1602793006,18,2234
1602794892,10,2036
1602796811,14,2099
1602798770,12,431
1602800653,18,12
1602802575,15,19
1602804525,21,9
1602807370,33,140
1602809287,18,19
1602811242,9,18
1602813132,9,18
1602815053,14,15
1602817002,16,20
1602818891,12,15
1602821772,17,21
1602823688,17,11
