DateTime,AddedIPs,RemovedIPs
1602530174,22,32
1602532091,14,24
1602534041,16,32
1602535931,15,16
1602537860,15,18
1602539798,22,16
1602541692,22,22
1602543654,18,21
1602545566,16,6
1602547453,19,14
1602549373,17,15
1602551328,9,18
1602553217,18,18
1602555171,22,12
1602557055,12,16
1602558972,21,23
1602560923,27,11
1602562811,16,14
1602564732,7,19
1602566656,15,10
1602568574,8,12
1602570517,24,13
1602572457,18,22
1602574334,16,18
1602576289,15,17
1602578172,8,13
1602580095,13,16
1602582047,21,17
1602583936,19,18
1602585852,19,16
1602587804,21,12
1602589689,23,20
1602591612,13,416
1602593563,16,825
1602595456,24,25
1602597373,15,19
1602599319,16,57
1602601244,10,21
1602603136,17,2646
1602605082,12,2042
1602606974,16,2008
1602609140,27,2387
1602611055,98,224
1602613003,22,28
1602614893,26,27
1602616810,23,25
1602618764,28,24
1602620655,29,19
1602622572,25,20
1602624526,26,23
1602626449,21,26
1602628333,21,29
1602630293,21,22
1602632173,16,25
1602634129,29,21
1602636013,22,26
1602637936,10,13
1602639884,23,25
1602641777,19,23
1602643695,23,16
1602645642,30,29
1602647533,11,27
1602649459,24,14
1602651405,23,17
1602653293,23,12
1602655235,20,11
1602657164,20,40
1602659054,18,21
1602660977,12,22
1602662927,25,13
1602664813,15,14
1602666765,15,19
1602668658,29,25
1602670572,12,20
1602672524,19,29
1602674410,11,33
1602676335,21,31
1602678283,19,13
1602680173,18,19
1602682092,22,29
1602684045,17,17
1602685935,141,17
1602687882,18,14
1602689776,19,19
1602691701,16,8
1602693645,23,19
1602695780,19,24
1602697693,117,19
1602699640,30,20
1602701533,2006,102
1602703455,1275,20
1602705400,301,21
1602707291,1881,24
1602709248,2159,19
1602711165,1641,25
1602713063,17,18
1602714977,13,18
1602716925,14,17
1602718818,17,10
1602720837,125,24
1602723024,23,15
1602725186,20,13
1602727357,17,20
1602729233,16,15
1602731088,17,23
1602732976,18,15
1602734899,9,12
1602736817,13,17
1602738741,16,13
1602740684,21,21
1602742571,10,10
1602744501,31,19
1602746439,10,11
1602748350,13,16
1602750253,22,12
1602752210,20,23
1602754096,13,16
1602756041,8,15
1602757937,17,12
1602759858,21,5
1602761810,15,22
1602763697,22,11
1602765615,20,11
1602767568,22,17
1602769453,12,18
1602771615,14,10
1602773531,19,71
1602775490,17,18
1602777379,11,19
1602779292,20,17
1602781338,12,9
1602783141,11,69
1602785053,8,11
1602787254,9,16
1602789139,13,19
1602791058,11,2587
1602793007,19,2232
1602794893,15,2036
1602796811,19,2094
1602798771,13,436
1602800653,26,16
1602802577,30,20
1602804525,24,11
1602806457,29,27
1602808371,11,130
1602810265,25,23
1602812176,12,26
1602814129,12,19
1602816014,17,17
1602817934,20,23
1602819885,12,28
1602821772,17,9
1602823689,25,16
1602825644,17,25
1602827532,13,18
1602829467,21,14
1602831400,12,27
1602833291,11,20
1602835252,24,20
1602837164,16,24
1602839054,182,20
1602840975,10,12
1602842927,65,17
1602844821,16,20
1602846977,18,28
1602848897,25,16
1602850846,11,26
1602852736,19,30
1602854656,27,17
1602856608,16,16
1602858492,18,10
1602860472,14,23
1602862366,15,19
1602864254,2528,9
1602866177,2171,31
1602868128,1850,5
1602870013,2293,12
1602871939,565,31
1602873885,11,6
1602875775,18,11
1602877697,13,12
1602879651,19,18
1602881548,14,12
1602883461,16,13
1602885402,19,11
1602887295,28,26
1602889296,11,23
1602891172,19,26
1602893063,17,22
1602894977,17,11
1602896945,26,16
1602898816,17,11
1602900737,15,10
1602902685,18,14
1602904574,11,16
1602906495,7,4
1602908441,21,19
1602910335,77,21
1602912261,8,12
1602914206,10,10
1602916094,17,16
1602918266,21,6
