DateTime,AddedIPs,RemovedIPs
1602458893,1,0
1602460880,1,0
1602470415,0,1
1602472364,1,0
1602474254,1,0
1602476176,0,2
1602478119,3,0
1602480013,0,2
1602483883,1,1
1602485780,1,1
1602487696,0,2
1602489695,1,2
1602491539,0,1
1602493463,1,0
1602495406,0,2
1602497300,1,0
1602499218,2,0
1602501408,0,2
1602503297,0,1
1602505216,0,1
1602509057,3,0
1602511006,0,1
1602512895,0,1
1602514907,1,0
1602518660,1,1
1602520576,1,1
1602522529,1,1
1602524414,0,3
1602526341,0,2
1602528283,2,2
1602530176,1,0
1602532093,1,0
1602534043,0,1
1602535934,1,2
1602537863,1,0
1602539801,0,1
1602543682,1,0
1602545568,0,1
1602547456,0,1
1602553220,1,0
1602555174,2,0
1602557058,1,0
1602558974,0,1
1602560926,2,1
1602562814,1,0
1602564735,0,2
1602568576,1,0
1602570520,5,1
1602572491,0,1
1602576292,0,1
1602580098,1,1
1602582049,2,0
1602583938,2,2
1602585854,2,1
1602587806,1,0
1602589692,2,0
1602593566,4,0
1602595459,1,3
1602597375,1,0
1602601280,2,1
1602603139,3,0
1602605085,2,1
1602606976,1,1
1602609143,0,1
1602611058,7,0
1602613005,1,1
1602614895,1,3
1602616813,3,0
1602618766,0,1
1602620658,2,0
1602622575,1,1
1602624528,0,1
1602626451,1,0
1602628336,0,1
1602634131,1,0
1602639887,0,1
1602641779,1,2
1602643697,1,1
1602647537,0,2
1602649461,0,1
1602653295,2,0
1602655240,1,2
1602657167,1,4
1602659056,1,0
1602660980,2,0
1602662929,3,0
1602664816,3,0
1602666767,4,1
1602668661,1,2
1602670575,3,2
1602672526,0,2
1602674412,1,1
1602676338,1,2
1602680176,3,4
1602682095,3,1
1602684047,0,1
1602685938,6,0
1602687885,2,2
1602689779,4,3
1602691704,4,2
1602693647,9,1
1602695783,1,0
1602697696,5,3
1602699651,4,1
1602701535,6,4
1602703457,5,3
1602705402,4,0
1602707293,7,3
1602709270,5,1
1602711168,10,0
1602713065,5,1
1602714979,4,0
1602716928,11,0
1602718821,1,0
1602720839,14,1
1602723026,12,0
1602725188,10,0
1602727360,7,0
1602729235,11,2
1602731090,5,0
1602732978,9,0
1602734902,6,0
1602736819,16,0
1602738743,14,0
1602740686,12,3
1602742574,14,0
1602744504,6,1
1602746441,12,1
1602748352,10,3
1602750255,6,4
1602752214,5,3
1602754099,6,3
1602756048,14,2
1602757940,11,1
1602759862,12,0
1602761813,16,2
1602763701,13,0
1602765617,13,0
1602767570,16,5
1602769455,5,1
1602771618,21,2
1602773533,10,6
1602775492,17,1
1602777381,11,5
1602779294,22,5
1602781363,11,6
1602783402,21,5
1602785289,8,4
1602787257,12,7
1602789142,13,3
1602791060,5,5
1602793010,12,7
1602794895,5,4
1602796813,9,7
1602798774,10,9
1602800656,6,5
1602802579,6,6
1602804527,4,6
1602806489,10,9
1602808373,7,11
1602810268,7,7
1602812178,7,8
1602814131,2,9
1602816016,8,8
1602817936,1,3
1602819887,12,10
1602821774,1,11
1602823691,4,17
1602825646,7,13
1602827534,4,9
1602829470,3,12
1602831403,7,6
1602833293,8,13
1602835285,6,8
1602837166,5,6
1602839056,4,4
1602840977,4,11
1602842929,8,9
1602844824,7,16
1602846980,3,12
1602848899,4,15
1602850847,7,11
1602852738,11,18
1602854658,4,9
1602856610,3,8
1602858494,7,9
1602860510,7,16
1602862368,4,17
1602864257,4,5
1602866180,4,25
1602868130,6,13
1602870016,2,16
1602871942,5,8
1602873888,4,12
1602875777,3,11
1602877699,1,8
1602879655,4,9
1602881550,4,7
1602883463,2,8
1602885404,4,10
1602887296,4,5
1602889329,4,7
1602891174,2,4
1602893065,1,10
1602894980,0,7
1602896954,6,7
1602898818,0,6
1602900739,3,3
1602902688,7,7
1602904576,5,1
1602906497,4,12
1602908444,1,16
1602910338,7,5
1602912264,4,7
1602914209,4,4
1602916097,4,3
1602918268,5,9
1602920181,1,8
1602922134,1,4
1602924022,4,7
1602925939,0,3
1602927886,2,5
1602929777,3,8
1602931693,0,7
1602933647,3,1
1602935537,2,5
1602937458,2,9
1602939403,4,8
1602941390,3,4
1602943240,6,4
1602945137,2,6
1602947090,2,9
1602948983,1,2
1602950899,3,5
1602952853,2,3
1602954754,1,5
1602956662,2,2
1602958608,0,5
1602960499,3,4
1602962422,1,3
1602964371,2,1
1602966259,2,4
1602968177,3,4
1602970123,0,2
1602972055,0,4
1602973940,0,4
1602975906,5,4
1602977775,1,2
1602979702,1,1
1602981648,2,3
1602983545,0,3
1602985458,2,2
1602987406,1,1
1602989297,0,7
1602991218,0,6
1602993170,2,3
1602995059,0,1
1602996979,1,2
1602998925,0,4
1603000904,1,5
1603002737,0,3
1603004685,0,5
1603006575,0,1
1603008498,1,1
1603010445,2,4
1603012336,2,0
1603014256,4,2
1603016206,1,3
1603018100,4,0
1603020014,3,3
1603021999,7,2
1603023857,3,2
1603025780,1,4
1603027728,5,3
1603029650,1,6
1603031574,2,2
1603033461,7,2
1603035378,1,1
1603037334,4,3
1603039219,5,2
1603041140,2,1
1603043088,1,2
1603044976,1,0
1603046895,1,3
1603048846,3,1
1603050744,2,2
1603052660,3,2
1603054608,2,3
1603056497,2,0
1603058442,2,0
1603060371,3,0
1603062266,2,11
1603064182,2,1
1603066126,1,1
1603068021,1,1
1603069979,2,0
1603071863,0,2
1603073777,1,1
1603075729,2,0
1603077617,0,1
1603079572,1,2
1603083405,1,1
1603085295,2,0
1603087249,1,1
1603089164,1,0
1603091063,3,0
1603092972,1,0
1603094939,0,1
1603096814,0,2
1603098738,3,2
1603100688,1,4
1603102577,5,1
1603104495,6,4
1603106442,0,3
1603108339,2,7
1603110258,1,3
1603112201,1,1
1603114094,1,5
1603116275,0,1
1603118172,0,4
1603120134,2,5
1603122021,3,1
1603123936,3,5
1603125887,3,4
1603127772,1,2
1603129698,2,1
1603131642,2,1
1603133544,2,2
1603135455,2,2
1603137404,3,2
1603139291,3,3
1603141241,0,2
1603143166,5,3
1603145057,0,2
1603146971,1,2
1603148931,3,1
1603150811,5,2
1603152735,0,1
1603154681,2,1
1603156572,1,2
1603158494,2,0
1603160457,1,1
1603162334,1,2
1603164252,1,0
1603166204,1,1
1603168099,2,1
1603170085,1,0
1603171937,3,2
1603173891,0,1
1603175775,4,1
1603177693,2,3
1603179645,1,1
1603183456,3,1
1603185402,2,2
1603187306,2,1
1603189247,3,7
1603191145,1,4
1603193054,3,0
1603195261,2,2
1603197144,4,1
1603199301,2,1
1603203165,1,0
1603205060,3,0
1603206975,9,2
1603208927,2,3
1603210816,2,4
1603212737,1,1
1603214691,1,1
1603216580,2,2
1603218494,2,3
1603221606,0,3
1603223537,1,1
1603225484,1,6
1603227367,8,0
1603229291,2,3
1603231251,2,3
1603233134,3,1
1603235052,2,2
1603236996,2,2
1603240808,2,1
1603242760,1,2
1603244649,1,2
1603246571,0,1
1603248523,1,0
1603250407,0,2
1603252328,2,1
1603254281,0,1
1603256172,0,2
1603258088,2,3
1603261930,4,4
1603263882,2,2
1603265770,2,0
1603267719,2,0
1603269611,0,3
1603271529,2,2
1603273487,2,2
1603275371,2,2
1603277292,6,2
1603279237,1,3
1603281129,1,2
1603283051,4,4
1603284997,2,2
1603286894,2,0
1603288837,5,2
1603290761,3,3
1603292651,1,5
1603294571,1,6
1603296523,4,1
1603298407,1,2
1603300577,3,1
1603302493,1,0
1603304438,1,2
1603306338,5,1
1603308216,1,1
1603310199,1,1
1603312089,3,1
1603314056,1,2
1603315962,3,9
1603317872,1,3
1603319770,1,3
1603321726,2,2
1603323613,1,1
1603325529,2,0
1603327479,2,2
1603329374,1,1
1603331290,1,1
1603335135,0,1
1603337049,0,1
1603338999,2,1
1603343058,2,1
1603344970,2,1
1603348809,1,4
1603350727,1,3
1603352679,0,1
1603354571,1,2
1603356490,8,0
1603358436,0,2
1603360329,0,3
1603362250,2,2
1603364198,1,5
1603366091,2,1
1603368044,0,1
1603369960,1,4
1603371857,4,4
1603373771,1,0
1603375721,1,11
1603377612,1,1
1603379528,1,2
1603381483,2,0
1603383373,2,4
