DateTime,AddedIPs,RemovedIPs
1602410901,0,1
1602412816,0,1
1602414765,0,1
1602418573,0,2
1602420518,0,1
1602430092,2,2
1602432125,2,0
1602435856,0,1
1602443566,2,1
1602445458,1,0
1602449327,1,2
1602453136,1,0
1602458892,1,2
1602470415,0,1
1602472364,1,1
1602481934,2,1
1602483882,3,0
1602485779,0,3
1602487696,2,0
1602489695,2,1
1602497299,1,0
1602501408,1,0
1602503297,2,0
1602505215,1,1
1602507165,1,0
1602514904,1,0
1602516771,1,3
1602518659,1,0
1602520576,3,0
1602522528,1,0
1602524414,3,0
1602526340,1,0
1602528282,1,1
1602530176,1,2
1602532093,0,1
1602535934,0,1
1602537863,1,0
1602539800,0,1
1602543680,1,1
1602545568,1,0
1602551331,1,0
1602553219,0,1
1602555174,1,0
1602557058,0,1
1602562813,1,0
1602568576,70,2
1602570520,57,3
1602572488,32,1
1602574338,20,2
1602576291,13,2
1602578174,11,0
1602580097,5,0
1602582049,11,0
1602583938,9,1
1602585854,3,1
1602589691,0,1
1602591615,0,1
1602593566,0,1
1602595458,1,0
1602599322,1,0
1602601273,15,0
1602603138,11,1
1602605085,15,3
1602606976,5,2
1602609143,10,0
1602611058,5,3
1602613005,3,1
1602614894,4,1
1602616812,7,1
1602618765,2,0
1602620658,0,1
1602624527,0,1
1602628335,1,0
1602630295,0,1
1602632175,1,1
1602634131,2,0
1602637938,1,1
1602645644,1,0
1602647536,1,0
1602649460,0,1
1602653295,1,0
1602655239,0,2
1602657167,4,6
1602659056,1,7
1602660979,11,6
1602662929,52,12
1602664816,70,1
1602666767,60,3
1602668660,70,4
1602670574,33,4
1602672525,99,0
1602674412,33,0
1602676338,34,0
1602678285,32,0
1602680176,8,0
1602682094,25,1
1602684047,11,0
1602685937,11,2
1602687885,17,0
1602689778,7,1
1602691704,7,3
1602693647,3,2
1602695782,4,2
1602697695,4,0
1602699650,4,2
1602701535,10,0
1602703456,8,2
1602705402,7,1
1602707293,5,7
1602709265,2,0
1602711168,2,0
1602713065,2,0
1602714979,1,1
1602716927,2,0
1602718821,1,1
1602720839,4,1
1602723026,6,0
1602725188,3,0
1602727360,1,0
1602729235,1,0
1602731090,3,1
1602732978,5,0
1602734902,2,1
1602736819,4,0
1602738743,3,0
1602740685,1,1
1602742574,0,2
1602744504,0,6
1602746441,2,0
1602748352,0,2
1602750254,0,1
1602752213,2,4
1602754098,1,4
1602756047,3,11
1602757940,1,1
1602759861,2,5
1602761812,2,0
1602763700,5,4
1602765617,5,3
1602767570,4,10
1602769455,2,4
1602771617,3,4
1602773533,2,14
1602775491,5,2
1602777381,4,2
1602779293,2,6
1602781362,4,2
1602783402,2,3
1602785289,2,2
1602787257,0,5
1602789141,0,3
1602791060,2,5
1602793010,4,3
1602794895,2,2
1602796813,4,1
1602798773,0,2
1602800655,3,1
1602802579,4,1
1602804527,2,1
1602806486,2,2
1602808373,1,3
1602810268,2,5
1602812177,1,2
1602814131,3,1
1602816015,1,3
1602817936,5,4
1602819886,1,5
1602821773,0,5
1602823691,0,4
1602827534,2,1
1602829469,4,0
1602831402,4,0
1602833292,8,2
1602835282,1,1
1602837165,2,0
1602839055,0,2
1602840977,0,2
1602842928,2,7
1602844823,1,2
1602846979,3,5
1602848899,5,3
1602850847,5,4
1602852738,6,6
1602854658,2,2
1602856609,4,4
1602858494,1,3
1602860505,2,7
1602862368,0,2
1602864256,5,2
1602866179,7,4
1602868130,4,4
1602870015,4,2
1602871941,3,2
1602873888,5,0
1602875777,0,2
1602877699,2,4
1602879654,3,4
1602881550,4,1
1602883463,0,7
1602885404,5,4
1602887296,5,4
1602889323,5,5
1602891174,4,1
1602893065,1,3
1602894980,2,3
1602896952,5,5
1602898818,5,3
1602900738,2,1
1602902687,1,4
1602904575,0,3
1602906496,4,0
1602908444,3,1
1602910337,3,1
1602912263,3,0
1602914208,1,4
1602916096,2,2
1602918267,1,4
1602920181,3,4
1602922134,2,5
1602924022,3,1
1602925939,2,0
1602927885,2,1
1602929776,1,4
1602931693,2,2
1602933647,4,5
1602935537,2,5
1602937457,2,1
1602939403,5,4
1602941390,2,2
1602943240,5,3
1602945137,1,2
1602947089,8,1
1602948983,3,2
1602950899,2,4
1602952853,2,3
1602954754,0,2
1602956662,0,3
1602958607,2,4
1602960498,15,5
1602962421,1,1
1602964370,1,1
1602966258,5,3
1602968177,1,5
1602970123,2,1
1602972054,0,8
1602973939,0,8
1602975905,0,6
1602977775,0,2
1602979701,1,4
1602981648,1,3
1602983544,0,3
1602985457,0,5
1602987406,1,5
1602989297,1,4
1602991218,1,4
1602993170,2,4
1602995059,0,4
1602996979,1,3
1602998925,0,3
1603000903,0,3
1603002736,1,6
1603004684,0,7
1603006574,1,6
1603008498,7,3
1603010444,9,4
1603012336,4,3
1603014255,1,4
1603016206,6,3
1603018099,0,3
1603020013,3,13
1603021999,3,8
1603023856,2,4
1603025779,2,14
1603027728,3,7
1603029647,3,7
1603031573,4,3
1603033460,4,9
1603035378,5,6
1603037334,5,2
1603039219,6,1
1603041139,1,3
1603043088,6,2
1603044976,4,9
1603046895,4,19
1603048846,7,4
1603050744,4,2
1603052659,2,4
1603054608,5,1
1603056496,6,1
1603058442,4,0
1603060371,5,0
1603062265,3,0
1603064182,3,0
1603066126,7,1
1603068021,2,1
1603069978,3,0
1603071862,2,0
1603073777,3,1
1603075729,3,1
1603077616,2,1
1603079571,1,2
1603081460,1,0
1603083405,4,1
1603085294,3,0
1603088171,8,1
1603090217,5,1
1603092039,6,1
1603093932,2,3
1603095851,6,8
1603097803,2,2
1603099689,1,1
1603101651,4,3
1603103560,0,2
1603105455,3,1
1603107371,1,4
1603109320,2,4
1603111210,2,0
1603113132,5,3
1603115081,3,1
1603116971,5,8
1603118894,6,2
1603120848,2,1
1603122730,3,1
1603124653,2,4
1603126613,3,1
1603128491,1,1
1603130659,4,0
1603132570,3,2
1603134523,2,2
1603136414,2,1
1603138331,1,0
1603140281,3,1
1603142172,4,2
1603144092,2,3
1603146045,3,5
1603147931,1,3
1603149858,0,2
1603151803,3,2
1603153694,1,1
1603155718,2,0
1603159458,3,7
1603161376,2,2
1603163333,4,2
1603165218,2,0
1603167166,4,3
1603169055,3,1
1603171003,6,1
1603172891,2,1
1603174813,1,4
1603176762,3,3
1603178655,1,3
1603180590,6,2
1603182520,3,3
1603184503,7,5
1603186369,4,4
1603188261,0,1
1603190174,2,0
1603192125,3,1
1603194015,1,0
1603195962,3,1
1603197854,2,2
1603199773,3,7
1603201721,3,4
1603203612,5,2
1603205531,2,3
1603207493,1,6
1603209376,3,3
1603211291,0,2
1603213372,1,7
1603215397,2,2
1603217289,2,4
1603219212,0,3
1603221158,3,1
1603223050,2,2
1603224967,3,2
1603226916,4,4
1603228807,5,2
1603230730,3,3
1603232684,2,1
1603234568,2,0
1603236488,0,1
1603238470,1,2
1603240355,4,6
1603242283,0,2
1603246109,0,3
1603248078,0,1
1603250005,1,5
1603251875,1,2
1603253790,2,7
1603255766,0,1
1603257704,4,4
1603259563,2,2
1603261456,1,4
1603263373,1,2
1603265294,0,2
1603267242,3,4
1603269165,1,4
1603271068,2,9
1603272975,6,4
1603274925,5,1
1603276821,1,0
1603278736,1,3
1603280682,2,3
1603282571,4,1
1603284491,2,2
1603286440,4,5
1603288339,3,3
1603290252,3,9
1603292201,3,4
1603294092,2,3
1603296103,6,7
1603297966,2,0
1603300133,2,3
1603302017,4,1
1603303933,3,2
1603305886,1,0
1603307773,3,5
1603309695,0,1
1603311645,6,4
1603313535,0,2
1603315454,17,4
1603317432,1,2
1603319336,1,2
1603322436,0,3
1603324326,2,2
1603326248,1,4
1603328211,0,3
1603332038,1,1
1603333957,0,3
1603337767,0,1
1603339718,0,3
1603343528,1,1
1603347373,1,2
1603349291,0,4
1603353129,1,8
1603355056,1,4
1603357000,0,1
1603358894,1,8
1603360837,1,8
1603362763,0,5
1603364654,0,5
1603366573,1,8
1603368519,3,8
1603370412,4,10
1603372340,3,13
1603374292,1,12
1603376191,0,12
1603378116,1,12
1603380057,0,16
1603381960,1,12
1603383884,0,14
1603385881,4,15
1603387711,1,14
1603389649,0,12
1603391591,1,20
1603393474,1,38
1603395501,1,43
1603397348,0,27
1603399283,0,21
1603401159,0,52
1603403096,0,52
1603404980,2,58
1603406904,1,29
1603408863,0,61
1603410741,0,31
1603412665,0,33
1603414630,0,61
1603416532,2,41
1603418465,0,1
1603424214,1,0
1603429975,0,1
1603431863,2,0
1603433820,0,1
1603437622,1,0
1603439533,1,1
1603441504,0,1
1603443380,1,0
1603445548,0,2
1603447480,3,0
1603449414,3,0
1603451309,1,1
1603453228,2,0
1603455182,1,4
1603457080,1,3
1603458993,0,3
1603460938,1,1
1603462842,1,0
1603464765,4,1
1603466681,0,1
1603468570,4,1
1603470519,3,0
1603472452,3,4
1603474336,1,2
1603476525,2,1
1603480335,1,0
1603482282,3,1
1603488008,2,0
1603489980,1,0
1603491857,0,1
1603493772,0,1
