DateTime,AddedIPs,RemovedIPs
1602486254,0,1
1602488204,0,2
1602490096,3,4
1602492011,1,1
1602493964,0,3
1602495859,0,2
1602497771,2,2
1602499720,0,1
1602501615,4,4
1602503558,1,0
1602505451,2,1
1602507716,3,0
1602509558,2,2
1602511462,5,3
1602513380,1,2
1602515331,3,2
1602517221,1,2
1602519177,2,3
1602521099,0,2
1602522990,0,5
1602524924,0,2
1602526880,3,6
1602528763,5,3
1602530686,0,4
1602532616,0,2
1602534520,1,2
1602536511,1,4
1602538428,1,1
1602540283,6,1
1602542192,3,2
1602544128,0,4
1602546089,1,1
1602547949,3,4
1602549904,1,9
1602551781,2,3
1602553709,0,1
1602555656,0,1
1602557555,0,2
1602559495,0,2
1602561396,0,2
1602563330,2,6
1602565319,0,1
1602567388,2,6
1602569310,1,1
1602571251,4,1
1602573158,1,0
1602575068,1,1
1602577032,1,0
1602578954,2,1
1602580847,3,0
1602582783,4,1
1602584681,1,1
1602586640,2,1
1602588521,1,4
1602590453,2,1
1602592332,2,3
1602594285,2,0
1602596188,1,2
1602598184,2,4
1602600044,2,2
1602601940,2,2
1602603859,3,1
1602605799,1,3
1602607689,2,0
1602611582,10,0
1602613476,0,3
1602615396,0,5
1602617353,2,0
1602619292,2,1
1602621165,5,0
1602623093,3,1
1602624986,2,3
1602626911,0,7
1602628867,1,2
1602630773,6,0
1602632724,3,1
1602634590,1,3
1602636502,1,5
1602638462,0,3
1602640349,0,1
1602642268,2,0
1602644259,4,0
1602648088,0,1
1602649995,1,2
1602651861,0,1
1602653779,0,1
1602655732,0,1
1602657631,1,1
1602659548,0,1
1602661499,1,2
1602663399,0,1
1602665557,3,1
1602667501,3,3
1602669404,1,1
1602671307,1,1
1602673350,2,1
1602675399,2,2
1602677289,2,2
1602679211,2,2
1602681158,1,0
1602683050,2,1
1602684969,0,2
1602687162,2,5
1602689070,0,1
1602690979,2,1
1602692919,1,1
1602694902,1,1
1602696763,2,0
1602698661,3,2
1602700573,2,1
1602702524,2,0
1602704421,1,1
1602706341,2,3
1602708279,1,2
1602710175,2,2
1602712091,2,1
1602714041,4,0
1602715933,0,5
1602717864,0,2
1602719801,4,5
1602722062,0,1
1602724198,0,1
1602726008,0,2
1602728205,3,1
1602730100,1,6
1602732113,1,0
1602733958,1,0
1602735852,0,1
1602737809,1,0
1602739690,1,0
1602741542,1,0
1602743560,1,1
1602747371,0,1
1602749323,2,0
1602753133,0,3
1602755094,4,3
1602757216,3,2
1602759134,1,4
1602761088,1,0
1602762974,3,2
1602764893,0,2
1602766914,2,1
1602768746,2,2
1602770658,2,2
1602772611,5,1
1602774492,2,2
1602776423,0,3
1602778369,0,4
1602780263,5,0
1602782173,0,1
1602784131,1,2
1602786017,3,2
1602787966,1,2
1602789853,0,3
1602791773,3,2
1602793726,1,1
1602795707,2,0
1602797533,2,1
1602799487,3,2
1602801375,1,2
1602803303,2,0
1602805252,0,1
1602807133,4,1
1602809087,1,1
1602810970,1,0
1602812889,1,1
1602814846,0,2
1602816736,2,1
1602818651,1,1
1602820604,3,1
1602822494,0,1
1602824580,1,0
1602826569,1,2
1602828626,1,0
1602830682,2,1
1602832570,1,1
1602834490,2,2
1602836442,1,2
1602838329,2,1
1602840253,2,0
1602842199,3,4
1602844089,0,2
1602846100,1,1
1602847996,1,5
1602849856,5,1
1602851770,4,2
1602853722,4,2
1602855612,3,2
1602857538,0,1
1602859483,1,6
1602861379,2,1
1602863291,1,2
1602865244,5,0
1602867137,4,1
1602869058,1,0
1602871000,4,3
1602872892,1,2
1602874851,2,1
1602876764,2,2
1602878654,4,4
1602880571,1,0
