DateTime,AddedIPs,RemovedIPs
1602524924,2,6
1602526881,8,7
1602528764,3,4
1602530687,3,5
1602532617,8,8
1602534521,5,6
1602536529,8,8
1602538429,4,7
1602540284,5,6
1602542193,4,7
1602544129,3,5
1602546089,4,4
1602547950,2,4
1602549905,3,3
1602551782,1,9
1602553710,3,11
1602555656,5,5
1602557556,6,11
1602559495,2,6
1602561397,1,6
1602563331,4,8
1602565337,4,3
1602567388,3,5
1602569311,3,4
1602571251,2,9
1602573158,5,6
1602575068,5,4
1602577033,3,6
1602578955,8,4
1602580847,6,7
1602582783,3,3
1602584681,4,7
1602588522,4,4
1602590454,5,1
1602592333,6,4
1602594286,3,1
1602596189,4,2
1602598185,8,5
1602600045,6,4
1602601941,6,10
1602603859,3,1
1602605800,9,3
1602607690,2,4
1602609610,4,5
1602611583,6,2
1602613476,2,4
1602615397,5,3
1602617354,5,3
1602619305,11,8
1602621166,4,6
1602623094,5,7
1602624986,7,3
1602626912,4,5
1602628867,5,6
1602630774,3,1
1602632724,2,3
1602634591,2,2
1602636502,4,3
1602638463,7,2
1602640349,6,2
1602642268,2,5
1602644259,6,4
1602646110,2,3
1602648094,0,6
1602649995,3,6
1602651862,3,3
1602653779,4,2
1602655733,4,3
1602657632,0,2
1602659550,6,5
1602661501,5,5
1602663400,6,2
1602665558,3,7
1602667502,5,3
1602669405,6,7
1602671308,11,4
1602673373,5,0
1602675400,2,6
1602677290,1,4
1602679212,8,4
1602681160,5,4
1602683051,3,6
1602684970,2,4
1602687163,4,7
1602689071,5,4
1602690981,3,3
1602692920,2,8
1602694922,3,6
1602696764,5,3
1602698663,6,3
1602700574,6,3
1602702526,7,7
1602704423,4,6
1602706343,7,11
1602708280,5,4
1602710176,6,5
1602712092,6,4
1602714043,1,6
1602715934,5,5
1602717865,3,3
1602719802,5,4
1602722064,7,2
1602724199,3,6
1602726009,3,5
1602728207,5,5
1602730101,4,5
1602732115,6,5
1602733959,6,1
1602735854,6,2
1602737810,2,3
1602739691,5,4
1602741543,5,1
1602743561,4,2
1602745464,2,2
1602747373,4,8
1602749324,6,6
1602751214,11,3
1602753134,6,4
1602755095,2,5
1602757217,5,10
1602759134,7,4
1602761088,9,2
1602762975,2,2
1602764893,5,6
1602766929,10,6
1602768746,6,3
1602770659,8,3
1602772611,7,2
1602774493,7,4
1602776424,9,4
1602778370,4,2
1602780264,4,3
1602782173,4,6
1602784131,0,5
1602786017,5,7
1602787967,4,5
1602789853,5,9
1602791774,3,4
1602793726,6,5
1602795725,3,3
1602797533,1,10
1602799488,5,0
1602801376,7,5
1602803304,4,4
1602805253,5,6
1602807134,4,1
1602809087,11,7
1602810971,4,4
1602812890,3,2
1602814847,6,6
1602816737,3,3
1602818651,4,7
1602820604,1,7
1602822495,3,4
1602824593,5,3
1602826570,3,3
1602828627,2,5
1602830683,3,4
1602832570,6,3
1602834490,6,5
1602836443,3,3
1602838331,8,12
1602840253,8,2
1602842200,0,3
1602844090,2,5
1602846123,8,7
1602847997,7,10
1602849857,3,5
1602851771,2,5
1602853723,1,9
1602855613,4,4
1602857539,5,7
1602859484,8,6
1602861380,3,8
1602863292,2,12
1602865245,3,3
1602867138,3,4
1602869059,6,2
1602871001,9,0
1602872892,6,5
1602874860,7,6
1602876765,4,3
1602878655,5,6
1602880572,5,4
1602882520,5,4
1602884417,4,5
1602886337,1,5
1602888279,4,5
1602890177,6,4
1602892093,3,5
1602894046,2,7
1602895932,4,9
1602897852,2,3
1602899802,8,2
1602901696,4,6
1602903715,3,4
1602905566,3,4
1602907453,1,2
1602909373,3,3
1602911333,1,4
1602913216,2,4
1602915153,4,1
1602917081,2,3
1602918973,5,6
1602920892,4,4
1602922842,5,6
1602924735,3,8
1602926652,2,7
1602928599,6,1
1602930490,5,2
