DateTime,AddedIPs,RemovedIPs
1602528764,6,5
1602530687,4,10
1602532617,6,3
1602534521,3,2
1602536540,2,2
1602538429,8,3
1602540284,11,2
1602542193,4,3
1602544130,5,3
1602546090,7,4
1602547950,6,3
1602549905,3,1
1602551782,10,4
1602553710,4,6
1602555657,7,4
1602557556,5,4
1602559496,5,1
1602561397,4,4
1602563331,6,2
1602565345,7,7
1602567389,4,5
1602569311,8,5
1602571252,2,3
1602573159,13,11
1602575068,6,7
1602577033,4,6
1602578955,6,4
1602580848,9,3
1602582784,4,5
1602584681,5,8
1602586641,6,5
1602588522,3,6
1602590456,7,3
1602592334,2,6
1602594286,6,0
1602596189,8,3
1602598185,5,13
1602600046,9,4
1602601941,2,5
1602603860,6,2
1602605800,5,9
1602607691,6,1
1602609610,6,2
1602611583,7,8
1602613477,2,3
1602615397,2,5
1602617354,15,3
1602619310,7,5
1602621166,3,3
1602623094,4,1
1602624987,5,6
1602626912,3,12
1602628868,13,3
1602630774,7,4
1602632725,4,6
1602634591,7,4
1602636503,4,5
1602638465,5,6
1602640350,2,6
1602642268,10,8
1602644260,9,4
1602646110,4,6
1602648095,5,4
1602649995,8,8
1602651862,4,4
1602653779,15,4
1602655734,2,8
1602657632,10,2
1602659550,9,12
1602661502,6,7
1602663400,2,4
1602665559,10,5
1602667503,9,8
1602669406,3,5
1602671309,5,6
1602673378,5,5
1602675401,8,4
1602677291,2,6
1602679212,6,23
1602681160,5,6
1602683052,5,5
1602684971,6,4
1602687164,3,7
1602689071,11,1
1602690982,4,6
1602692921,5,6
1602694929,10,7
1602696765,5,4
1602698664,8,6
1602700575,5,4
1602702526,6,2
1602704424,7,14
1602706343,6,3
1602708281,8,5
1602710177,7,3
1602712092,11,4
1602714044,4,7
1602715935,8,8
1602717865,8,6
1602719803,5,4
1602722065,9,9
1602724200,9,4
1602726010,7,2
1602728207,6,10
1602730101,7,10
1602732115,12,4
1602733959,4,7
1602735854,10,8
1602737810,1,5
1602739692,9,9
1602741544,3,3
1602743561,9,8
1602745465,6,9
1602747373,3,6
1602749324,3,4
1602751215,9,7
1602753135,4,10
1602755095,2,4
1602757218,3,4
1602759135,7,8
1602761089,8,8
1602762976,3,2
1602764894,9,3
1602766939,8,7
1602768747,5,2
1602770659,5,7
1602772612,9,4
1602774493,3,5
1602776424,8,9
1602778370,2,7
1602780264,3,13
1602782174,2,9
1602784132,6,6
1602786019,6,6
1602787967,5,6
1602789854,3,6
1602791775,4,4
1602793726,7,8
1602795734,2,11
1602797772,4,8
1602799688,3,8
1602801642,3,6
1602803536,2,5
1602805452,7,6
1602807373,5,10
1602809290,2,7
1602811244,2,9
1602813135,3,8
1602815055,3,7
1602817005,7,7
1602818893,1,9
1602820880,4,8
1602822764,3,7
1602824597,1,1
1602826570,2,11
1602828627,8,4
1602830683,7,8
1602832571,11,5
1602834491,11,2
1602836443,2,7
1602838331,4,5
1602840254,7,6
1602842200,6,1
1602844091,5,3
1602846130,6,9
1602847997,5,7
1602849858,5,5
1602851772,6,8
1602853723,3,7
1602855614,8,7
1602857540,4,4
1602859484,4,6
1602861380,5,1
1602863293,9,11
1602865245,6,2
1602867138,5,2
1602869059,4,5
1602871001,6,2
1602872893,5,7
1602874865,6,6
1602876765,4,2
1602878655,4,4
1602880573,5,9
1602882521,6,1
1602884418,10,5
1602886337,11,2
1602888279,6,4
1602890177,7,3
1602892094,14,6
1602894046,16,4
1602895933,8,3
1602897853,8,2
1602899802,4,4
1602901696,6,4
1602903724,15,4
1602905566,10,3
1602907454,13,4
1602909374,9,2
1602911334,14,1
1602913217,9,3
1602915154,13,7
1602917082,17,6
1602918974,18,11
1602920892,30,11
1602922842,10,2
1602924736,5,4
1602926653,11,6
1602928600,9,5
1602930491,7,5
1602932529,17,6
1602934361,15,4
1602936253,4,5
1602938171,7,5
1602940127,22,5
1602942046,15,6
1602943935,17,4
1602945855,12,4
1602947800,15,7
1602949693,29,9
1602951614,14,6
1602953565,3,6
1602955453,8,4
1602957668,5,5
1602959536,16,5
1602961486,16,6
1602963375,7,4
1602965297,5,2
1602967246,15,6
1602969134,0,5
1602971052,5,12
1602973002,3,11
1602974892,4,5
1602976810,7,10
1602978764,2,11
1602980655,3,19
