DateTime,AddedIPs,RemovedIPs
1602526882,117,110
1602528765,62,78
1602530689,127,121
1602532619,97,105
1602534523,125,136
1602536563,65,109
1602538430,73,77
1602540285,105,131
1602542195,1716,66
1602544131,104,82
1602546091,77,81
1602547952,127,142
1602549907,65,98
1602551783,96,110
1602553712,65,81
1602555658,87,170
1602557558,76,69
1602559497,72,112
1602561398,71,72
1602563333,106,149
1602565364,71,123
1602567391,95,146
1602569313,101,80
1602571253,66,54
1602573161,107,105
1602575070,91,75
1602577035,97,122
1602578956,52,70
1602580849,68,78
1602582785,57,66
1602584683,104,109
1602586642,96,63
1602588523,102,132
1602590462,89,71
1602592335,96,118
1602594288,84,321
1602596190,81,74
1602598186,137,113
1602600048,92,86
1602601942,116,89
1602603861,83,113
1602605802,136,135
1602607692,77,69
1602609614,155,104
1602611584,169,63
1602613478,137,117
1602615398,97,75
1602617356,142,126
1602619324,92,96
1602621167,112,107
1602623095,98,74
1602624988,67,77
1602626914,101,442
1602628869,76,1443
1602630775,52,117
1602632728,76,96
1602634592,84,152
1602636504,68,63
1602638467,109,116
1602640351,86,71
1602642270,117,109
1602644261,71,96
1602646112,110,64
1602648097,70,82
1602649997,116,104
1602651863,86,95
1602653781,54,77
1602655736,91,111
1602657633,50,83
1602659551,94,123
1602661513,64,109
1602663408,101,122
1602665560,65,82
1602667505,129,95
1602669407,62,71
1602671310,100,100
1602673392,188,142
1602675402,106,86
1602677294,113,111
1602679216,53,79
1602681162,101,102
1602683055,39,73
1602684972,97,107
1602687165,64,80
1602689075,110,106
1602690983,81,62
1602692922,101,133
1602694957,75,79
1602696766,106,122
1602698665,99,163
1602700576,68,165
1602702527,85,133
1602704427,67,83
1602706344,73,130
1602708282,70,92
1602710178,117,116
1602712094,73,75
1602714045,94,111
1602715936,71,60
1602717866,101,47
1602719805,125,90
1602722066,103,87
1602724201,96,112
1602726011,57,91
1602728208,102,134
1602730102,61,68
1602732117,107,128
1602733961,62,70
1602735855,645,145
1602737812,62,69
1602739693,64,87
1602741545,71,50
1602743562,131,104
1602745467,65,92
1602747374,57,62
1602749325,86,112
1602751217,45,75
1602753136,107,104
1602755097,55,71
1602757219,72,92
1602759136,58,253
1602761090,87,162
1602762977,75,71
1602764895,98,119
1602766963,87,96
1602769005,67,108
1602770891,85,103
1602772810,335,66
1602774765,1614,123
1602776649,79,85
1602778578,123,88
1602780522,99,44
1602782408,109,153
1602784329,84,86
1602786285,103,90
1602788173,76,68
1602790123,73,62
1602792041,91,52
1602793934,270,79
1602795760,391,80
1602797774,634,97
1602799689,569,94
1602801644,527,63
1602803539,486,95
1602805454,621,60
1602807374,722,137
1602809291,614,54
1602811246,627,98
1602813136,129,58
1602815056,99,107
1602817006,36,68
1602818894,51,146
1602820893,58,57
1602822765,98,581
1602824610,76,61
1602826574,294,67
1602828628,670,103
1602830685,57,95
1602832572,105,71
1602834492,309,51
1602836445,116,84
1602838333,56,37
1602840255,2326,102
1602842202,4685,53
1602844093,2535,50
1602846168,2487,91
1602848000,1750,60
1602849860,1682,95
1602851773,243,54
1602853725,34,64
1602855616,56,43
1602857541,44,69
1602859486,44,88
1602861382,88,1144
1602863295,58,248
1602865247,49,119
1602867147,42,73
1602869061,37,96
1602871003,50,44
1602872894,51,95
1602874882,51,56
1602876767,51,64
1602878657,69,114
1602880574,63,248
1602882523,55,391
1602884419,42,568
1602886339,51,505
1602888281,52,554
1602890179,52,459
1602892096,50,556
1602894048,54,708
1602895934,69,583
1602897854,56,590
1602899804,48,66
1602901698,86,92
1602903748,100,59
1602905568,59,60
1602907455,247,92
1602909375,358,73
1602911336,455,100
1602913218,507,336
1602915155,480,578
1602917084,632,63
1602918975,470,100
1602920894,573,268
1602922844,530,120
1602924738,509,51
1602926655,477,2358
1602928601,232,4805
1602930492,62,2568
1602932554,50,2538
1602934363,45,1766
1602936255,142,1761
1602938173,84,270
1602940129,48,41
1602942047,52,66
1602943937,51,56
1602945856,43,47
1602947802,55,80
1602949694,40,61
1602951615,59,58
1602953566,46,45
1602955454,39,46
1602957677,53,58
1602959537,54,51
1602961487,63,50
1602963377,60,47
1602965298,72,59
1602967248,43,71
1602969136,38,63
1602971053,64,54
1602973004,59,53
1602974894,70,48
1602976812,86,49
1602978765,42,72
1602980656,60,55
1602982581,54,66
1602984524,52,55
1602986539,66,50
1602988340,47,78
1602990288,45,92
1602992176,54,65
1602994096,53,389
1602996044,47,373
1602997941,51,558
1602999855,43,669
1603001804,45,608
1603003697,66,675
1603005856,66,642
1603007792,56,678
1603009723,64,586
1603011736,52,549
1603013538,76,557
1603015508,65,152
1603017374,60,69
1603019297,57,58
1603021242,64,58
1603023135,47,109
1603025057,58,106
1603027004,44,73
1603028891,50,58
1603030819,60,61
1603032739,55,60
1603034658,73,59
1603036604,48,63
1603038491,87,66
1603040544,58,60
1603042363,51,45
1603044253,52,71
1603046170,412,77
1603048125,464,68
1603050014,174,75
1603051933,137,77
1603053885,200,62
1603055783,113,48
1603057698,319,58
1603059642,187,74
1603061530,127,68
1603063455,117,153
1603065409,95,79
1603067290,134,71
1603069309,149,62
1603071134,109,60
1603073061,105,75
1603075001,79,64
1603076904,64,54
1603078814,110,72
1603080732,123,47
1603082682,94,54
1603084575,66,77
1603086738,86,64
1603088679,158,62
1603090612,88,60
1603092495,74,47
1603094567,86,58
1603096368,69,70
1603098287,89,55
1603100184,95,83
1603102141,82,40
1603104047,66,53
1603106003,77,83
1603107900,89,65
1603110060,80,62
1603111949,55,48
1603113886,67,52
1603115838,71,53
1603117742,51,63
1603119775,57,71
1603121590,197,62
1603123478,70,92
1603125417,87,90
1603127341,119,58
1603129253,119,90
1603131207,96,57
1603133112,111,128
1603135032,84,108
1603136925,104,76
1603138880,106,76
1603140753,154,135
1603142685,142,92
1603144637,116,112
1603146494,93,100
1603148550,119,101
1603150364,122,80
1603152256,174,84
1603154172,112,81
1603156123,103,82
1603158013,304,79
1603159937,327,105
1603161883,487,63
1603163777,562,79
1603165693,601,72
1603167614,351,65
1603169534,403,72
1603171460,72,70
1603173374,114,79
1603175324,80,153
1603177369,90,79
1603179379,62,71
1603181546,434,77
1603183463,112,62
1603185406,76,73
1603187313,87,71
1603189255,89,66
1603191152,1975,53
1603193061,78,80
1603195295,117,82
1603197150,64,52
1603199308,75,65
1603201227,68,62
1603203171,93,44
1603205065,61,66
1603206981,87,49
