DateTime,AddedIPs,RemovedIPs
1602527291,87,70
1602529276,70,118
1602531162,145,122
1602533055,105,133
1602534975,74,124
1602536926,86,78
1602538814,82,76
1602540733,80,149
1602542683,191,129
1602544571,99,95
1602546496,78,78
1602548441,94,96
1602550334,73,112
1602552254,116,114
1602554204,87,90
1602556100,74,129
1602558099,80,90
1602559935,110,87
1602561858,125,81
1602563801,104,105
1602565701,100,102
1602567642,75,67
1602569536,65,70
1602571454,91,77
1602573405,90,102
1602575308,107,95
1602577458,85,126
1602579381,58,99
1602581323,114,75
1602583278,82,97
1602585137,107,110
1602587086,82,87
1602588976,95,83
1602590896,86,85
1602592847,90,99
1602594735,79,91
1602596658,97,124
1602598604,99,101
1602600495,79,97
1602602412,97,99
1602604366,92,104
1602606255,82,98
1602608176,93,77
1602610123,91,88
1602613009,126,137
1602614899,96,65
1602616817,107,111
1602618769,97,103
1602620662,86,103
1602622581,72,63
1602624532,110,83
1602626459,72,114
1602628342,107,104
1602630301,89,99
1602632180,80,95
1602634139,104,94
1602636020,62,83
1602637945,92,90
1602639892,106,77
1602641784,101,86
1602643702,89,83
1602645649,96,99
1602647541,81,112
1602649467,93,131
1602651412,77,98
1602653299,86,73
1602655251,68,75
1602657172,90,101
1602659064,80,102
1602660987,68,114
1602662935,80,78
1602664822,88,76
1602666772,81,95
1602668672,93,113
1602670582,92,84
1602672531,348,85
1602674419,235,81
1602676343,88,77
1602678291,85,112
1602680182,69,77
1602682100,86,94
1602684052,66,72
1602685943,50,81
1602687891,63,79
1602689786,97,97
1602691710,88,81
1602693651,81,67
1602695788,100,89
1602697702,75,168
1602699658,82,86
1602701542,93,83
1602703463,89,91
1602705408,87,79
1602707300,100,88
1602709331,87,73
1602711173,87,76
1602713073,79,69
1602714985,80,74
1602716932,101,69
1602718827,79,89
1602720846,89,73
1602723032,92,89
1602725194,69,91
1602727367,77,88
1602729241,62,81
1602731096,76,74
1602732985,66,79
1602734910,92,71
1602736825,669,80
1602738749,79,66
1602740691,90,74
1602742580,85,81
1602744512,79,69
1602746447,88,71
1602748359,63,55
1602750260,63,80
1602752225,74,61
1602754106,69,63
1602756065,59,73
1602757946,77,351
1602759870,104,403
1602761819,80,124
1602763707,63,90
1602765622,64,85
1602767575,87,84
1602769460,65,71
1602771624,82,76
1602773538,74,65
1602775496,73,62
1602777388,89,76
1602779298,78,56
1602781372,107,72
1602783408,69,83
1602785296,72,79
1602787264,79,78
1602789148,58,90
1602791065,89,90
1602793016,98,84
1602794900,137,74
1602796818,75,94
1602798779,81,89
1602800660,110,64
1602802585,119,92
1602804532,79,79
1602806552,70,79
1602808378,94,75
1602810276,100,91
1602812183,97,59
1602814136,91,74
1602816021,82,81
1602817940,57,77
1602819892,94,362
1602821779,79,83
1602823697,89,683
1602825651,81,67
1602827541,1304,85
1602829475,203,103
1602831407,84,87
1602833297,86,89
1602835381,74,87
1602837616,100,87
1602839541,68,65
1602841483,67,55
1602843377,64,74
1602845295,79,81
1602847242,80,103
1602849133,62,68
1602851301,75,84
1602853364,62,64
1602855216,77,85
1602857082,61,70
1602858975,53,80
1602860979,102,64
1602862859,64,67
1602864742,69,98
1602866686,76,122
1602868581,64,71
1602870495,60,63
1602872448,84,71
1602874344,89,57
1602876260,93,65
1602878205,76,70
1602880092,70,111
1602882094,82,78
1602883966,73,68
1602885856,76,62
1602887772,61,141
1602889729,70,103
1602891617,62,80
1602893536,83,96
1602895484,81,72
1602897379,77,92
1602899297,87,94
1602901243,75,91
1602903144,71,73
1602905076,86,98
1602907031,69,102
1602908917,80,76
1602910985,82,101
1602912975,55,459
1602914922,59,1129
1602916822,93,66
1602918733,104,117
1602920681,82,74
1602922571,73,71
1602924489,91,70
1602926442,95,79
1602928333,67,91
1602930254,81,86
1602932199,81,97
1602934090,81,81
1602936039,85,69
1602937962,113,58
1602939785,73,62
1602942048,101,104
1602943938,88,63
1602945857,63,59
1602947803,75,106
1602949695,80,68
1602951617,79,81
1602953568,61,67
1602955456,88,71
1602957682,109,62
1602959538,89,81
1602961489,92,96
1602963378,77,75
1602965300,106,95
1602967250,70,91
1602969137,66,88
1602971054,93,75
1602973006,90,84
1602974896,97,76
1602976813,89,86
1602978767,87,138
1602980657,81,84
1602982583,108,75
1602984526,65,96
1602986558,62,104
1602988575,78,101
1602990494,76,96
1602992442,84,86
1602994335,93,73
1602996253,77,78
1602998198,89,80
1603000089,70,63
1603002010,54,69
1603003958,103,87
1603005858,67,94
1603007794,78,89
1603009724,73,83
1603011748,81,75
1603013776,117,94
1603015716,71,81
1603017708,77,91
1603019535,59,93
1603021459,64,74
1603023427,69,98
1603025309,76,104
1603027267,61,100
1603029175,48,69
1603031072,86,100
1603033041,86,78
1603034904,93,87
1603036881,67,77
1603038823,73,98
1603040676,49,61
1603042590,29,87
1603044541,25,95
1603046441,393,94
1603048413,238,120
1603050305,110,87
1603052285,119,88
1603054112,86,58
1603056057,104,96
1603057947,262,87
1603059875,178,85
1603061843,99,76
1603063705,73,91
1603065685,79,101
1603067610,130,112
1603069470,197,93
1603071421,112,74
1603073328,95,70
1603075226,80,58
1603077177,82,93
1603079099,160,96
1603080993,114,79
1603082906,93,73
1603084845,73,89
1603086739,78,66
1603088681,305,71
1603090613,128,49
1603092496,111,61
1603094569,88,72
1603096370,87,79
1603098290,84,92
1603100185,109,88
1603102143,118,77
1603104048,128,73
1603106004,82,97
1603107902,83,67
1603110061,89,95
1603111950,122,69
1603113887,95,68
1603115839,79,59
1603117743,72,80
1603119783,76,59
1603121591,124,97
1603123479,142,102
1603125419,130,78
1603127342,123,65
1603129254,128,38
1603131209,134,32
1603133113,150,194
1603135033,116,134
1603136926,120,80
1603138881,159,97
1603140754,128,70
1603142686,144,128
1603144638,129,110
1603146495,103,156
1603148585,137,85
1603150571,148,72
1603152522,130,97
1603154413,100,107
1603156332,131,119
1603158278,125,97
1603160173,111,62
1603162095,109,64
1603164040,135,88
1603165931,134,84
1603167883,109,107
1603169769,118,78
1603171718,101,72
1603173636,91,57
1603175532,101,260
1603177373,104,86
1603179380,102,83
1603181547,127,80
1603183465,104,69
1603185407,111,112
1603187315,111,65
1603189256,137,83
1603191154,90,78
1603193062,110,69
1603195298,149,78
1603197151,98,99
1603199310,120,93
1603201228,91,67
1603203172,86,64
1603205066,93,63
1603206982,93,90
1603208933,94,109
1603210823,93,101
1603212744,77,102
1603214698,96,95
1603216590,106,87
1603218503,119,124
1603220599,122,120
1603222603,104,100
1603224515,143,113
1603226420,112,93
1603228371,109,119
1603230264,90,115
1603232179,106,102
1603234126,76,84
1603236022,75,110
1603237941,82,107
1603239892,89,111
1603241787,98,110
1603243703,126,118
1603245690,87,97
1603247551,89,88
1603249471,100,91
1603251413,83,125
1603253307,74,127
1603255228,89,97
1603257169,100,92
1603259068,53,84
1603261015,63,115
1603262912,79,98
1603264854,101,89
1603266753,85,75
1603268675,98,98
1603270618,77,80
1603272505,90,120
1603275377,150,163
1603277296,92,85
1603279241,120,95
1603281135,79,106
1603283055,76,151
1603285004,94,101
1603286901,56,89
1603288850,92,85
1603290765,93,105
1603292656,78,94
1603294574,63,103
1603296526,68,111
1603298412,60,77
1603300583,141,90
1603302497,112,341
1603304443,124,109
1603306343,116,105
1603308221,92,89
1603310206,121,118
1603312094,116,140
1603314131,105,115
1603315966,96,138
1603317878,114,125
1603319776,118,76
1603321729,87,83
1603323618,113,92
1603325532,119,81
1603327483,148,119
1603329377,106,123
1603331295,106,111
1603333240,91,110
1603335140,109,103
1603337055,121,89
1603339003,113,107
1603340893,137,95
1603343068,130,130
1603344977,100,95
1603346923,106,106
1603348816,92,65
1603350736,98,82
1603352685,113,97
1603354576,125,94
1603356495,84,105
1603358442,89,81
1603360336,92,95
1603362256,112,114
1603364213,83,113
1603366097,97,109
1603368111,67,90
1603369965,104,82
1603371866,95,111
1603373779,88,76
1603375727,100,66
1603377619,57,71
1603379534,71,75
1603381490,89,70
1603383380,70,90
1603385298,100,71
1603387244,97,104
1603389136,84,99
1603391056,109,105
1603393009,100,120
1603394896,104,75
1603396841,127,86
1603398771,121,97
1603400662,109,134
1603402581,89,64
1603404529,122,125
1603406416,68,95
1603408335,91,106
1603410284,108,90
1603412173,101,131
1603414097,119,125
1603416053,88,116
1603417936,110,92
1603419858,108,82
1603421804,66,102
1603423694,79,133
1603425810,93,81
1603427813,102,127
1603429691,79,101
1603431614,60,72
1603433559,90,111
1603435455,75,99
1603437373,89,120
1603439320,94,108
1603441214,77,112
1603443133,92,110
1603445090,99,102
1603446977,80,93
1603449144,95,102
1603451057,89,101
1603453005,92,89
1603454893,71,94
1603456813,105,101
1603458761,101,90
1603460656,88,82
1603462575,82,93
1603464519,71,73
1603466412,78,88
1603468381,73,85
1603470262,93,89
1603472181,97,90
1603474125,110,113
1603476166,100,131
1603477972,97,87
1603479858,101,119
1603481776,85,76
1603483695,93,109
1603485616,87,120
1603487561,135,126
1603489458,106,121
1603491403,88,113
1603493296,102,86
