DateTime,AddedIPs,RemovedIPs
1602529290,7,5
1602531163,4,9
1602533057,11,6
1602534976,8,11
1602536926,6,11
1602538816,12,13
1602540734,12,11
1602542683,15,16
1602544572,10,10
1602546496,15,23
1602548442,14,6
1602550336,7,10
1602552255,11,7
1602554208,8,13
1602556101,13,7
1602558100,12,5
1602559936,10,7
1602561859,1,4
1602563802,7,22
1602565703,13,8
1602567643,3,14
1602569537,8,19
1602571456,9,8
1602573406,15,5
1602575308,14,7
1602577459,6,14
1602579382,6,5
1602581323,7,8
1602583283,5,13
1602585138,3,16
1602587086,6,4
1602588978,9,3
1602590896,8,7
1602592848,11,6
1602594736,16,6
1602596659,19,13
1602598605,16,3
1602600497,8,6
1602602413,5,12
1602604367,10,2
1602606256,10,8
1602608178,12,14
1602610124,11,4
1602612024,14,8
1602614184,11,7
1602616095,9,5
1602618044,13,5
1602619934,7,12
1602621859,8,6
1602623801,10,6
1602625694,6,13
1602627611,11,16
1602629561,7,11
1602631452,10,12
1602633405,17,16
1602635289,9,9
1602637287,11,7
1602639164,5,15
1602641061,3,5
1602642981,10,15
1602644922,4,12
1602646815,9,6
1602648735,2,3
1602650688,8,10
1602652571,10,6
1602654399,10,4
1602656440,8,10
1602658331,12,11
1602660254,6,17
1602662205,11,10
1602664093,15,6
1602666184,12,8
1602668199,16,6
1602670093,16,5
1602672012,16,2
1602673958,7,8
1602675852,14,8
1602677771,8,12
1602679720,12,11
1602681609,12,16
1602683537,24,15
1602685481,6,15
1602687371,13,6
1602689315,4,10
1602691250,6,6
1602693134,7,9
1602694977,11,11
1602696968,12,18
1602698919,5,9
1602700816,20,9
1602702732,23,13
1602704681,3,10
1602706569,15,8
1602708492,9,5
1602710435,10,11
1602712331,13,6
1602714251,9,11
1602716197,16,7
1602718087,5,11
1602720125,7,17
1602722067,2,10
1602724202,17,9
1602726012,8,4
1602728209,8,8
1602730103,10,4
1602732117,10,9
1602733961,12,6
1602735856,10,3
1602737813,9,10
1602739694,16,10
1602741546,8,10
1602743563,11,11
1602745467,11,7
1602747375,17,9
1602749326,9,8
1602751217,18,20
1602753137,4,11
1602755097,9,15
1602757220,12,19
1602759137,12,11
1602761090,8,13
1602762977,14,11
1602764895,8,6
1602766971,11,6
1602769006,9,22
1602770892,2,15
1602772810,4,12
1602774765,2,5
1602776650,12,8
1602778579,5,7
1602780522,16,11
1602782409,5,8
1602784329,4,9
1602786286,5,11
1602788173,11,25
1602790124,14,10
1602792042,7,9
1602793934,4,15
1602795765,12,10
1602797774,9,8
1602799690,5,10
1602801645,15,18
1602803540,5,7
1602805454,20,8
1602807375,12,3
1602809291,13,8
1602811246,13,19
1602813138,8,7
1602815057,6,11
1602817007,3,9
1602818895,6,9
1602820898,2,12
1602822765,11,8
1602824612,19,12
1602826574,10,15
1602828629,6,7
1602830685,9,11
1602832573,12,13
1602834493,15,15
1602836445,12,9
1602838333,8,17
1602840256,4,5
1602842202,8,11
1602844094,8,12
1602846173,6,12
1602848000,9,11
1602849861,8,9
1602851774,25,10
1602853725,3,8
1602855617,5,5
1602857542,7,5
1602859487,8,3
1602861382,6,3
1602863296,11,11
1602865248,9,5
1602867147,8,16
1602869062,3,7
1602871004,13,4
1602872895,14,4
1602874891,7,11
1602876768,10,16
1602878657,10,5
1602880575,8,4
1602882523,14,18
1602884420,16,5
1602886340,9,5
1602888282,8,15
1602890180,4,6
1602892096,9,19
1602894049,8,11
1602895935,15,14
1602897855,14,13
1602899804,16,9
1602901699,8,6
1602903754,4,4
1602905568,8,5
1602907457,4,1
1602909376,1,14
1602911336,3,15
1602913219,1,10
1602915156,2,3
1602917085,6,9
1602918976,7,12
1602920895,7,15
1602922846,4,13
1602924739,4,8
1602926656,15,4
1602928602,15,8
1602930493,6,8
1602933651,9,10
1602935541,7,13
1602937462,5,14
1602939407,7,13
1602941394,9,5
1602943247,11,4
1602945142,5,7
1602946980,9,8
1602948988,3,10
1602950904,11,10
1602952858,4,7
1602954759,9,5
1602956668,14,8
1602958613,2,14
1602960505,2,13
1602962434,16,7
1602964385,9,13
1602966265,2,6
1602968184,12,14
1602970129,6,11
1602972064,18,14
1602973946,12,9
1602975911,4,5
1602977781,11,6
1602979708,3,8
1602981653,7,16
1602983558,2,12
1602985462,7,18
1602987411,14,10
1602989302,6,3
1602991223,9,11
1602993175,20,4
1602995064,6,2
1602996993,5,2
1602998930,8,2
1603000912,15,2
1603002743,20,1
1603004692,10,9
1603006579,13,7
1603008504,11,5
1603010449,6,5
1603012340,4,10
1603014260,10,14
1603016211,5,12
1603018105,8,5
1603020019,3,5
1603022004,8,7
1603023861,5,5
1603025792,3,8
1603027733,3,6
1603029676,6,14
1603031578,2,3
1603033467,5,9
1603035382,12,3
1603037340,4,12
1603039225,9,4
1603041145,3,9
1603043092,1,14
1603044981,2,2
1603046900,5,2
1603048851,14,15
1603050748,4,9
1603052664,15,2
1603054613,11,12
1603056501,12,6
1603058453,24,19
1603060376,19,12
1603062273,7,4
1603064186,8,12
1603066132,9,2
1603068027,37,7
1603069983,19,2
1603071868,15,7
1603073782,6,15
1603075734,9,6
1603077622,12,9
1603079577,13,20
1603081465,13,6
1603083410,7,5
1603085299,9,7
1603087295,10,15
1603089168,13,20
1603091076,8,10
1603092976,13,13
1603094943,11,11
1603096820,9,6
1603098742,15,4
1603100692,22,10
1603102582,24,5
1603104500,16,7
1603106447,10,3
1603108345,6,7
1603110263,5,5
1603112206,10,3
1603114098,19,3
1603116282,9,6
1603118176,9,1
1603120139,5,7
1603122026,9,10
1603123949,13,4
1603125892,17,9
1603127779,11,3
1603129703,14,1
1603131647,32,2
1603133556,15,7
1603135460,11,11
1603137408,13,6
1603139296,6,16
1603141345,16,9
1603143172,8,17
1603145063,16,23
1603146976,9,17
1603148937,17,6
1603150823,3,8
1603152741,7,13
1603154687,13,37
1603156580,10,19
1603158500,11,13
1603160462,7,6
1603162339,2,13
1603164257,26,8
1603166210,5,15
1603168103,10,11
1603170189,5,7
1603172172,5,10
1603174349,2,13
1603176254,3,9
1603178206,14,15
1603180094,15,9
1603182042,13,12
1603183992,10,9
1603185874,8,19
1603187877,12,20
1603189691,11,22
1603191684,9,14
1603193567,7,10
1603195457,6,5
1603197405,12,6
1603199310,4,11
1603201228,23,17
1603203173,7,10
1603205067,12,6
1603206983,3,8
1603208934,5,10
1603210824,9,14
1603212745,6,15
1603214698,5,13
1603216593,17,10
1603218505,13,33
1603220600,6,17
1603222604,14,7
1603224516,9,14
1603226420,3,7
1603228372,21,12
1603230264,11,14
1603232180,7,14
1603234127,12,14
1603236022,7,8
1603237942,4,4
1603239893,13,10
1603241788,4,11
1603243704,7,11
1603245691,15,10
1603247554,11,2
1603249471,8,12
1603251414,7,18
1603253307,16,4
1603255229,28,13
1603257169,11,4
1603259070,23,2
1603261016,20,3
1603262912,4,2
1603264854,12,19
1603266754,10,14
1603268676,7,11
1603270618,0,9
1603272506,2,10
1603274483,18,14
1603276376,11,8
1603278267,2,11
1603280188,8,8
1603282138,6,8
1603284023,14,11
1603286187,4,8
1603288103,4,18
1603290054,9,9
1603291944,5,11
1603293862,9,2
1603295825,5,7
1603297706,7,9
1603299815,8,5
1603302023,4,7
1603303945,18,17
1603305893,13,13
1603307780,4,10
1603309709,9,12
1603311654,20,4
1603313546,5,8
1603315466,6,19
1603317439,9,8
1603319344,58,11
1603321390,6,11
1603323371,13,4
1603325318,16,2
1603327212,24,16
1603329131,14,3
1603331082,12,9
1603332980,9,18
1603334899,8,9
1603336850,8,11
1603338730,0,3
1603340653,3,30
1603342609,12,16
1603344493,5,13
1603346455,7,29
1603348365,2,11
1603350259,3,1
1603352419,12,18
1603354334,2,7
1603356288,21,3
1603358170,7,1
1603360094,4,14
1603362047,15,12
1603363939,9,6
1603365853,11,6
1603367804,14,8
1603369695,24,8
1603371868,10,10
1603373779,15,1
1603375728,7,12
1603377619,6,5
1603379534,11,8
1603381490,3,8
1603383380,2,2
