DateTime,AddedIPs,RemovedIPs
1602522994,6,11
1602524927,6,5
1602526883,11,5
1602528767,11,7
1602530690,10,10
1602532619,6,3
1602534524,3,5
1602536575,4,8
1602538431,6,7
1602540287,6,4
1602542196,6,5
1602544132,7,7
1602546092,6,6
1602547953,5,3
1602549908,7,5
1602551785,9,4
1602553713,5,10
1602555659,3,6
1602557559,12,11
1602559498,6,7
1602561399,3,7
1602563334,4,10
1602565378,6,10
1602567392,11,12
1602569315,13,6
1602571255,9,6
1602573162,7,305
1602575071,305,6
1602577036,3,9
1602578957,5,5
1602580850,5,4
1602582787,7,6
1602584684,8,7
1602586644,8,5
1602588524,8,7
1602590466,7,5
1602592336,8,6
1602594290,8,3
1602596192,6,8
1602598187,5,3
1602600049,4,5
1602601943,6,2
1602603863,5,8
1602605803,3,4
1602607694,1,7
1602609615,5,4
1602611585,5,3
1602613479,5,8
1602615399,7,7
1602617356,8,9
1602619336,10,3
1602621168,7,4
1602623097,6,4
1602624989,5,6
1602626915,6,5
1602628870,6,4
1602630776,3,3
1602632729,4,4
1602634593,7,4
1602636505,5,10
1602638468,8,4
1602640352,8,4
1602642271,7,3
1602644262,1,12
1602646112,8,6
1602648098,9,6
1602649998,3,4
1602651864,6,3
1602653782,12,8
1602655738,6,13
1602657635,4,8
1602659553,3,8
1602661521,7,7
1602663410,14,3
1602665561,7,5
1602667506,8,3
1602669408,9,4
1602671311,8,6
1602673406,10,8
1602675403,5,6
1602677296,4,5
1602679217,9,8
1602681164,5,4
1602683056,10,7
1602684973,7,7
1602687166,1,7
1602689076,3,4
1602690984,83,6
1602692923,4,4
1602694997,3,6
1602696970,1,6
1602698920,0,3
1602700818,2,6
1602702734,14,7
1602704683,9,11
1602706571,12,10
1602708494,6,13
1602710437,8,7
1602712333,6,3
1602714254,11,4
1602716199,9,5
1602718089,7,4
1602720128,12,3
1602722068,7,5
1602724204,6,8
1602726014,3,14
1602728211,4,7
1602730105,2,6
1602732119,9,11
1602733963,6,5
1602735858,9,4
1602737815,11,3
1602739696,9,12
1602741548,9,10
1602743565,21,5
1602745469,26,0
1602747377,25,4
1602749328,21,17
1602751219,17,10
1602753138,15,6
1602755099,17,12
1602757222,15,12
1602759139,10,3
1602761092,6,8
1602762980,10,4
1602764897,9,7
1602767000,31,9
1602769008,28,8
1602770893,6,7
1602772812,6,0
1602774767,7,3
1602776652,17,86
1602778581,11,3
1602780524,7,3
1602782410,5,0
1602784331,14,2
1602786288,17,0
1602788175,15,7
1602790126,20,8
1602792045,20,11
1602793936,8,10
1602795778,7,3
1602797776,4,12
1602799692,15,4
1602801647,18,2
1602803542,9,6
1602805456,11,5
1602807377,16,5
1602809293,11,6
1602811248,6,5
1602813139,6,7
1602815059,4,4
1602817008,2,2
1602818896,2,9
1602820911,4,1
1602822767,0,5
1602824619,1,3
1602826576,2,4
1602828631,0,13
1602830687,0,20
1602832574,0,27
1602834495,1,20
1602836447,4,22
1602838335,1,13
1602840258,0,17
1602842204,5,11
1602844096,1,12
1602846190,0,12
1602848002,2,4
1602849863,2,11
1602851775,1,9
1602853727,3,44
1602855619,1,14
1602857543,8,7
1602859488,5,7
1602861384,0,14
1602863297,3,15
1602865250,3,9
1602867149,5,6
1602869064,1,4
1602871006,2,20
1602872897,2,13
1602874917,1,28
1602876769,2,16
1602878660,1,20
1602880576,0,9
1602882526,2,8
1602884422,3,9
1602886341,1,35
1602888284,1,31
1602890181,0,19
1602892098,0,18
1602894051,0,28
1602895936,0,18
1602897857,1,10
1602899806,0,14
1602901700,2,5
1602903774,3,2
1602905772,7,0
1602907722,1,5
1602909617,0,1
1602911530,8,1
1602913480,0,3
1602915369,2,1
1602917289,3,1
1602919241,0,75
1602921150,77,4
1602923054,1,1
1602925002,1,1
1602926894,1,1
1602928904,4,4
1602932582,1,0
1602934571,2,3
1602936531,3,2
