DateTime,AddedIPs,RemovedIPs
1600224998,95,98
1600230031,79,89
1600237477,98,82
1600244673,86,57
1600252356,67,67
1600259074,71,76
1600266277,87,100
1600273956,121,104
1600280915,114,92
1600288357,82,84
1600296034,57,103
1600303295,85,102
1600310671,97,103
1600317874,109,90
1600325088,73,72
1600332295,77,67
1600339711,84,76
1600346911,107,94
1600354355,96,216
1600361792,174,85
1600368991,103,85
1600376192,86,101
1600383643,83,95
1600390386,100,88
1600397792,95,99
1600404991,87,102
1600412192,83,87
1600419392,105,68
1600426595,75,61
1600434039,89,77
1600441266,80,75
1600448444,103,64
1600455638,61,76
1600463317,54,99
1600470756,74,79
1600477474,74,151
1600480354,91,54
1600481793,33,49
1600489231,91,81
1600496684,78,62
1600503875,75,65
1600511080,80,70
1600518511,73,70
1600525959,81,79
1600533151,82,69
1600540350,66,63
1600547553,72,77
1600554994,57,85
1600562218,70,113
1600569391,111,121
1600576836,115,70
1600584031,58,70
1600590999,82,265
1600598192,264,75
1600605393,81,60
1600612833,67,62
1600620060,64,77
1600627257,88,59
1600634467,59,98
1600641637,76,73
1600649073,74,87
1600656981,100,105
1600664178,77,66
1600671633,69,63
1600678593,85,95
1600686007,90,71
1600693450,71,78
1600700671,91,69
1600708110,69,66
1600715324,86,66
1600722516,73,91
1600729713,80,88
1600736921,75,99
1600744134,86,192
1600751801,152,80
1600758991,79,76
1600766209,66,116
1600773402,132,75
1600780830,92,64
1600788292,72,82
1600795473,83,72
1600802195,80,78
1600809631,102,112
1600816831,95,106
1600824056,80,106
1600831231,120,100
1600838676,69,79
1600845873,83,59
1600853308,85,63
1600860513,75,69
1600867957,77,108
1600874909,108,123
1600882111,130,76
1600889556,80,84
1600896758,90,98
1600903996,80,209
1600911390,197,96
1600918594,98,85
1600926510,80,68
1600933735,83,68
1600940921,71,103
1600948127,114,71
1600955313,82,70
1600962270,77,93
1600969472,84,79
1600976924,62,70
1600984113,63,86
1600991309,60,98
1600998755,103,86
1601005950,82,102
1601013407,66,103
1601020592,119,72
1601028044,83,99
1601034749,104,77
1601042230,86,220
1601049642,170,85
1601056599,90,176
1601063790,170,78
1601071246,78,72
1601078440,57,97
1601085395,122,99
1601092660,103,112
1601100513,93,77
1601107712,383,67
1601115398,76,72
1601122119,87,75
1601129791,69,81
1601137228,87,93
1601144430,85,76
1601151657,86,72
1601159550,70,88
1601166749,87,90
1601174192,102,104
1601181186,80,83
1601189071,72,47
1601195792,79,82
1601202992,98,67
1601210190,84,84
1601217636,82,160
1601224836,157,70
1601232031,83,84
1601239233,95,96
1601246908,67,82
1601253905,88,72
1601261072,87,100
1601268272,69,97
1601276191,75,82
1601283392,109,70
1601290142,74,58
1601297311,82,107
1601304508,127,86
1601311952,85,71
1601319390,78,83
1601326589,74,79
1601334036,66,89
1601341259,85,86
1601348484,95,123
1601355669,100,94
1601362849,90,87
1601370045,103,165
1601377716,137,71
1601385153,93,74
1601392354,107,65
1601399552,78,60
1601406557,81,108
1601413716,92,96
1601421393,81,80
1601428368,86,109
1601431239,35,45
1601431950,45,42
1601432718,42,45
1601433389,45,42
1601434836,42,45
1601436271,45,42
1601436991,81,112
1601437709,47,47
1601440828,72,48
1601447809,50,159
1601454989,184,70
1601462672,80,67
1601469876,72,63
1601477092,69,69
1601484508,94,70
1601491475,98,87
1601499637,64,108
1601506112,88,108
1601513316,94,100
1601521233,107,104
1601528451,94,73
1601535633,72,82
1601543076,107,97
1601549549,51,42
1601550989,53,59
1601557719,89,69
1601564910,82,67
1601572150,73,124
1601579554,126,76
1601586792,92,73
1601594187,48,88
1601601629,83,114
1601608827,91,182
1601615550,164,91
1601622761,96,67
1601630673,82,68
1601637627,68,60
1601645086,70,90
1601652275,91,116
1601659954,103,55
1601667231,75,91
1601674354,91,94
1601681788,71,159
1601689232,171,89
1601696193,85,109
1601703389,75,85
1601710589,80,66
1601717794,85,82
1601725728,84,45
1601732910,76,76
1601740109,76,81
1601747309,73,94
1601754509,98,94
1601761708,93,155
1601768934,134,82
1601776114,95,152
1601783310,110,107
1601790513,93,71
1601797733,84,179
1601804910,189,48
1601812122,63,67
1601819311,83,58
1601826528,72,84
1601833718,100,97
1601840927,108,76
1601848836,62,84
1601856041,61,90
1601863240,94,109
1601870441,110,97
1601877681,83,68
1601885552,91,74
1601892759,82,59
1601899958,78,96
