DateTime,AddedIPs,RemovedIPs
1602210880,2,0
1602217558,2,0
1602221679,1,3
1602222947,1,0
1602228895,0,1
1602232491,5,2
1602239672,0,3
1602244133,0,2
1602246340,0,3
1602250480,1,0
1602255326,1,0
1602257142,0,1
1602257683,0,1
1602261281,1,0
1602264881,2,3
1602267551,0,1
1602268488,0,4
1602272086,1,0
1602275677,0,1
1602279282,1,1
1602280492,0,1
1602282893,0,1
1602287770,0,1
1602289541,0,2
1602290090,0,1
1602293688,0,2
1602295020,6,0
1602296741,1,1
1602308078,1,8
1602309560,1,0
1602315284,1,1
1602316859,0,1
1602319721,0,1
1602321343,2,0
1602324166,0,1
1602325536,1,0
1602329138,1,0
1602332735,0,2
1602344089,0,1
1602345402,2,0
1602347686,0,2
1602357445,1,0
1602359450,1,0
1602362089,0,1
1602365689,0,3
1602374857,4,0
1602380088,3,2
1602382111,2,0
1602387299,0,2
1602400494,1,0
1602401677,0,5
1602405283,1,0
1602408871,0,1
1602411937,4,0
1602417044,1,0
1602419676,0,1
1602426884,1,0
1602430469,2,3
1602434084,1,2
1602436051,1,0
1602437683,1,0
1602439995,1,1
1602442599,1,0
1602447311,1,0
1602448475,2,1
1602454586,2,0
1602458733,0,1
1602461851,2,0
1602464159,0,1
1602465945,0,5
1602467452,0,1
1602474850,0,1
1602480108,0,1
1602491127,2,0
1602492649,0,2
1602494183,1,0
1602495285,0,1
1602497751,1,0
1602498887,0,1
1602502497,1,0
1602509691,1,0
1602519660,1,0
1602524676,1,0
1602526146,1,0
1602527688,1,1
1602531284,0,1
1602533735,2,0
1602539441,1,0
1602544493,0,4
1602548554,1,1
1602552885,1,4
1602555717,1,0
1602560116,1,0
1602563020,1,1
1602566733,3,0
1602568236,3,0
1602570102,3,0
1602573936,4,0
1602577150,5,1
1602578738,10,0
1602580414,2,0
1602581690,0,5
1602585301,1,0
1602592478,3,0
1602594512,3,0
1602596999,0,1
1602599695,2,2
1602600863,3,0
1602602716,0,1
1602603308,0,2
1602604431,3,1
1602606875,3,1
1602608795,4,0
1602610487,2,1
1602613118,0,1
1602614083,2,0
1602616167,0,1
1602617677,0,2
1602623613,1,1
1602632034,1,2
1602634857,1,0
1602637493,2,0
1602641234,1,0
1602642346,1,0
1602647458,2,0
1602657292,2,1
1602658667,2,0
1602660887,0,2
1602664228,6,0
1602665445,11,0
1602667044,2,0
1602668099,0,1
1602669829,1,0
1602670998,2,0
1602672117,0,1
1602673698,0,1
1602677314,1,0
1602678894,0,1
1602680550,1,0
1602682485,0,1
1602686076,3,0
1602689139,2,0
1602689681,0,1
1602693284,2,0
1602696877,1,2
1602698050,0,1
1602699441,2,0
1602700475,1,0
1602701951,0,1
1602703539,1,0
1602707697,3,1
1602712058,2,0
1602714884,1,0
1602716791,1,0
1602717936,1,0
