DateTime,AddedIPs,RemovedIPs
1602921946,179,102
1602923644,59,77
1602925080,58,32
1602926384,99,65
1602927245,58,88
1602928514,57,28
1602929904,182,61
1602930845,54,115
1602932732,277,111
1602934452,98,81
1602936025,0,25086
1602937504,25218,0
1602938972,70,87
1602940094,166,127
1602941644,75,103
1602943429,269,89
1602944674,55,2
1602946204,94,73
1602947734,146,93
1602948844,93,79
1602950034,76,24
1602951450,97,59
1602952445,49,93
1602955272,145,73
1602957006,88,386
1602959105,146,593
1602960590,85,646
1602963244,156,966
1602966845,155,916
1602969810,66,468
1602971407,37,464
1602972567,63,471
1602974045,60,427
1602977053,99,489
1602977643,18,484
1602980704,83,460
1602982204,45,406
1602983562,43,425
1602987904,223,336
1602988444,13,71
1602992046,133,151
1602995105,90,82
1602996391,52,161
1602999245,111,171
1603000884,57,53
1603002090,57,1
1603003448,35,69
1603005222,166,82
1603006767,40,86
1603009507,166,84
1603010044,20,63
1603012636,180,67
1603013644,40,60
1603017244,153,127
1603019282,87,69
1603020432,25,3
1603020854,12,68
1603022163,42,30
1603023904,55,44
1603024444,20,85
1603026512,83,97
1603027675,40,1
1603028051,6,56
1603030197,87,55
1603031639,41,85
1603033954,94,76
1603035244,53,56
1603036861,52,49
1603038304,66,3
1603038845,26,107
1603041904,133,58
1603043405,55,64
1603045455,137,61
1603047004,623,87
1603049645,364,161
1603052706,242,52
1603054204,105,52
1603055582,90,77
1603056855,158,83
1603058415,0,20183
1603059780,20471,0
1603060940,85,86
1603064045,206,175
1603067104,186,103
1603068604,111,55
1603070704,118,76
1603072206,82,71
1603074844,111,158
1603076483,80,134
1603078448,118,86
1603081394,157,74
1603082046,48,51
1603083775,69,86
1603085646,77,109
1603087463,70,118
1603088718,68,2
1603090205,59,106
1603092196,81,136
1603092857,23,121
1603094597,54,75
1603096445,83,130
1603098438,86,128
1603100045,167,156
1603101155,40,8
1603102667,53,167
1603103932,53,181
1603106420,203,113
1603108208,80,111
1603109444,59,177
1603110846,69,134
1603113906,247,222
1603115415,91,133
1603117445,78,158
1603119564,84,283
1603120842,36,9
1603121644,39,121
1603124591,136,94
1603126726,109,185
1603128167,151,17
1603128845,54,135
1603131839,169,128
1603133404,91,129
1603136046,165,159
1603139646,220,83
1603143244,285,159
1603146313,174,66
1603147805,83,49
1603149076,60,58
1603150444,94,57
1603151553,116,15
1603153473,114,72
1603154046,37,48
1603155361,64,22
1603157644,116,233
1603160259,110,67
1603161244,52,67
1603164845,315,109
1603165953,72,24
1603167905,85,93
1603169405,50,60
1603171053,88,77
1603172044,75,89
1603174802,180,143
1603176194,56,60
1603178136,93,78
1603179246,57,147
1603180620,69,4
1603182255,199,70
1603182853,40,143
1603184654,91,122
1603186444,172,69
1603187572,0,20600
1603190044,20601,0
1603191858,94,58
1603193643,159,64
1603194977,86,8
1603196704,101,83
1603197244,32,98
1603200846,131,145
1603203905,214,76
1603205256,117,94
1603207280,149,86
1603208380,60,85
1603211645,126,233
1603214035,96,70
1603215248,0,20866
1603218845,20765,0
1603221775,113,81
1603222444,37,64
1603223577,60,3
1603225505,118,88
1603226044,36,90
1603228080,117,101
1603229203,48,2
1603229648,18,95
1603230810,62,0
1603233247,117,182
1603236304,139,86
1603237441,43,99
1603240464,0,20782
1603244044,20667,0
1603246578,170,101
1603247644,57,84
1603248784,42,3
1603250704,101,93
1603251245,14,116
1603252914,65,89
1603254199,49,2
1603255316,49,85
1603257417,84,86
1603258445,49,78
1603262043,194,159
1603263196,38,4
1603265645,118,139
1603268706,180,89
1603270204,64,174
1603272846,108,166
1603274626,147,93
1603276444,98,153
1603279176,139,99
1603280047,38,91
1603281782,95,88
1603283646,71,96
1603285946,89,84
1603287555,72,76
1603290089,82,63
1603290844,44,61
1603292571,78,88
1603294445,98,93
1603295933,83,69
1603297504,118,13
1603298044,31,124
1603299140,65,6
1603300426,164,81
1603301647,59,74
1603303131,78,82
1603304599,68,6
1603305247,40,81
1603308303,195,100
1603308845,16,79
1603310819,159,85
1603314713,229,197
1603316045,69,88
1603318528,182,89
1603320606,92,74
1603322705,100,70
1603323835,63,76
1603326844,141,212
1603330444,174,163
1603334045,157,187
1603337106,103,106
1603338604,55,62
1603340706,88,80
1603342206,67,77
1603343798,77,126
1603345304,63,85
1603347905,153,119
1603348445,30,88
1603350838,111,87
1603352061,54,123
1603354129,86,109
1603355647,52,180
1603357630,152,148
1603359245,85,87
1603360755,87,101
1603361847,96,6
1603363268,63,130
1603365820,552,119
1603367480,156,101
1603369505,99,124
1603373121,202,201
1603374569,55,103
1603377246,113,242
1603379137,90,91
1603380304,64,4
1603381649,73,63
1603382887,63,310
1603384444,73,63
1603385653,56,18
1603387504,89,45
1603389195,75,50
1603390497,65,57
1603392495,79,74
1603394470,141,59
1603395249,40,94
1603396489,106,29
1603398205,110,88
1603399332,52,90
1603400787,81,145
1603402445,84,86
1603403730,49,26
1603405128,42,61
1603406048,31,81
1603408458,106,82
1603409645,70,90
1603410971,109,19
1603412621,70,60
1603413247,35,81
1603415175,82,85
1603416854,55,119
1603418227,60,32
1603419521,66,45
1603420445,35,83
1603422495,68,72
1603424414,77,76
1603426396,77,74
1603427650,37,78
1603429669,64,112
1603431245,61,111
1603432685,53,31
1603434304,46,56
1603434844,22,82
1603438445,133,216
1603439977,59,80
1603441141,58,5
1603443008,62,88
1603444211,87,132
1603445415,34,99
1603446803,39,4
1603448109,46,81
1603449243,39,115
1603451011,63,79
1603452846,94,72
1603454619,121,82
1603456444,128,72
1603457819,48,32
1603460045,86,110
1603461885,270,85
