DateTime,AddedIPs,RemovedIPs
1602724622,9,14
1602726782,9,22
1602728667,13,14
1602730596,9,25
1602732524,13,14
1602735405,10,9
1602741148,7,55
1602743063,11,25
1602745003,4,0
1602749802,14,55
1602751705,8,14
1602753648,7,12
1602755551,5,20
1602757488,9,7
1602759407,5,6
1602761318,11,11
1602763298,10,6
1602765141,7,11
1602767318,6,8
1602769238,10,12
1602771173,7,17
1602773061,4,14
1602774986,6,19
1602776940,4,13
1602778842,5,15
1602780795,11,22
1602782700,10,13
1602784597,6,26
1602786763,11,23
1602788751,8,5
1602790603,9,20
1602792516,16,19
1602794489,11,0
1602796354,17,0
1602798273,11,13
1602802104,11,18
1602804065,5,9
1602807871,4,25
1602809801,8,12
1602811687,7,11
1602813637,10,18
1602815565,10,18
1602817462,9,17
1602819379,12,13
1602821331,13,15
1602823243,3,10
1602825137,7,14
1602827080,6,9
1602828963,4,17
1602830886,7,12
1602832835,8,10
1602834724,10,0
1602836658,6,14
1602838595,7,23
1602840504,11,8
1602842441,13,0
1602844403,6,12
1602846532,14,6
1602848435,8,6
1602850345,12,10
1602852304,13,19
1602855192,8,7
1602857066,7,7
1602860967,10,28
1602863808,9,21
1602865701,13,9
1602867645,14,19
1602869583,13,10
1602871462,9,10
1602873382,5,14
1602875327,17,9
1602877223,10,12
1602879133,6,12
1602881090,6,14
1602882999,8,13
1602884908,9,10
1602886877,6,10
1602888767,12,24
1602890666,11,9
1602892625,8,21
1602896436,4,23
1602898378,9,9
1602900276,7,12
1602903136,11,9
1602905069,12,9
1602907021,7,12
1602908909,10,17
1602912765,5,30
1602914652,15,13
1602919447,13,46
1602921414,10,15
1602925230,9,13
1602927160,3,7
1602929056,10,7
1602931006,11,9
1602934819,3,12
1602936777,11,9
1602938697,5,8
1602940592,10,0
1602945388,7,24
1602947562,5,0
1602949498,6,5
1602951443,6,9
1602953324,9,14
1602955230,8,8
1602957177,4,8
1602959063,13,8
1602960985,7,8
1602962926,9,13
1602965825,10,24
1602967699,11,8
1602969618,6,7
1602971593,7,17
1602973461,8,16
1602975390,6,6
1602977330,7,9
1602979260,6,15
1602981150,6,9
1602984980,9,28
1602986903,6,14
1602988854,6,13
1602990739,8,18
1602994629,9,26
1602996544,14,25
1602998417,14,13
1603000360,11,20
1603002263,7,14
1603004170,14,17
1603006110,15,0
1603008020,10,17
1603011885,22,7
1603013767,10,5
1603017699,5,26
1603019528,1,15
1603021451,4,0
1603023418,9,10
1603025302,9,6
1603027259,9,7
1603029166,15,9
1603031064,5,8
1603033029,2,7
1603034898,3,9
1603036829,8,12
1603038813,4,5
1603040670,4,20
1603042584,4,7
1603046433,10,22
1603048406,9,12
1603050288,8,14
1603052278,8,7
1603054105,9,15
1603056048,6,6
1603057940,7,6
1603059868,5,13
1603061832,4,13
1603063698,8,0
1603065631,7,0
1603067599,6,25
1603069463,5,15
1603071411,8,12
1603073320,12,11
1603077168,12,16
1603079092,8,17
1603080985,9,8
1603082899,4,22
1603084836,8,18
1603086728,5,25
1603088671,5,10
1603090601,9,19
1603092485,5,7
1603094433,11,15
1603096356,6,11
1603100173,12,21
1603102131,9,9
1603104038,8,9
1603105995,9,0
1603107888,12,6
1603110049,9,7
1603111941,10,18
1603113878,10,6
1603115825,9,21
1603117734,5,7
1603119653,3,5
1603123466,10,20
1603125408,8,6
1603127326,4,12
1603129243,6,1
1603131197,10,8
1603133097,9,7
1603136916,4,23
1603138865,8,9
1603140742,3,7
1603142676,7,4
1603145546,7,7
1603147488,12,9
1603149387,4,10
1603151303,8,16
1603153250,10,9
1603157075,14,23
1603159024,11,21
1603160918,11,8
1603162842,6,4
1603164771,7,7
1603166676,7,16
1603168619,9,26
1603170503,12,15
1603172437,11,11
1603174342,6,11
1603176246,9,7
1603178197,5,5
1603182033,11,16
1603183983,5,15
1603185867,8,7
1603188750,4,0
1603190718,10,10
1603192890,4,3
1603194773,5,8
1603196785,8,3
1603198876,11,5
1603200781,11,9
1603204594,6,9
1603206510,8,7
1603208459,5,2
1603210372,7,5
1603212274,4,13
1603214187,2,5
1603216136,5,8
1603218044,4,9
1603219940,10,6
1603223797,10,7
1603225702,12,12
1603227651,10,10
1603229542,6,10
1603231477,10,0
1603233410,8,7
1603235303,12,10
1603238205,15,24
1603240347,14,15
1603242275,9,8
1603244207,2,12
1603246102,8,10
1603248066,7,9
1603249995,6,0
1603251868,10,16
1603253782,7,20
1603255757,11,15
1603258606,9,48
1603260490,7,0
1603262481,7,33
1603264368,11,0
1603266288,13,14
1603268168,16,0
1603270097,6,9
1603272041,13,13
1603273931,12,15
1603275868,8,13
1603277819,12,11
1603279698,7,6
1603281648,10,8
1603283569,12,6
1603285730,12,0
1603287624,12,12
1603289540,9,7
1603291489,6,8
1603293394,6,9
1603295301,4,11
1603297234,7,4
1603299171,11,18
1603301133,8,4
1603303021,10,19
1603304906,12,5
1603306845,18,0
1603308771,10,12
1603310665,11,32
1603312585,14,9
1603314542,9,16
1603317421,6,25
1603319328,12,5
1603322181,9,10
1603324091,11,23
1603326055,11,0
1603327944,12,0
1603329872,15,2
1603331813,17,9
1603333715,10,11
1603335665,9,15
1603337581,8,16
1603339461,9,0
1603341396,6,14
1603343346,9,15
1603347128,14,12
1603349079,13,19
1603352890,15,26
1603354837,10,20
1603356746,5,11
1603358666,8,0
1603360625,9,8
1603362496,12,7
1603365671,5,0
1603367537,6,6
1603369459,7,2
1603372337,7,18
1603374286,6,0
1603376186,3,11
1603378105,10,7
1603380051,8,6
1603385875,8,10
1603387707,7,0
1603389642,8,4
1603391584,7,2
1603393468,7,6
1603395384,10,8
1603397341,8,9
1603399279,6,4
1603401155,4,6
1603403087,5,21
1603404976,6,10
1603406900,5,14
1603408855,5,6
1603410737,5,3
1603414624,18,21
1603416528,9,4
1603418423,9,11
1603420399,10,20
1603422260,7,10
1603424208,3,11
1603426110,5,8
1603428063,15,16
1603429965,4,9
1603431854,5,13
1603435726,4,12
1603437616,6,1
1603439527,7,2
1603441495,12,6
1603443371,5,4
1603445540,6,7
1603447469,6,8
1603449405,7,4
1603451302,6,7
1603453222,3,0
1603455173,10,12
1603457074,12,14
1603458987,4,13
1603460930,7,11
1603462833,6,13
1603465698,3,27
1603467891,5,12
1603471744,5,29
1603473623,5,14
1603475570,10,19
1603477474,4,14
1603479410,4,10
1603481311,11,7
1603483263,5,7
1603485151,5,0
1603487308,16,6
1603489258,5,17
1603491171,14,13
1603495942,9,17
1603497923,13,19
1603499804,17,0
1603501704,8,3
1603503658,10,9
1603505543,4,4
1603507486,10,12
1603509421,12,16
1603511300,10,24
1603514183,10,17
1603516098,10,18
1603518048,7,20
1603519940,6,0
1603521863,5,15
1603527610,7,29
1603529570,5,13
1603531451,7,0
1603533382,15,12
1603535322,6,18
1603537234,3,0
1603539168,11,4
1603541067,6,11
1603542977,7,15
1603544913,12,8
1603546839,5,8
1603548752,6,5
1603550682,13,9
1603552578,3,6
1603554501,4,21
1603556473,7,9
1603558356,5,21
1603562227,10,21
1603564103,6,11
1603566048,6,6
1603567988,7,17
1603569866,7,7
1603571818,2,10
1603573702,9,10
1603576587,10,6
1603580494,9,20
1603582343,6,0
1603584301,7,19
1603586215,8,0
1603588100,6,7
1603590055,6,7
1603591980,12,9
1603593853,14,7
1603595818,7,14
1603597706,6,15
1603599897,6,14
1603601775,7,20
1603605646,6,16
1603608495,6,10
1603610424,7,9
1603612356,4,18
1603614250,6,7
1603616169,9,13
1603618111,5,17
1603620012,7,0
1603621930,9,9
1603623885,4,8
1603625793,3,10
1603627697,9,9
1603629647,8,14
1603631541,10,2
1603633483,11,7
1603635405,15,11
1603637290,11,15
1603639241,22,11
1603641164,5,18
1603643071,7,3
1603645929,2,12
1603647867,7,0
1603649831,9,10
1603651715,8,20
1603654624,10,6
1603656513,11,18
1603658506,6,3
1603660356,5,8
1603662263,5,10
1603664201,6,9
1603666145,8,17
1603668010,2,9
1603669979,13,10
1603672167,8,9
1603676902,3,13
1603678853,6,17
1603680782,9,21
1603682676,5,11
1603685540,11,8
1603687467,14,0
1603689406,4,12
1603691306,12,3
1603693266,9,8
1603695230,13,6
1603697057,7,0
1603698978,11,8
1603700919,12,14
1603702845,7,9
1603706681,10,0
1603708578,7,12
1603710526,7,8
1603712456,5,7
1603714351,7,11
1603718228,12,18
1603720127,4,9
1603722050,14,6
1603723943,9,14
1603725887,4,6
1603727783,6,6
1603729710,7,4
1603732578,8,4
1603734527,8,6
1603736456,9,13
1603738357,2,12
1603740302,6,12
1603742187,6,13
1603744109,5,14
1603746094,8,18
1603747943,6,10
1603749887,5,19
1603751821,5,10
1603753726,10,7
1603755630,6,6
1603757569,5,9
1603759494,9,13
1603761372,6,8
1603763318,12,10
1603765254,2,10
1603767127,5,8
1603772900,1,33
1603774860,20,13
1603776756,11,8
1603778695,8,0
1603780565,8,9
1603784420,7,18
1603786372,10,10
1603790191,6,15
1603792109,7,6
1603794054,15,8
1603795959,13,7
1603797872,3,8
