DateTime,AddedIPs,RemovedIPs
1583699532,114,193
1583713837,127,183
1583728266,94,71
1583742615,90,128
1583757036,110,120
1583771404,124,146
1583785873,232,137
1583800231,145,150
1583814633,115,155
1583829014,86,159
1583843619,556,184
1583858440,463,163
1583872806,308,204
1583887268,311,261
1583901729,364,256
1583917454,706,168
1583934822,671,215
1583949510,326,151
1583967465,266,190
1583981764,193,166
1583996358,432,152
1584014693,650,194
1584032855,417,169
1584050896,204,175
1584068874,229,278
1584086917,242,205
1584104840,141,210
1584122830,155,166
1584140799,213,170
1584158888,201,135
1584176911,166,160
1584194880,153,177
1584212794,132,194
1584230778,168,196
1584248810,164,164
1584266725,146,181
1584284706,163,182
1584302664,196,175
1584320996,478,127
1584339428,652,113
1584357519,351,126
1584375652,227,147
1584393631,200,216
1584411593,194,226
1584429590,168,167
1584447411,164,417
1584465092,124,523
1584483054,167,277
1584501099,286,241
1584518865,214,627
1584536331,185,695
1584554274,158,372
1584568588,148,189
1584583019,204,149
1584597472,157,307
1584611416,179,582
1584625603,186,449
1584639999,210,259
1584654494,205,150
1584669198,183,139
1584683344,142,162
1584697737,137,146
1584712100,119,139
1584726536,182,136
1584741260,312,160
1584755726,316,116
1584770174,206,91
1584784655,171,113
1584799147,139,106
1584817137,172,120
1584835173,202,135
1584853278,134,111
1584871244,129,121
1584889227,111,151
1584907265,181,180
1584925359,203,206
1584943126,176,316
1584961057,208,323
1584975534,128,161
1584993504,186,225
1585011580,161,199
1585029549,137,187
1585047384,145,243
1585061689,150,167
1585076066,137,194
1585090561,124,128
1585104869,118,201
1585119362,103,152
1585133552,117,186
1585147874,107,167
1585162209,123,184
1585177047,513,122
1585191710,353,174
1585210401,259,244
1585227563,204,241
1585245468,143,277
1585259706,94,186
1585274108,111,186
1585288265,112,210
1585302582,120,203
1585317036,146,203
1585331206,255,372
1585345598,130,169
1585359961,88,164
1585374313,120,142
1585388814,111,145
1585403011,121,151
1585417580,296,144
1585432034,224,172
1585446519,177,128
1585461045,163,148
1585475247,111,123
1585489708,129,120
1585504030,126,188
1585518464,175,163
1585533098,242,146
1585547343,262,194
1585561797,273,205
1585576258,194,175
1585590573,103,170
1585605139,178,178
1585619409,143,132
1585633813,166,124
1585648240,187,140
1585662665,172,165
1585677171,135,140
1585691435,143,133
1585705871,145,143
1585720297,168,136
1585734698,128,161
1585749151,108,140
1585763445,148,171
1585777865,125,141
1585792265,170,229
1585806589,177,178
1585821098,166,195
1585835410,139,182
1585849717,119,183
1585864219,108,110
1585878679,139,131
1585893141,123,155
1585907340,111,149
1585921685,105,173
1585935940,127,274
1585950271,132,162
1585965181,406,115
1585979509,266,126
1585993921,120,121
1586008225,124,169
1586022563,117,146
1586037164,203,175
1586051458,186,138
1586065775,137,143
1586080238,105,121
1586094645,110,146
1586109115,97,137
1586123333,132,148
1586137765,217,206
1586152241,228,280
1586166425,139,297
1586180843,120,261
1586195063,111,148
1586210279,106,162
1586227495,235,160
1586241957,190,138
1586256387,193,188
1586270915,168,203
1586285224,187,156
1586299679,161,112
1586314081,170,127
1586328517,162,121
1586343049,140,146
1586357313,116,120
1586371728,170,133
1586386285,171,103
1586400680,194,141
1586415222,205,184
1586429477,172,196
1586443860,121,153
1586458202,121,109
1586472977,399,134
1586487570,232,122
1586505588,231,149
1586523631,197,141
1586541773,213,177
1586559833,204,183
1586577920,226,180
1586595934,216,191
1586613976,207,125
1586631961,157,164
1586650066,223,221
1586668101,230,171
1586686075,166,127
1586704136,172,160
1586721978,176,193
1586740255,308,169
1586758139,242,280
1586776198,200,209
1586794520,206,172
1586812051,198,186
1586830055,189,169
1586848009,125,236
1586865913,166,226
1586883944,197,214
1586901965,210,201
1586920094,291,212
1586938131,242,199
1586956042,205,184
1586974050,215,188
1586995394,270,171
1587013772,283,235
1587032063,542,212
1587050038,316,263
1587068382,509,173
1587086618,426,248
1587104837,523,211
1587122926,313,192
1587140781,281,197
1587158851,236,176
1587176909,257,196
1587194855,254,241
1587212869,211,150
1587230889,161,151
1587249042,281,155
1587267332,298,202
