DateTime,Entries,UniqueIPs
1583699532,16566,16566
1583713837,16510,16510
1583728266,16533,16533
1583742615,16495,16495
1583757036,16485,16485
1583771404,16463,16463
1583785873,16558,16558
1583800231,16553,16553
1583814633,16513,16513
1583829014,16440,16440
1583843619,16812,16812
1583858440,17112,17112
1583872806,17216,17216
1583887268,17266,17266
1583901729,17374,17374
1583917454,17912,17912
1583934822,18368,18368
1583949510,18543,18543
1583967465,18619,18619
1583981764,18646,18646
1583996358,18926,18926
1584014693,19382,19382
1584032855,19630,19630
1584050896,19659,19659
1584068874,19610,19610
1584086917,19647,19647
1584104840,19578,19578
1584122830,19567,19567
1584140799,19610,19610
1584158888,19676,19676
1584176911,19682,19682
1584194880,19658,19658
1584212794,19596,19596
1584230778,19568,19568
1584248810,19568,19568
1584266725,19533,19533
1584284706,19514,19514
1584302664,19535,19535
1584320996,19886,19886
1584339428,20425,20425
1584357519,20650,20650
1584375652,20730,20730
1584393631,20714,20714
1584411593,20682,20682
1584429590,20683,20683
1584447411,20430,20430
1584465092,20031,20031
1584483054,19921,19921
1584501099,19966,19966
1584518865,19553,19553
1584536331,19043,19043
1584554274,18829,18829
1584568588,18788,18788
1584583019,18843,18843
1584597472,18693,18693
1584611416,18290,18290
1584625603,18027,18027
1584639999,17978,17978
1584654494,18033,18033
1584669198,18077,18077
1584683344,18057,18057
1584697737,18048,18048
1584712100,18028,18028
1584726536,18074,18074
1584741260,18226,18226
1584755726,18426,18426
1584770174,18541,18541
1584784655,18599,18599
1584799147,18632,18632
1584817137,18684,18684
1584835173,18751,18751
1584853278,18774,18774
1584871244,18782,18782
1584889227,18742,18742
1584907265,18743,18743
1584925359,18740,18740
1584943126,18600,18600
1584961057,18485,18485
1584975534,18452,18452
1584993504,18413,18413
1585011580,18375,18375
1585029549,18325,18325
1585047384,18227,18227
1585061689,18210,18210
1585076066,18153,18153
1585090561,18149,18149
1585104869,18066,18066
1585119362,18017,18017
1585133552,17948,17948
1585147874,17888,17888
1585162209,17827,17827
1585177047,18218,18218
1585191710,18397,18397
1585210401,18412,18412
1585227563,18375,18375
1585245468,18241,18241
1585259706,18149,18149
1585274108,18074,18074
1585288265,17976,17976
1585302582,17893,17893
1585317036,17836,17836
1585331206,17719,17719
1585345598,17680,17680
1585359961,17604,17604
1585374313,17582,17582
1585388814,17548,17548
1585403011,17518,17518
1585417580,17670,17670
1585432034,17722,17722
1585446519,17771,17771
1585461045,17786,17786
1585475247,17774,17774
1585489708,17783,17783
1585504030,17721,17721
1585518464,17733,17733
1585533098,17829,17829
1585547343,17897,17897
1585561797,17965,17965
1585576258,17984,17984
1585590573,17917,17917
1585605139,17917,17917
1585619409,17928,17928
1585633813,17970,17970
1585648240,18017,18017
1585662665,18024,18024
1585677171,18019,18019
1585691435,18029,18029
1585705871,18031,18031
1585720297,18063,18063
1585734698,18030,18030
1585749151,17998,17998
1585763445,17975,17975
1585777865,17959,17959
1585792265,17900,17900
1585806589,17899,17899
1585821098,17870,17870
1585835410,17827,17827
1585849717,17763,17763
1585864219,17761,17761
1585878679,17769,17769
1585893141,17737,17737
1585907340,17699,17699
1585921685,17631,17631
1585935940,17484,17484
1585950271,17454,17454
1585965181,17745,17745
1585979509,17885,17885
1585993921,17884,17884
1586008225,17839,17839
1586022563,17810,17810
1586037164,17838,17838
1586051458,17886,17886
1586065775,17880,17880
1586080238,17864,17864
1586094645,17828,17828
1586109115,17788,17788
1586123333,17772,17772
1586137765,17783,17783
1586152241,17731,17731
1586166425,17573,17573
1586180843,17432,17432
1586195063,17395,17395
1586210279,17339,17339
1586227495,17414,17414
1586241957,17466,17466
1586256387,17471,17471
1586270915,17436,17436
1586285224,17467,17467
1586299679,17516,17516
1586314081,17559,17559
1586328517,17600,17600
1586343049,17594,17594
1586357313,17590,17590
1586371728,17627,17627
