DateTime,Entries,UniqueIPs
1602029281,6740,6740
1602037204,6758,6758
1602039121,6745,6745
1602042962,6739,6739
1602046810,6743,6743
1602048725,6739,6739
1602052563,6727,6727
1602056404,6728,6728
1602060243,6736,6736
1602064323,6728,6728
1602068165,6720,6720
1602070082,6722,6722
1602073922,6708,6708
1602077762,6717,6717
1602083526,6711,6711
1602085442,6715,6715
1602089282,6709,6709
1602093122,6705,6705
1602096962,6691,6691
1602102724,6694,6694
1602106565,6688,6688
1602110403,6690,6690
1602112322,6716,6716
1602118083,6706,6706
1602121923,6723,6723
1602127683,6720,6720
1602129608,6707,6707
1602131523,6709,6709
1602135362,6720,6720
1602139201,6728,6728
1602143042,6747,6747
1602148805,6742,6742
1602150722,6738,6738
1602154563,6728,6728
1602156725,6724,6724
1602158642,6713,6713
1602164405,6713,6713
1602168247,6713,6713
1602172083,6720,6720
1602175922,6732,6732
1602179764,6717,6717
1602183604,6715,6715
1602185522,6716,6716
1602189361,6716,6716
1602193203,6709,6709
1602197043,6715,6715
1602200882,6747,6747
1602204721,6753,6753
1602208564,6761,6761
1602210485,6758,6758
1602214322,6750,6750
1602218404,6741,6741
1602222243,6747,6747
1602226084,6738,6738
1602229922,6745,6745
1602233762,6744,6744
1602237610,6753,6753
1602239522,6752,6752
1602243362,6753,6753
1602249124,6742,6742
1602254882,6745,6745
1602258725,6747,6747
1602262562,6754,6754
1602266405,6737,6737
1602268323,6735,6735
1602272162,6723,6723
1602276004,6706,6706
1602279843,6704,6704
1602285602,6699,6699
1602287522,6737,6737
1602291364,6737,6737
1602295212,6754,6754
1602297122,6748,6748
1602300962,6731,6731
1602304802,6737,6737
1602308642,6730,6730
1602312481,6732,6732
1602316322,6731,6731
1602320162,6725,6725
1602324009,6722,6722
1602325923,6718,6718
1602329764,6722,6722
1602333604,6717,6717
1602335523,6709,6709
1602341282,6702,6702
1602347042,6701,6701
1602348963,6700,6700
1602352809,6698,6698
1602354722,6692,6692
1602358561,6695,6695
1602362402,6677,6677
1602366242,6682,6682
1602370322,6676,6676
1602372244,6677,6677
1602374164,6708,6708
1602376325,6703,6703
1602380162,6723,6723
1602384004,6714,6714
1602387844,6710,6710
1602389762,6713,6713
1602391683,6700,6700
1602393602,6702,6702
1602399363,6697,6697
1602401282,6690,6690
1602407043,6678,6678
1602408961,6680,6680
1602412803,6671,6671
1602416642,6631,6631
1602420482,6625,6625
1602424322,6630,6630
1602428162,6622,6622
1602432005,6621,6621
