DateTime,AddedIPs,RemovedIPs
1603373430,6,0
1603374626,3,0
1603375528,0,1
1603376127,1,0
1603377029,4,0
1603377929,3,0
1603379727,2,0
1603380631,2,0
1603381528,1,0
1603383326,3,0
1603384228,7,0
1603385130,1,0
1603387829,2,0
1603390225,1,0
1603391431,3,0
1603392325,1,0
1603392625,1,0
1603396226,2,0
1603397728,1,0
1603398629,6,0
1603399525,1,0
1603399827,1,0
1603401327,1,0
1603402229,4,0
1603403129,1,0
1603404624,1,0
1603404924,1,0
1603405829,5,0
1603407027,1,0
1603407927,0,1
1603408527,1,0
1603409432,7,0
1603410327,1,0
1603411826,1,0
1603413031,6,0
1603413930,1,0
1603415730,1,0
1603416632,3,0
1603417527,3,0
1603418728,0,1
1603420229,6,0
1603422625,1,0
1603423832,2,0
1603424728,17,0
1603426225,14,0
1603427431,4,0
1603428331,1,0
1603429527,1,1
1603429824,6,0
1603430426,5,0
1603431033,2,0
1603431927,2,0
1603433129,1,2
1603433424,2,0
1603433727,2,0
1603434024,1,0
1603434631,7,0
1603436729,1,3
1603437024,4,0
1603437327,1,0
1603437627,1,0
1603438232,3,0
1603440329,0,4
1603440625,2,0
1603440928,1,0
1603441226,1,0
1603441830,3,0
1603443325,2,0
1603443630,9,0
1603443929,0,4
1603444225,4,0
1603445429,6,0
1603445723,6,0
1603446027,2,0
1603447825,2,2
1603448428,1,0
1603449033,2,0
1603450226,4,0
1603450524,8,0
1603450828,4,0
1603451424,1,5
1603452029,6,0
1603452631,3,0
1603453826,6,0
1603454124,4,0
1603454729,0,1
1603455026,1,0
1603455332,2,0
1603455628,3,0
1603456232,2,0
1603457427,8,0
1603458327,0,3
1603458626,2,0
1603459831,6,0
1603460729,3,0
1603461027,12,0
1603461324,9,0
1603461928,1,1
1603462227,6,0
1603462528,6,0
1603465825,2,0
1603466128,3,0
1603467033,5,0
1603468225,9,0
1603468525,12,0
1603468829,4,0
1603469426,3,0
1603470629,58,0
1603471530,1,0
1603472728,1,0
1603473025,16,0
1603474230,1,0
1603475132,1,0
1603476325,1,0
1603476928,7,0
1603477832,3,0
1603478729,1,0
1603479028,1,0
1603480225,7,0
1603480528,2,0
1603481430,3,0
1603482027,0,6
1603482627,2,3
1603483526,1,0
1603483826,3,0
1603484729,13,0
1603485031,6,0
1603487125,1,0
1603487426,4,0
1603488630,2,0
1603489826,0,1
1603491025,2,0
1603491327,1,0
1603492233,2,0
1603494625,1,0
1603495832,4,0
1603498226,1,0
1603499431,1,0
1603502127,1,0
1603503034,1,0
1603507527,1,0
1603507825,1,0
1603508124,1,0
1603509329,1,0
1603510234,6,0
1603511129,1,0
1603513832,5,0
1603515026,1,0
1603515925,0,1
1603517432,5,0
1603519231,1,0
1603519527,0,3
1603519825,2,0
1603520126,1,0
1603520424,166,1
1603520729,7,1
1603521030,7,0
1603521928,2,0
1603523125,0,1
1603524633,10,0
1603526729,0,1
1603528234,11,0
1603529129,1,0
1603529425,1,0
1603530928,1,0
1603531830,2,0
1603532730,6,0
1603533026,27,0
1603533325,27,1
1603533629,12,0
1603534226,0,2
1603534532,0,2
1603534827,0,4
1603535127,0,3
1603535433,5,0
1603536025,8,0
1603536328,13,0
1603536627,18,0
1603536925,12,0
1603537526,0,1
1603539034,20,0
1603539324,24,0
1603539625,20,0
1603539930,13,0
1603540225,2,0
1603541128,0,2
1603541727,4,2
1603542025,8,0
1603542326,11,0
1603542632,14,0
1603542924,9,0
1603543530,1,0
1603544726,0,2
1603546231,8,0
1603547129,1,0
1603548324,0,3
1603549835,9,0
1603550124,16,0
1603550426,16,0
1603551027,28,0
1603551925,0,1
1603552225,5,0
1603552528,5,0
1603552825,9,0
1603553125,7,0
1603553431,14,0
1603557030,7,0
1603557930,3,0
1603558226,10,0
1603558525,7,0
1603558833,4,0
1603559729,1,0
1603560632,6,0
1603560924,3,0
1603561224,3,0
1603561531,3,0
1603561827,4,0
1603563326,1,0
1603564228,14,1
1603565128,2,0
1603565428,1,0
1603566327,3,0
1603566624,58,0
1603567832,5,0
1603569027,2,0
1603569324,12,0
1603569928,21,0
1603570226,14,0
1603571434,12,0
1603572329,11,0
1603572628,9,0
1603572924,11,0
1603573231,8,0
1603573525,1,0
1603573825,7,0
1603574128,2,0
1603575029,5,0
1603575928,1,0
1603576227,1,0
1603577128,1,0
1603577426,2,0
1603577727,1,0
1603578630,13,0
1603579529,1,0
1603581329,3,0
1603582230,7,0
1603583127,1,0
1603585830,1,0
1603588225,3,0
1603588526,1,0
1603589432,17,0
1603590327,1,0
1603591526,1,0
1603592127,2,0
1603593034,20,0
1603593929,1,0
1603595425,1,0
1603595726,1,0
1603596629,10,0
1603597826,1,0
1603600232,6,0
1603602624,1,0
1603603225,6,0
1603603830,7,0
1603606225,1,0
1603606827,3,0
1603607435,11,0
1603609830,13,0
1603610136,1,0
1603611039,7,0
1603613732,1,0
1603614637,6,0
1603615829,1,0
1603618235,13,0
1603619126,1,0
1603619424,4,0
1603620327,7,0
1603620626,26,0
1603620925,20,0
1603621224,7,0
1603621830,9,0
1603622124,0,1
1603622726,1,0
1603625433,5,0
1603629030,14,0
1603629927,1,1
1603632633,6,0
1603634431,0,1
1603634727,0,1
1603635329,1,0
1603635625,49,1
1603635928,8,0
1603636234,17,0
1603636524,13,0
1603636825,12,0
1603637129,9,0
1603639225,2,0
1603639528,6,0
1603639830,9,0
1603640123,3,0
1603640730,3,0
1603641024,4,0
1603641325,5,0
1603641631,4,0
1603642530,1,0
1603643436,3,0
1603644624,1,0
1603645824,2,0
1603646128,1,0
1603647032,9,0
1603647324,17,0
1603647625,56,0
1603647930,41,0
1603648227,32,0
1603648524,30,0
1603649727,7,0
1603650327,0,1
1603650632,2,0
1603651529,1,0
1603651824,1,0
1603652430,2,0
1603653024,0,1
1603653328,3,0
1603654230,11,0
1603655130,1,0
1603655424,1,0
1603656328,0,1
1603657835,13,0
1603658731,1,0
1603661432,7,0
1603664126,2,0
1603665032,15,0
1603667727,2,0
1603668630,7,0
1603669530,2,0
1603672524,17,0
1603672825,9,0
1603673131,2,0
1603673427,6,0
1603673724,1,0
1603674326,5,0
1603674929,2,0
1603675830,10,0
1603679430,11,0
1603680329,2,0
1603680626,1,0
1603683033,12,0
1603686632,8,0
1603687529,1,0
1603688432,4,2
1603690230,8,0
1603691126,2,0
1603692327,0,1
1603692625,1,0
1603693831,5,0
1603695924,0,3
1603697431,7,0
1603699529,0,2
1603701031,5,0
1603701625,0,3
1603701931,18,5
1603702224,1,0
1603703129,0,2
1603703424,1,0
1603704631,13,0
