DateTime,AddedIPs,RemovedIPs
1592611816,3,0
1592612719,1,0
1592615417,1,0
1592616317,1,0
1592617518,1,0
1592618718,1,0
1592619317,1,0
1592619617,2,0
1592619916,2,0
1592620516,2,0
1592620817,1,0
1592622019,1,0
1592622617,3,0
1592623218,1,0
1592625617,1,0
1592625916,1,0
1592626517,1,0
1592627118,1,0
1592628018,3,0
1592628917,1,0
1592630419,1,0
1592630722,2,0
1592631918,1,0
1592632819,1,0
1592633118,1,0
1592634020,1,0
1592634618,0,9
1592634915,1,0
1592637317,1,0
1592638516,1,0
1592638817,1,0
1592639717,2,0
1592641219,1,0
1592641820,1,0
1592642117,1,0
1592643917,1,0
1592644518,1,0
1592645118,1,0
1592645420,1,0
1592645716,1,0
1592646016,1,0
1592648719,2,0
1592649316,1,0
1592651117,3,0
1592652017,1,0
1592652317,1,0
1592654115,2,0
1592668516,0,4
1592678116,0,1
1592682320,1,0
1592685017,1,0
1592685316,1,0
1592686216,1,0
1592686516,1,0
1592687419,2,0
1592687716,1,0
1592692516,1,0
1592693416,1,0
1592695516,1,0
1592696116,1,0
1592697017,1,0
1592697619,1,0
1592697916,1,0
1592699717,1,0
1592700917,1,0
1592708716,1,0
1592721618,1,0
1592726116,0,1
1592731217,0,1
1592733017,1,0
1592733619,1,0
1592733919,1,0
1592736018,1,0
1592736317,1,0
1592738116,1,0
1592738719,2,0
1592739019,1,0
1592742017,1,0
1592742617,2,0
1592742916,1,0
1592743817,2,0
1592744116,1,0
1592744418,1,0
1592745918,1,0
1592746816,2,0
1592748018,1,0
1592748616,1,0
1592749519,2,0
1592751017,1,0
1592751917,1,0
1592755217,1,0
1592756116,1,0
1592756716,1,0
1592757918,1,0
1592758818,1,0
1592759417,2,0
1592759717,1,0
1592760617,1,0
1592761216,1,0
1592762116,1,0
1592762418,1,0
1592762717,1,0
1592763017,2,0
1592763319,1,0
1592763918,2,0
1592764516,1,0
1592765417,1,0
1592768719,2,0
1592769015,1,0
1592771716,1,0
1592772018,2,0
1592772319,2,0
1592772616,1,0
1592775316,1,0
1592778018,1,0
1592778917,2,0
1592828416,0,1
1592870116,0,1
1592881817,0,1
1592934617,0,1
1592959520,0,3
1593010818,0,1
1593024319,0,1
1593041717,0,1
1593054017,0,1
1593165316,0,1
1593172819,0,1
1593192916,0,1
1593213617,0,1
1593224716,0,3
1593273017,0,2
1593293418,1,0
1593296719,1,0
1593360318,1,0
1593416719,0,1
1593444617,0,1
1593470116,0,1
1593487817,0,1
1593531616,0,1
1593533717,0,1
1593548418,0,1
1593573317,0,1
1593616217,0,1
1593714916,0,2
1593715219,0,1
1593791118,0,1
1593817218,0,1
1593913818,0,1
1593917420,0,2
1593923716,0,1
1593925517,0,1
1593972917,0,1
1593996618,0,1
1594059319,0,1
1594068018,0,1
1594145418,0,1
1594223118,0,1
1594306216,0,1
1594347017,0,1
1594396819,0,1
