DateTime,AddedIPs,RemovedIPs
1597853417,17,0
1597882217,9,0
1597907418,0,1
1597911021,5,0
1597911918,1,0
1597939818,10,0
1597942517,1,0
1597943417,0,1
1597943720,0,1
1597968618,18,0
1597997417,12,0
1598003716,1,0
1598007317,2,0
1598012119,0,1
1598021417,0,1
1598026219,17,0
1598029520,0,1
1598032516,1,0
1598049018,0,1
1598055019,14,0
1598083817,12,0
1598093717,1,0
1598102120,1,0
1598104517,0,1
1598112619,16,0
1598141419,17,0
1598170217,8,0
1598171418,3,0
1598199018,6,1
1598210118,4,0
1598210418,1,0
1598227820,4,0
1598256618,10,0
1598269819,0,1
1598275219,1,0
1598285418,9,0
1598314219,16,0
1598343019,9,0
1598371821,12,0
1598400618,10,0
1598429418,17,0
1598458218,10,0
1598487018,23,0
1598490618,9,0
1598500819,20,0
1598511920,44,0
1598515817,10,0
1598544919,9,0
1598553618,0,1
1598573419,3,0
1598591721,7,0
1598602218,8,0
1598631019,14,0
1598658619,1,0
1598661017,12,0
1598688617,8,0
1598693419,1,0
1598717420,11,0
1598736620,1,0
1598746220,4,0
1598774117,0,4
1598775019,9,0
1598796918,2,0
1598803818,9,0
1598832618,21,0
1598861418,11,0
1598867421,1,0
1598885119,7,0
1598890218,13,0
1598890517,2,0
1598919019,5,0
1598927118,1,0
1598947818,15,0
1598976619,7,0
1599005420,11,0
1599032419,5,0
1599033921,1,0
1599034220,14,0
1599063018,14,0
1599092120,10,0
1599100819,0,1
1599120618,22,0
1599132917,2,0
1599134718,0,1
1599149418,16,0
1599156617,0,1
1599174619,0,3
1599178218,5,0
1599193818,0,1
1599202517,5,0
1599207019,6,0
1599219919,1,0
1599225618,0,1
1599234017,1,0
1599235820,12,0
1599246320,1,0
1599264918,13,0
1599293422,7,0
1599322218,10,0
1599351019,4,0
1599379818,10,0
1599408618,7,0
1599408919,2,0
1599437420,4,0
1599466520,9,0
1599470718,1,0
1599495320,16,0
1599496818,1,0
1599506119,1,0
1599523818,14,0
1599525317,13,0
1599536418,0,1
1599552618,10,0
1599553219,1,0
1599580516,1,0
1599581421,10,0
1599591918,1,0
1599610221,8,0
1599614720,1,0
1599615317,1,0
1599624618,1,0
1599629123,1,1
1599639021,7,0
1599659717,1,0
1599660322,1,0
1599660621,0,1
1599661218,5,0
1599661519,1,0
1599661820,0,1
1599667819,14,0
1599696620,8,0
1599725418,13,0
1599742517,2,0
1599754217,14,0
1599783020,10,0
1599797419,0,1
1599811818,18,0
1599840920,10,0
1599848418,1,0
1599866119,0,1
1599866419,0,1
1599869419,6,0
1599898219,13,0
1599905420,0,4
1599927020,12,0
1599927618,1,0
1599930918,1,0
1599943521,1,0
1599955819,6,0
1599965118,0,2
1599965717,0,1
1599984019,1,0
1599984618,8,0
1599986418,6,0
1599997218,0,1
1600013419,9,0
1600021519,1,0
1600042218,26,0
1600071021,16,0
1600079118,2,0
1600079420,1,0
1600096819,1,0
1600099820,28,0
1600105522,1,0
1600128619,25,0
1600155318,1,0
1600157718,78,0
1600158017,0,1
1600186220,53,0
1600188019,1,0
1600202117,1,0
1600203620,0,1
1600206020,1,0
1600207221,0,1
1600209621,0,135
1600215020,13,0
1600225223,2,0
1600225520,4,0
1600236921,1,0
1600239018,5,0
1600243820,25,0
1600260917,0,1
1600269020,4,0
1600269321,2,0
1600272918,18,0
1600275922,1,0
1600279519,0,1
1600283419,0,1
1600301419,9,0
1600303220,3,0
1600303822,1,0
1600323320,1,0
1600324221,1,0
1600330219,15,0
1600331421,1,0
1600344322,0,1
1600347921,1,0
1600359018,10,0
1600362320,2,0
1600368918,0,1
1600387817,9,0
1600416621,20,0
1600435219,3,0
1600443318,1,0
1600444218,11,0
1600445420,26,0
1600446019,0,2
1600448421,1,0
1600474220,7,0
1600492518,2,0
1600503019,5,0
1600531822,10,0
1600534821,0,1
1600549819,1,0
1600550718,3,0
1600551619,1,0
1600556720,3,0
1600560618,19,0
1600575917,1,0
1600589419,11,0
1600610118,1,0
1600613417,1,0
1600618219,17,0
1600640122,1,0
1600647019,9,0
1600662917,2,0
1600674918,2,0
1600675821,6,0
1600688419,1,0
1600704620,9,0
1600733419,15,0
1600751720,1,0
1600762218,6,0
1600763420,0,3
1600763718,0,2
1600788620,16,0
1600791021,21,0
1600792221,4,0
1600806019,0,1
1600818620,1,0
1600819819,14,0
1600821317,1,0
1600821918,1,0
1600824018,1,0
1600836320,4,0
1600848620,12,0
1600877421,10,0
1600883119,0,1
1600895120,1,0
1600906219,10,0
1600924820,1,0
1600926918,1,0
1600935019,9,0
1600944918,1,0
1600950319,1,0
1600954219,1,0
1600963819,12,0
1600978519,1,0
1600992619,24,0
1601004021,0,1
1601004918,0,1
1601018419,1,0
1601021419,8,0
1601040018,1,0
1601050222,14,0
1601059820,0,1
1601079021,4,0
1601084719,28,1
1601100918,1,0
1601107820,9,0
1601124924,1,0
1601136625,8,0
1601165424,8,0
1601167825,0,1
1601168425,0,1
1601175925,0,1
1601194223,9,0
1601198425,1,0
1601220026,1,0
1601223024,4,0
1601241624,1,0
1601251824,10,0
1601261724,0,1
1601262928,0,1
1601278524,15,0
1601280624,10,0
1601288725,0,1
1601307624,1,0
1601309424,16,0
1601318425,1,0
1601321428,1,0
1601338224,12,0
1601367025,5,0
1601379624,1,0
1601395827,4,0
1601405425,0,1
1601424626,6,0
1601428824,0,1
1601444727,1,0
