DateTime,AddedIPs,RemovedIPs
1603032730,415,395
1603033029,9,6
1603034898,119,9
1603036829,7,7
1603037701,264,0
1603038813,4,8
1603040670,7,8
1603042584,8,8
1603044903,294,0
1603046433,16,24
1603048406,17,13
1603048503,162,0
1603050288,12,16
1603052278,17,11
1603054105,13,14
1603056048,119,7
1603057940,107,0
1603059868,9,16
1603061832,11,10
1603063698,113,0
1603064169,33,64
1603065631,17,11
1603067599,187,2858
1603069463,16,0
1603071411,9,20
1603073320,20,12
1603074250,44,0
1603074601,218,0
1603077168,15,29
1603078084,35,0
1603079092,12,0
1603080985,13,0
1603081802,212,0
1603082899,14,13
1603084836,11,28
1603085769,9,19
1603086728,13,0
1603088671,15,24
1603089002,289,0
1603090601,17,23
1603092485,17,0
1603094433,20,40
1603096356,11,0
1603100173,398,42
1603102131,13,0
1603104038,172,0
1603105995,14,14
1603107888,193,7
1603107902,130,0
1603110049,14,9
1603111502,161,0
1603111941,17,10
1603113878,17,11
1603115102,164,0
1603115825,14,14
1603117734,6,8
1603118702,141,0
1603119653,4,6
1603122302,154,0
1603122998,500,499
1603123466,14,13
1603124170,415,417
1603125408,10,5
1603127326,4,8
1603129243,7,9
1603129501,245,0
1603131197,23,0
1603133097,15,15
1603133102,120,0
1603136916,9,24
1603138865,8,17
1603140742,130,10
1603142676,108,8
1603145546,13,15
1603147488,11,6
1603147502,209,0
1603148890,39,0
1603149387,8,6
1603151303,9,11
1603153250,10,14
1603157075,105,15
1603159024,11,5
1603160918,214,2601
1603162842,50,73
1603164771,11,12
1603166676,183,83
1603168619,9,7
1603170003,341,0
1603170503,31,9
1603172437,14,9
1603173603,141,0
1603174342,11,8
1603176246,11,19
1603177202,113,0
1603178197,10,11
1603180802,135,0
1603182033,19,23
1603183983,8,7
1603184402,134,0
1603185867,10,0
1603188003,147,0
1603188750,3,26
1603190718,14,10
1603192890,4,11
1603194773,11,12
1603195203,284,0
1603196785,9,14
1603198876,16,16
1603200781,157,14
1603204594,9,23
1603206510,373,6
1603208459,7,0
1603210372,12,16
1603212274,7,7
1603213955,759,500
1603214187,11,5
1603215610,439,410
1603216136,12,7
1603218044,10,19
1603219940,15,16
1603220402,216,0
1603223797,13,9
1603225702,16,9
1603227651,14,8
1603229542,263,11
1603231477,15,0
1603233410,9,14
1603235303,165,11
1603237687,34,74
1603238205,20,17
1603239302,291,3085
1603240347,20,12
1603242275,8,0
1603242902,133,0
1603244207,7,16
1603246102,9,11
1603246502,115,0
1603247529,39,0
1603248066,11,11
1603249995,9,7
1603251370,34,0
1603251868,13,8
1603253782,14,10
1603255757,225,11
1603258606,12,15
1603259052,14,27
1603260490,11,20
1603260902,287,0
1603262481,17,13
1603264368,25,11
1603266288,20,15
1603268168,21,0
1603270097,226,17
1603272041,20,7
1603273931,18,11
1603275868,168,6
1603277819,12,12
1603279698,296,3
1603281648,13,8
1603283569,10,9
1603285730,17,15
1603287624,147,11
1603289540,13,0
1603290602,372,0
1603291489,10,7
1603293394,8,6
1603295301,4,4
1603297234,7,10
