DateTime,AddedIPs,RemovedIPs
1603415042,57,28
1603415523,1,0
1603416123,1,0
1603416781,2,1
1603419724,2,0
1603420802,45,50
1603420924,1,0
1603422124,5,1
1603422723,1,0
1603423324,6,0
1603424642,48,54
1603425724,4,1
1603426924,3,0
1603427524,1,0
1603428124,1,0
1603428481,38,47
1603428723,5,0
1603429923,2,0
1603430524,1,0
1603431181,9,0
1603432321,32,31
1603432923,1,0
1603434124,5,0
1603435324,3,0
1603436163,22,22
1603437723,1,0
1603438382,0,1
1603438923,7,1
1603440242,24,14
1603441323,19,0
1603442163,21,26
1603442524,5,1
1603443123,2,0
1603444323,1,0
1603444923,1,0
1603446002,20,14
1603446123,1,0
1603446723,1,0
1603447323,1,0
1603447923,1,0
1603448524,1,0
1603449124,2,0
1603449843,17,22
1603450923,2,0
1603451523,2,0
1603452123,2,0
1603452782,0,1
1603453323,3,1
1603453923,21,21
1603454524,2,0
1603455123,1,1
1603455723,1,0
1603456381,1,0
1603456923,4,0
1603457523,10,0
1603457762,19,24
1603458124,4,0
1603458723,1,0
1603461610,22,12
1603461987,1,0
1603462923,1,0
1603463522,21,25
1603463582,0,1
1603465323,6,0
1603465923,3,0
1603466523,1,0
1603467362,21,18
1603467723,2,0
1603468923,4,0
1603470123,3,1
1603471202,24,19
1603471323,2,0
1603472524,2,0
1603473723,4,0
1603475043,18,17
1603476124,2,0
1603478524,1,0
1603478883,21,18
1603479723,3,0
1603482124,1,0
1603482724,24,35
1603483923,2,0
1603484643,11,18
1603485181,3,0
1603485723,1,0
1603486924,1,1
1603487523,1,0
1603488483,22,34
1603489323,1,0
1603490524,9,0
1603491123,2,0
1603491723,2,0
1603492381,2,0
1603492924,3,2
1603493524,18,0
1603494243,25,18
1603494743,3,2
1603495323,5,0
1603496162,48,27
1603496523,3,0
1603497724,1,0
1603498923,1,0
1603500242,29,23
1603501324,1,0
1603501923,2,0
1603502524,9,0
1603503181,2,0
1603503723,1,0
1603504082,55,29
1603506123,3,0
1603506781,2,0
1603507323,3,0
1603507922,42,46
1603508524,5,0
1603510381,4,0
1603510924,4,1
1603511762,53,55
1603512124,7,0
1603513323,12,0
1603514523,15,1
1603515603,52,63
1603515723,16,0
1603516923,2,0
1603517581,3,0
1603518124,69,0
1603518756,10,0
1603519442,48,42
1603520523,3,0
1603521364,34,31
1603521723,4,0
1603522923,36,0
1603524124,5,0
1603524781,25,0
1603525324,12,0
1603526524,18,0
1603527122,25,20
1603527123,12,0
1603527724,2,0
1603528381,4,0
1603529042,40,21
1603530123,3,0
1603530724,1,0
1603531324,1,0
1603531982,27,0
1603532883,22,28
1603533124,29,0
1603533723,3,0
1603534324,1,0
1603534924,25,0
1603535581,2,2
1603536124,3,0
1603536724,34,19
1603537323,23,0
1603537923,1,0
1603538524,5,0
1603539181,30,0
1603539723,4,0
1603540324,9,0
1603540562,18,21
1603540924,7,0
1603541523,1,0
1603542123,2,0
1603542781,2,1
1603543324,8,1
1603543923,7,0
1603544407,14,27
1603544523,4,0
1603545724,12,0
1603546381,2,0
1603547014,5,0
1603547524,3,0
1603548243,37,30
1603548724,3,0
1603549324,15,0
1603550523,5,1
1603551124,5,0
1603551724,3,0
1603552324,3,0
1603553581,7,0
1603554123,17,0
1603555324,10,0
1603555922,18,19
1603556523,7,0
1603557181,1,0
1603557844,29,22
1603558923,7,0
1603560123,7,1
1603561324,1,0
1603561682,23,23
1603561923,5,0
1603562523,3,0
1603563724,5,0
1603564519,8,0
1603564924,4,0
1603565524,26,16
1603566124,3,0
1603566724,3,0
1603567443,16,22
1603567981,1,0
1603568524,11,0
1603569724,2,1
1603570323,3,0
1603570924,3,0
1603572124,16,0
1603573210,12,21
1603573323,11,0
1603573924,5,0
1603574524,4,0
1603575122,22,26
1603575181,1,0
1603575724,6,0
1603577041,33,22
1603578124,1,0
1603578964,44,43
1603579324,4,0
1603580883,47,20
1603581124,2,0
1603581724,1,0
1603582924,8,0
1603583524,4,1
1603584124,2,0
1603584723,4,0
1603585324,11,0
1603585981,1,0
1603586642,20,22
1603587724,5,0
1603588324,1,0
1603588924,3,0
1603589470,54,33
1603590124,8,0
1603591325,4,0
1603591924,2,0
1603592523,4,0
1603593073,35,37
1603593181,6,0
1603593724,7,0
1603594924,2,0
1603596124,8,0
1603596782,1,0
1603597324,2,0
1603598524,51,53
1603599124,8,0
1603599724,3,0
1603600270,51,47
1603600381,2,4
1603600924,11,0
1603601524,6,0
1603602724,3,1
1603603324,3,0
1603603877,47,40
1603604524,15,0
1603605724,6,0
1603606450,42,0
1603606924,1,0
1603607581,2,2
1603608124,6,0
1603609323,34,31
1603610523,2,1
1603611071,26,19
1603611723,2,0
1603612924,11,0
1603614123,7,0
1603614671,21,20
1603615421,6,1
1603615924,6,0
1603616523,4,0
1603617123,1,0
1603617724,6,0
1603618324,21,17
1603618924,1,0
1603619524,1,0
1603620124,1,0
1603621324,7,1
1603621884,15,24
1603621981,3,0
1603622524,5,0
1603623124,4,0
1603624324,1,0
1603624923,1,0
1603625581,25,21
1603626724,5,0
1603627323,2,0
1603628524,1,1
1603629069,17,21
1603629723,6,1
1603630323,2,0
1603630923,3,0
1603631524,5,0
1603632124,5,0
1603632723,22,16
1603633324,3,0
1603634523,2,1
1603635723,1,0
1603636277,12,15
1603636381,0,2
1603636924,2,0
1603638124,1,0
1603639420,38,0
1603639887,13,21
1603639981,3,0
1603641123,2,0
1603641723,10,0
1603642924,1,0
1603643482,27,27
1603644123,7,0
1603644723,4,0
1603645923,5,0
1603647105,23,22
1603647181,3,0
