DateTime,AddedIPs,RemovedIPs
1603297504,114,13
1603298044,31,121
1603299169,18,4
1603300526,479,85
1603301130,20,12
1603302327,57,71
1603303019,17,6
1603303229,73,78
1603304904,17,10
1603305247,102,83
1603306843,19,13
1603308303,188,97
1603308769,269,10
1603308845,16,76
1603309611,256,0
1603310663,5,11
1603310819,158,82
1603312582,10,14
1603314539,8,10
1603316436,228,207
1603316780,65,86
1603318321,14,10
1603318531,176,87
1603320275,10,8
1603320606,89,74
1603322181,218,0
1603323034,96,66
1603324091,10,9
1603324848,59,73
1603326055,13,10
1603326844,133,208
1603327944,18,17
1603329872,12,10
1603330646,162,158
1603331812,9,12
1603333715,10,9
1603334241,145,182
1603335664,18,13
1603337580,9,7
1603338453,100,104
1603338604,55,57
1603339461,13,13
1603341395,13,3
1603341936,76,75
1603342837,62,71
1603343345,8,6
1603343798,71,122
1603345215,10,12
1603345304,61,80
1603347127,11,2
1603347905,146,111
1603349078,36,97
1603350971,11,11
1603352391,100,85
1603352889,63,129
1603354836,13,13
1603355435,82,105
1603355647,48,178
1603356745,10,12
1603357630,144,145
1603358665,7,13
1603359245,80,82
1603360624,12,7
1603360836,82,95
1603362495,11,559
1603362638,93,6
1603363504,60,129
1603364509,313,0
1603366352,14,10
1603367480,696,215
1603368249,20,13
1603370163,6,8
1603370704,95,121
1603372108,9,18
1603373121,196,198
1603374003,16,7
1603374195,766,0
1603374569,54,103
1603375922,11,15
1603377246,110,234
1603377874,7,12
1603379137,86,86
1603379761,14,11
1603380629,60,769
1603381681,13,14
1603382429,71,62
1603383627,12,18
1603384231,62,299
1603385030,71,61
1603385522,6,6
1603385653,53,17
1603386032,0,255
1603387443,12,10
1603387504,82,41
1603389389,10,10
1603389634,71,50
1603391287,71,63
1603393204,7,12
1603393235,72,74
1603394470,133,58
1603395153,14,25
1603395249,38,602
1603397047,15,25
1603397737,101,28
1603398205,104,86
1603398964,16,16
1603399847,52,90
1603400907,4,19
1603401338,74,141
1603402803,87,96
1603404041,43,25
1603404723,15,8
1603405128,39,58
1603406048,28,78
1603406671,9,15
1603408566,282,0
1603409442,100,81
1603410490,75,101
1603411255,106,18
1603412430,10,8
1603412621,64,54
1603413247,34,75
1603414324,9,5
1603415175,73,80
1603416247,10,7
1603416928,52,118
1603418190,22,14
1603418445,53,31
1603420083,9,14
1603420445,92,123
1603422007,7,8
1603422495,63,66
1603423924,14,14
1603426110,79,87
1603426396,73,73
1603428063,3,14
1603428345,36,74
1603429965,70,112
1603431245,59,107
1603431854,13,9
1603432685,48,28
1603433814,24,11
1603434304,41,55
1603435278,14,79
1603435726,8,6
1603437616,19,22
1603438445,127,207
1603439527,11,20
1603440046,55,78
1603441494,8,21
1603441844,55,5
1603443008,59,81
1603443371,14,18
1603445540,123,234
1603447469,46,547
1603449045,44,81
1603449404,16,16
1603449903,38,113
1603451302,306,77
1603452846,90,68
1603453221,17,5
1603454619,118,81
1603455172,22,10
1603456444,123,69
1603457073,7,14
1603457180,764,0
1603457819,47,31
1603458986,21,13
1603460045,76,108
1603460929,13,8
1603461885,263,336
1603462832,14,10
1603463644,60,98
1603464755,8,12
1603464909,53,18
1603466671,11,8
1603467244,93,187
1603468561,13,13
1603470509,130,138
1603470844,32,106
1603472411,16,8
1603472438,43,6
1603474327,92,88
1603475103,50,69
1603476515,15,13
1603478403,352,110
1603478947,52,99
1603480327,14,11
1603480551,93,103
1603482271,7,13
1603482892,94,141
1603484162,5,10
1603485043,79,309
1603486111,69,76
1603486851,66,132
1603488001,9,6
1603488303,67,0
1603489962,13,12
1603490463,54,108
1603491848,64,79
1603492445,32,72
1603493766,17,12
1603494946,45,27
1603495714,316,62
1603495847,256,0
1603497618,79,86
1603498633,65,76
1603499530,12,8
1603501480,9,19
1603502151,105,186
1603503371,65,88
1603505285,10,6
1603505797,96,73
1603507230,9,15
1603507550,48,55
1603509133,99,95
1603510450,78,59
1603511045,17,8
1603512990,17,11
1603513165,104,62
1603514885,15,8
1603515005,170,70
1603516804,8,8
1603517653,102,215
1603518750,20,11
1603519250,39,30
1603520645,12,12
1603521248,143,129
1603522564,16,12
1603524510,14,14
1603524929,147,137
1603526414,13,10
1603527612,120,125
1603528329,17,12
1603528444,23,82
1603530275,12,5
1603530949,37,3
1603531504,70,115
1603532168,15,13
1603532749,21,92
1603534332,11,512
1603535644,161,670
1603536245,16,8
1603538449,266,0
1603539244,100,190
1603540329,16,9
1603542250,142,127
1603543503,0,1019
1603544195,92,71
1603546086,11,13
1603546759,84,159
1603548004,10,17
1603548236,57,105
1603549957,14,8
1603550045,53,74
1603550319,509,0
1603551847,9,6
1603553768,12,15
1603553988,224,155
1603555713,93,104
1603557608,56,6
1603558205,72,82
1603559523,11,12
1603559733,67,76
1603561475,51,86
1603561808,55,0
1603563362,12,21
1603563816,102,344
1603564444,23,101
1603565283,15,10
1603567227,17,14
1603568044,143,158
1603569125,14,12
1603569658,59,79
1603571076,15,10
1603571645,95,82
1603572965,267,12
1603574881,15,5
1603575244,140,153
1603576848,15,18
1603577779,102,67
1603578727,9,12
1603579794,0,254
1603580910,293,78
1603581904,80,125
1603582836,8,14
1603583299,256,0
1603583405,72,68
1603584734,3,6
1603585471,84,71
1603586045,26,78
1603586652,8,10
1603587762,51,60
1603588596,14,0
1603589645,23,78
1603590489,6,11
1603592654,20,9
1603593244,109,138
1603594567,10,15
1603596072,129,77
1603596517,7,7
1603596920,32,57
1603598410,10,5
1603598838,61,67
1603600332,12,14
1603601606,47,0
1603602278,52,77
1603604168,12,5
1603604276,92,113
1603606088,6,10
1603608042,128,141
1603609931,41,21
1603610270,94,75
1603611244,25,71
1603611850,7,12
1603613794,13,16
1603615126,143,181
1603615687,14,17
1603617608,10,17
1603618750,96,69
1603619555,65,63
1603621454,111,73
1603622748,115,76
1603623367,11,20
1603624546,111,142
1603625312,6,586
1603626121,71,153
1603627224,327,0
1603628146,156,63
1603629130,10,7
1603629571,1270,0
1603629924,58,63
1603631080,12,9
1603631751,94,288
1603632966,7,16
1603633529,50,62
1603634890,47,10
1603635198,67,88
1603636835,262,518
1603637103,47,75
1603638727,11,8
1603639833,115,77
1603640650,63,85
1603642009,92,88
1603642591,7,12
1603643645,544,62
1603644486,40,14
1603645379,399,73
1603646409,31,19
1603646701,170,5
1603648352,16,14
1603648836,151,79
1603650253,236,92
1603652166,33,16
1603652891,645,140
1603654112,13,13
