DateTime,AddedIPs,RemovedIPs
1603361523,1,0
1603362123,4,0
1603362723,3,0
1603363323,3,0
1603364523,1,0
1603365124,0,1
1603365723,1,0
1603366381,2,0
1603366923,2,0
1603368123,2,0
1603368124,2,0
1603370523,3,0
1603371123,3,0
1603371723,2,0
1603372923,1,0
1603373582,1,0
1603374124,12,0
1603375324,3,0
1603375923,1,0
1603376523,1,0
1603377723,2,0
1603378923,14,0
1603379523,1,0
1603380124,1,0
1603380781,2,0
1603381323,2,0
1603382523,2,0
1603383124,5,0
1603383724,2,0
1603384324,2,0
1603386123,2,0
1603387324,1,0
1603387981,1,0
1603389124,4,0
1603389723,6,0
1603390923,4,0
1603392123,2,0
1603392723,6,0
1603393323,1,0
1603394523,1,0
1603395182,3,0
1603395723,1,0
1603396923,4,0
1603398123,1,1
1603399324,3,1
1603399923,2,0
1603400523,1,0
1603401723,4,0
1603402381,2,0
1603402923,3,0
1603403523,0,1
1603404123,2,0
1603405323,4,0
1603406524,9,0
1603407723,2,0
1603410123,1,0
1603411323,1,0
1603412524,4,0
1603413723,3,1
1603414324,28,0
1603414924,7,0
1603415523,1,0
1603416123,1,0
1603416781,2,1
1603419724,2,0
1603420924,1,0
1603422124,5,1
1603422723,1,0
1603423324,6,0
1603424523,2,0
1603425724,4,1
1603426924,3,0
1603427524,1,0
1603428124,1,0
1603428723,5,0
1603429923,2,0
1603430524,1,0
1603431181,9,0
1603432923,1,0
1603434124,5,0
1603435324,3,0
1603437723,1,0
1603438382,0,1
1603438923,7,1
1603441323,19,0
1603442524,5,1
1603443123,2,0
1603444323,1,0
1603444923,1,0
1603446123,1,0
1603446723,1,0
1603447323,1,0
1603447923,1,0
1603448524,1,0
1603449124,2,0
1603449723,2,0
1603450923,2,0
1603451523,2,0
1603452123,2,0
1603452782,0,1
1603453323,3,1
1603453923,2,0
1603454524,2,0
1603455123,1,1
1603455723,1,0
1603456381,1,0
1603456923,4,0
1603457523,10,0
1603458124,4,0
1603458723,1,0
1603461724,1,0
1603462923,1,0
1603463582,0,1
1603465323,6,0
1603465923,3,0
1603466523,1,0
1603467723,2,0
1603468923,4,0
1603470123,3,1
1603471323,2,0
1603472524,2,0
1603473723,4,0
1603476124,2,0
1603478524,1,0
1603479723,3,0
1603482124,1,0
1603482724,2,0
1603483923,2,0
1603484523,1,0
1603485181,3,0
1603485723,1,0
1603486924,1,1
1603487523,1,0
1603489323,1,0
1603490524,9,0
1603491123,2,0
1603491723,2,0
1603492381,2,0
1603492924,3,2
1603493524,18,0
1603494123,1,2
1603494724,2,0
1603495323,5,0
1603495981,1,0
1603496523,3,0
1603497724,1,0
1603498923,1,0
1603500124,1,0
1603501324,1,0
1603501923,2,0
1603502524,9,0
1603503181,2,0
1603503723,1,0
1603506123,3,0
1603506781,2,0
