DateTime,AddedIPs,RemovedIPs
1602834723,68,55
1602836657,56,56
1602838594,58,59
1602840503,48,70
1602842440,70,3515
1602844402,72,70
1602846531,1565,0
1602848434,80,90
1602850344,76,59
1602852303,81,65
1602854195,93,78
1602856083,75,60
1602858029,75,47
1602859925,36,61
1602861848,70,61
1602863806,92,72
1602865700,100,50
1602867644,104,90
1602869582,58,59
1602871461,57,62
1602873381,92,83
1602875326,90,63
1602877221,125,57
1602879131,78,54
1602881088,79,62
1602882997,86,80
1602884907,76,65
1602886875,76,74
1602888767,77,61
1602890666,1318,0
1602892625,71,52
1602894500,77,58
1602896436,74,51
1602898378,61,65
1602900276,67,25
1602902239,67,54
1602904112,57,48
1602906003,59,56
1602907926,72,57
1602909872,56,45
1602911765,56,80
1602913684,35,50
1602915636,55,77
1602917527,40,53
1602919446,56,54
1602921413,46,47
1602923284,47,51
1602925229,43,74
1602927158,47,56
1602929055,59,3492
1602931005,96,94
1602932918,1509,0
1602934818,92,48
1602936776,94,60
1602938696,81,89
1602940591,88,67
1602942501,60,64
1602944434,87,63
1602946349,67,32
1602948249,80,57
1602950161,71,89
1602952111,81,55
1602954010,76,95
1602955924,67,45
1602957872,69,68
1602959762,54,72
1602961931,54,51
1602963844,65,64
1602965823,87,68
1602967697,103,60
1602969616,94,57
1602971591,77,62
1602973459,92,64
1602975390,100,102
1602977330,1310,0
1602979260,100,50
1602981150,106,57
1602983113,189,53
1602984980,63,50
1602986903,56,60
1602988854,60,30
1602990738,55,36
1602992662,75,66
1602994628,77,59
1602996544,67,55
1602998416,72,60
1603000360,58,55
1603002262,56,47
1603004169,72,65
1603006109,51,31
1603008020,60,68
1603009940,65,60
1603011884,55,55
1603013766,64,65
1603015709,66,3323
1603017698,86,91
1603019527,1433,0
1603021450,130,73
1603023417,73,80
1603025301,96,68
1603027258,86,72
1603029164,56,61
1603031063,85,59
1603033028,76,75
1603034896,56,64
1603036828,98,72
1603038811,80,60
1603040668,85,46
1603042582,56,59
1603044530,28,45
1603046431,132,57
1603048405,186,39
1603050286,81,46
1603052276,72,66
1603054103,67,40
1603056046,85,53
1603057937,167,57
1603059866,125,59
1603061832,99,110
1603063698,1225,0
1603065631,67,66
1603067599,94,60
1603069463,123,49
1603071410,94,61
1603073320,50,53
1603075219,68,58
1603077167,54,43
1603079092,76,44
1603080985,104,61
1603082898,71,42
1603084835,65,54
1603086728,75,36
1603088670,52,48
1603090601,95,40
1603092484,70,45
1603094432,91,48
1603096355,64,41
1603098272,65,38
1603100173,99,60
1603102130,112,3521
1603104037,113,87
1603105994,1659,2
1603107887,82,102
1603110048,103,119
1603111940,133,92
1603113876,85,75
1603115824,85,61
1603117733,51,65
1603119651,61,59
1603121576,79,63
1603123465,123,80
1603125407,145,78
1603127324,89,62
1603129241,84,66
1603131196,97,65
1603133095,135,60
1603135021,112,62
1603136914,98,56
1603138863,116,71
1603140740,106,63
1603142674,93,55
1603144621,129,78
1603146482,90,68
1603148425,1390,0
1603150354,79,61
1603152248,74,63
1603154164,68,93
1603156114,81,61
1603158004,90,46
1603159924,112,52
1603161872,88,49
1603163767,89,55
1603165685,63,71
1603167604,54,50
1603169524,70,63
1603171451,73,46
1603173363,65,62
1603175313,77,53
1603177213,76,63
1603179129,73,48
1603181075,69,51
1603182963,80,77
1603184886,49,53
1603186808,65,48
1603188749,82,3908
1603190717,114,104
1603192888,1838,0
1603194772,115,60
1603196783,115,86
1603198874,131,145
1603200780,81,71
1603202673,72,57
1603204592,103,62
1603206508,83,50
1603208457,84,87
1603210370,96,107
1603212272,88,69
1603214185,79,64
1603216134,97,69
1603218041,123,58
1603219938,72,82
1603221895,97,72
1603223795,107,90
1603225699,97,54
1603227649,114,70
1603229539,88,86
1603231475,74,109
1603233410,100,101
1603235303,1501,0
1603237238,59,55
1603239150,55,36
1603241045,59,78
1603242964,68,85
1603244910,58,57
1603246804,54,38
1603248723,60,51
1603250675,72,36
1603252563,68,110
1603254730,71,56
1603256650,60,67
1603258605,62,64
1603260489,65,38
1603262481,57,72
1603264367,63,74
1603266287,73,69
1603268167,90,51
1603270096,82,48
1603272040,72,84
