DateTime,AddedIPs,RemovedIPs
1603362123,4,0
1603362723,6,0
1603363323,3,1
1603363923,2,5
1603364523,1,0
1603365124,0,15
1603365723,1,0
1603366324,1,0
1603366923,2,0
1603367524,1,5
1603368124,3,0
1603368723,1,0
1603369323,0,12
1603370523,5,0
1603371123,6,5
1603371723,2,0
1603372323,1,5
1603373523,5,1
1603374124,10,1
1603374723,5,0
1603375324,4,0
1603375923,1,10
1603376523,1,0
1603377723,3,3
1603378324,1,6
1603379523,3,15
1603380124,1,3
1603380723,3,5
1603381323,2,5
1603381923,2,3
1603382523,6,0
1603383124,1,2
1603383724,2,1
1603384324,3,0
1603384923,0,2
1603386123,4,0
1603387324,2,17
1603387924,1,3
1603389124,6,1
1603389723,11,0
1603390923,1,4
1603392123,4,2
1603392723,8,0
1603393323,3,3
1603393924,2,0
1603395124,4,2
1603395723,1,5
1603396923,4,8
1603398123,1,9
1603399324,4,12
1603399923,8,15
1603400523,1,0
1603401723,4,2
1603402324,3,39
1603402923,7,0
1603404123,1,13
1603405323,3,15
1603406524,23,4
1603407723,3,14
1603408924,0,7
1603410123,1,0
1603411323,3,8
1603412524,10,0
1603413124,6,1
1603414324,76,4
1603414924,17,0
1603415523,1,3
1603416123,1,5
1603416724,2,2
1603417323,0,3
1603418524,0,4
1603419124,1,0
1603419724,2,0
1603420924,0,35
1603422124,8,16
1603422723,1,0
1603423324,19,0
1603424523,0,9
1603425724,5,0
1603426924,4,7
1603427524,1,0
1603428124,1,0
1603428723,6,0
1603429923,3,16
1603430524,3,0
1603431123,34,0
1603431724,1,0
1603432923,1,19
1603434124,12,13
1603435324,5,16
1603436524,0,1
1603437723,2,2
1603438923,13,4
1603440123,1,20
1603441323,40,7
1603442524,7,13
1603443123,5,0
1603443723,0,1
1603444323,2,1
1603444923,2,1
1603446123,4,2
1603446723,1,0
1603447323,2,6
1603447923,3,3
1603448524,1,3
1603449124,2,0
1603449723,2,4
1603450923,3,3
1603451523,2,6
1603452123,2,0
1603453323,3,4
1603453923,2,4
1603454524,1,0
1603455123,1,3
1603455723,1,0
1603456923,4,6
1603457523,16,0
1603458124,11,2
1603458723,2,7
1603459923,1,4
1603461123,1,1
1603463524,0,20
1603465323,2,6
1603465923,5,4
1603467124,1,6
1603467723,1,4
1603468923,6,0
1603470123,3,4
1603471323,3,4
1603472524,3,7
1603473123,2,0
1603473723,3,0
1603474923,1,10
1603476124,0,8
1603476723,2,2
1603477323,0,2
1603478524,1,0
1603479123,0,2
1603479723,3,0
1603480323,0,1
1603480923,1,0
1603482124,2,10
1603482724,1,0
1603483323,3,27
1603483923,2,0
1603485124,6,35
1603485723,3,0
1603486924,0,13
1603487523,3,0
1603488123,2,12
1603489323,3,2
1603490524,1,1
1603491123,3,0
1603491723,4,0
1603492324,7,4
1603492924,2,15
1603493524,33,0
1603494724,3,4
1603495323,3,0
1603496523,3,5
1603498323,2,1
1603498923,4,21
1603500124,0,10
1603501324,1,0
1603502524,19,4
1603503723,2,0
1603504924,2,13
1603506123,2,2
1603506724,3,0
1603507323,4,1
1603508524,4,2
1603509123,1,2
1603510324,4,8
1603510924,4,29
1603512124,12,0
1603512723,7,3
1603513924,6,0
1603514523,12,11
1603515723,3,0
1603516323,2,3
1603517524,3,1
1603518124,4,33
1603519324,4,0
1603520523,2,7
1603521723,4,3
1603522923,5,8
1603524124,2,0
1603524723,2,2
1603525324,1,0
1603525923,1,0
1603527123,19,0
1603527724,5,5
1603528924,5,7
1603530123,1,2
1603530724,1,2
1603531324,2,0
1603531924,1,1
1603532524,1,8
1603533723,4,14
1603534324,2,2
1603534924,2,0
1603535524,1,12
1603536124,5,0
1603536724,0,3
1603537323,5,0
1603537923,4,0
1603538524,5,11
1603539124,9,2
1603539723,5,0
1603540324,3,4
1603540924,7,0
1603541523,1,3
1603542123,2,0
1603543324,2,4
1603543923,2,12
1603544523,3,0
1603545724,2,3
1603546924,4,8
1603547524,6,0
1603548124,8,1
1603548724,5,0
1603549324,4,8
1603550523,5,16
1603551124,7,0
1603551724,3,0
1603552324,3,10
1603553524,7,18
1603554123,29,0
1603555324,9,26
1603557723,3,10
1603558923,2,0
1603560123,6,17
1603561324,1,2
1603561923,8,10
1603562523,4,0
1603563724,5,2
1603564324,2,1
1603564924,7,8
1603565524,3,0
1603566124,1,0
1603566724,5,14
1603567324,1,23
1603568524,8,0
1603569724,2,2
1603570323,2,1
1603570924,5,0
1603572124,20,4
1603573323,21,0
1603574524,5,3
1603575724,7,31
1603576924,5,20
1603578124,4,11
1603579324,5,8
1603580524,0,1
1603581724,2,0
1603582924,11,3
1603583524,4,6
1603584124,3,12
1603584723,4,0
1603585324,11,0
1603585924,1,2
1603586524,3,4
1603587724,7,3
1603588324,2,0
1603588924,3,1
1603590124,9,4
1603591325,4,9
1603591924,2,5
1603592523,4,14
1603593724,7,0
1603594924,1,17
1603596124,8,3
1603596724,1,0
1603597324,5,2
1603597924,10,0
1603598524,7,4
1603599124,4,4
1603599724,3,7
1603600924,13,6
1603601524,6,0
1603602724,4,4
1603603324,4,1
1603604524,17,0
1603605124,7,1
1603606324,76,3
1603606924,2,23
1603608124,6,0
1603609323,7,0
1603610523,2,4
1603611723,5,9
1603612924,12,2
1603614123,8,10
1603615323,5,12
1603615924,8,1
1603617123,1,3
1603617724,6,10
1603618324,4,0
1603618924,2,5
1603620124,1,4
1603621324,8,13
1603621924,3,0
1603622524,5,1
1603623124,3,0
1603623723,1,0
1603624324,1,1
1603625524,12,1
1603626724,7,4
1603627323,3,0
1603628524,3,11
1603629723,5,4
1603630323,3,0
1603630923,6,7
1603631524,9,0
1603632124,7,6
1603632723,3,0
1603633324,5,0
1603634523,2,9
1603635723,1,8
1603636924,3,19
1603637523,3,0
1603638124,6,8
1603639324,72,4
1603639924,3,0
1603641123,5,0
1603641723,5,3
1603642924,2,2
1603643524,1,3
1603644123,4,7
1603644723,5,0
1603645923,7,2
1603647123,5,1
1603647724,9,0
1603648923,5,2
1603650124,5,9
1603651323,8,0
1603652524,2,4
1603653123,3,0
1603653723,8,0
1603654324,6,7
1603655524,7,10
1603656723,14,7
1603657324,9,0
1603658524,3,1
1603659123,4,8
1603659723,5,1
1603660924,5,1
1603662123,11,1
1603663323,5,18
1603664524,31,6
1603665723,3,3
1603666924,5,14
1603668124,3,0
1603668724,2,3
1603669324,5,1
1603669923,2,0
1603671123,3,5
1603672324,3,2
1603672924,12,3
1603673524,5,0
1603674123,9,0
1603675323,5,17
1603676524,15,0
1603677724,1,2
1603678924,13,2
1603679524,2,0
1603680124,16,0
1603681323,4,23
1603681924,2,1
1603683124,2,0
1603683723,4,0
1603684923,5,2
1603686124,3,1
1603686724,3,1
1603687323,4,0
1603688524,5,9
1603689724,3,4
1603690324,1,0
1603690924,5,4
1603692124,7,1
1603692723,1,10
1603694523,1,2
1603695724,5,2
1603696924,5,8
1603698123,10,6
1603699323,8,1
1603699923,5,0
1603701723,4,2
1603704123,4,2
1603704723,5,8
1603705323,1,0
