DateTime,AddedIPs,RemovedIPs
1603177323,1,0
1603178523,5,0
1603179723,2,0
1603180923,4,0
1603181524,0,1
1603182123,1,0
1603183324,2,0
1603185724,3,2
1603186324,1,0
1603186924,0,1
1603188124,0,1
1603189323,0,1
1603191123,1,0
1603192323,2,0
1603194723,1,0
1603197124,1,1
1603200124,1,2
1603201923,1,1
1603202523,1,0
1603203723,1,2
1603204323,30,0
1603205524,2,0
1603206124,0,1
1603207324,0,3
1603208523,0,1
1603209723,1,1
1603210923,7,3
1603212124,2,0
1603213323,0,1
1603214524,3,0
1603216923,1,2
1603218123,1,0
1603218723,1,3
1603219323,2,0
1603221723,2,1
1603224123,0,1
1603226523,0,6
1603227723,0,10
1603228323,0,2
1603229524,2,0
1603230123,3,0
1603231323,0,2
1603233723,2,1
1603236123,4,6
1603237323,2,0
1603238524,0,1
1603239123,1,1
1603240324,1,3
1603240923,5,0
1603242723,15,3
1603243323,2,0
1603243924,0,1
1603244524,10,2
1603245724,1,1
1603246923,15,1
1603248123,1,0
1603249324,1,0
1603249923,1,1
1603251123,4,5
1603252323,9,0
1603252924,3,0
1603253523,33,0
1603254724,4,11
1603256524,2,0
1603257724,14,2
1603258924,24,1
1603260123,18,0
1603261323,2,1
1603262524,1,2
1603263724,25,0
1603264923,17,2
1603265524,4,5
1603266724,22,0
1603268524,14,5
1603269724,0,6
1603270925,20,0
1603271524,3,0
1603272724,4,1
1603273324,13,2
1603273924,1,4
1603274523,6,0
1603275723,17,0
1603276924,0,3
1603278124,1,1
1603279324,10,5
1603279924,7,0
1603281724,30,1
1603282924,0,2
1603284123,6,1
1603285324,11,1
1603286524,2,1
1603287125,7,0
1603287724,1,0
1603288324,3,2
1603290124,1,0
1603291324,40,3
1603292523,12,1
1603293723,3,5
1603294924,1,0
1603296123,0,2
1603297323,2,0
1603298524,1,2
1603299723,1,9
1603300323,1,0
1603301524,1,8
1603302723,2,1
1603303324,1,0
1603304524,4,1
1603305724,0,10
1603306324,2,0
1603307523,23,4
1603309324,0,3
1603310524,1,0
1603311724,0,2
1603312924,2,2
1603314123,4,0
1603315924,3,3
1603317724,1,8
1603320123,2,7
1603322524,1,0
1603323723,0,6
1603325523,0,2
1603326724,4,6
1603329124,0,1
1603330324,2,3
1603331524,0,1
1603332124,2,1
1603333923,2,0
1603334524,2,4
1603335723,1,1
1603336923,0,2
1603339324,2,4
1603341724,0,1
1603342323,1,0
1603343524,1,4
1603344123,2,1
1603347123,1,1
1603348923,0,3
1603350123,2,0
1603351323,0,2
1603353724,1,4
1603354924,0,2
1603355524,1,0
1603357323,0,3
1603359123,0,2
1603359723,0,3
1603360324,1,1
1603361523,1,3
1603363323,1,1
1603366923,1,0
1603368123,1,0
1603370523,0,1
1603371123,0,5
1603372323,0,2
1603373523,0,2
1603377124,2,1
1603377723,1,0
1603378923,29,3
1603380124,0,1
1603380723,0,1
1603382523,1,0
1603383723,2,1
1603386123,1,0
1603387924,0,2
1603389723,0,9
1603390323,4,1
1603390923,0,1
1603392723,1,1
1603393323,0,1
1603394523,1,0
1603395723,1,8
1603398123,1,0
1603398724,2,0
1603399324,0,1
1603400523,1,0
1603401723,1,1
1603403523,0,5
1603404123,1,0
1603405323,4,2
1603409524,1,0
1603411323,1,4
1603411923,1,0
1603413124,1,4
1603414924,5,5
1603416123,2,1
1603417924,0,1
1603419724,1,0
1603420924,2,1
1603422124,2,4
1603423923,1,0
1603424523,2,2
1603425724,0,4
1603426324,0,4
1603427524,1,0
1603428124,0,4
1603428723,0,3
1603429923,1,1
1603431123,1,2
1603432923,1,0
1603433524,0,5
1603434724,0,1
1603435323,0,3
1603435923,0,3
1603437123,1,0
1603438323,0,2
1603438923,0,2
1603440123,0,6
1603441323,0,1
1603442523,0,6
1603443723,0,2
1603444923,0,2
1603446123,0,5
1603447323,1,0
1603448524,1,1
1603449723,0,3
1603450923,0,1
1603453323,2,3
1603454524,1,0
1603455123,1,0
1603456324,1,1
1603459323,1,0
1603461123,4,2
1603461724,2,0
1603462323,0,2
1603462923,1,23
1603464124,2,3
1603465323,9,0
1603465923,0,3
1603466523,1,3
1603467723,1,3
1603468923,1,0
1603470123,0,5
1603471323,0,3
1603471923,1,0
1603473123,1,0
1603474324,1,0
1603476124,2,0
1603478524,2,10
1603479123,0,13
1603480323,0,4
1603480923,0,6
1603482123,2,3
1603482724,2,0
1603484523,1,1
1603486924,2,0
1603489323,5,0
1603490524,15,0
1603491723,1,1
1603492924,1,3
1603494123,4,6
1603495323,5,0
1603496523,3,2
1603497724,6,0
1603498923,3,2
1603500124,5,0
1603501324,3,0
1603501923,6,1
1603503123,3,0
1603504323,0,2
1603506123,3,2
1603507323,5,0
1603508524,2,0
1603509123,0,1
1603509723,0,4
1603510323,2,0
1603510924,1,1
1603512124,1,0
1603513323,13,0
1603513924,1,0
1603515123,2,0
1603515723,18,0
1603516923,1,1
1603517524,65,11
1603518724,11,0
1603519324,1,1
1603521723,1,5
1603522923,32,0
1603524124,4,0
1603524723,23,59
1603525323,12,0
1603526524,18,2
1603527724,4,0
1603528924,16,1
1603530123,2,1
