DateTime,Entries,UniqueIPs
1601532002,4726,4726
1601535602,4955,4955
1601539202,5079,5079
1601542802,5220,5220
1601548202,5405,5405
1601553602,5586,5586
1601560802,5872,5872
1601564403,5996,5996
1601568002,6119,6119
1601572502,6263,6263
1601576102,6385,6385
1601583302,6614,6614
1601586901,6728,6728
1601590501,6846,6846
1601595002,6963,6963
1601598603,4545,4545
1601605802,4932,4932
1601613002,5157,5157
1601620202,5340,5340
1601623802,5475,5475
1601627401,5578,5578
1601631002,5690,5690
1601634602,5791,5791
1601638202,5905,5905
1601641802,6015,6015
1601646302,6225,6225
1601649901,6474,6474
1601653501,6637,6637
1601657102,6810,6810
1601660702,6885,6885
1601664302,6977,6977
1601667902,7065,7065
1601671502,7164,7164
1601675102,7237,7237
1601682302,7424,7424
1601685902,4681,4681
1601690402,4810,4810
1601694002,4958,4958
1601697602,5050,5050
1601701202,5159,5159
1601704802,5253,5253
1601708401,5354,5354
1601712003,5468,5468
1601715602,5557,5557
1601722802,5731,5731
1601730002,5936,5936
1601737202,6088,6088
1601744402,6288,6288
1601748002,6375,6375
1601751602,6490,6490
1601755202,6571,6571
1601762403,6741,6741
1601766003,6843,6843
1601770502,3924,3924
1601774102,4011,4011
1601781302,4211,4211
1601784901,4285,4285
1601788501,4389,4389
1601792102,4492,4492
1601799302,4659,4659
1601803802,4766,4766
1601807402,4857,4857
1601811002,4963,4963
1601818202,5128,5128
1601821802,5215,5215
1601825402,5301,5301
1601829001,5400,5400
1601832602,5493,5493
1601836202,5572,5572
1601840701,5697,5697
1601844302,5774,5774
1601847902,5877,5877
1601851502,5951,5951
1601858701,3641,3641
1601865902,3905,3905
1601869501,4011,4011
1601873102,4145,4145
1601876702,4277,4277
1601884801,4565,4565
1601888402,4703,4703
1601892002,4819,4819
1601895603,4942,4942
1601899202,5107,5107
1601902802,5240,5240
1601906402,5399,5399
1601910002,5576,5576
1601913602,5687,5687
1601920802,5937,5937
1601924402,6072,6072
1601931602,6296,6296
1601935202,6403,6403
1601938802,6491,6491
1601942402,4446,4446
1601946002,4567,4567
1601949602,4711,4711
1601957701,4986,4986
1601964902,5200,5200
1601972102,5456,5456
1601975702,5598,5598
1601979302,5746,5746
1601982902,5871,5871
1601986502,6018,6018
1601990101,6267,6267
1601997302,6576,6576
1602000902,6686,6686
1602004501,6794,6794
1602009002,6898,6898
1602012602,6977,6977
1602016202,7084,7084
1602019802,7206,7206
1602023402,7298,7298
1602030601,4638,4638
1602037801,4821,4821
1602045002,5008,5008
1602052201,5268,5268
1602055802,5396,5396
1602063001,5634,5634
1602067502,5788,5788
1602071101,5896,5896
1602074702,6010,6010
1602078301,6166,6166
1602081902,6334,6334
1602085502,6429,6429
1602089101,6525,6525
1602096302,6745,6745
1602103502,6976,6976
1602107102,7067,7067
1602110702,7155,7155
1602114302,7249,7249
1602118802,4300,4300
1602122401,4411,4411
1602126002,4504,4504
1602129603,4610,4610
1602133202,4708,4708
1602136802,4815,4815
1602140403,4954,4954
1602144001,5082,5082
1602151202,5276,5276
1602154802,5397,5397
1602162002,5621,5621
1602165602,5760,5760
1602169202,5855,5855
1602172803,5953,5953
1602177302,6076,6076
1602180902,6565,6565
1602188101,6766,6766
1602195302,6947,6947
1602198902,7046,7046
1602202502,4452,4452
1602206101,4544,4544
1602209701,4659,4659
1602213302,4752,4752
1602216901,4841,4841
1602220502,4924,4924
1602227702,5169,5169
1602231302,5258,5258
1602235801,5387,5387
1602239402,5493,5493
1602243002,5617,5617
1602246601,5801,5801
1602253802,6088,6088
1602261002,6375,6375
1602268201,6641,6641
1602271802,6732,6732
1602275401,6839,6839
1602279002,6948,6948
1602286202,7088,7088
1602289802,4138,4138
1602293402,4245,4245
1602297902,4368,4368
1602301502,4454,4454
1602305102,4597,4597
1602308703,4727,4727
1602312302,4835,4835
1602319502,5030,5030
1602323101,5191,5191
1602326702,5294,5294
1602330302,5433,5433
1602333901,5534,5534
1602337502,5658,5658
1602344702,5879,5879
1602348302,5968,5968
1602355502,6187,6187
1602360002,6278,6278
1602363602,6375,6375
1602367202,6430,6430
1602370802,6502,6502
1602374402,3753,3753
1602378002,3846,3846
1602385202,4051,4051
1602388803,4183,4183
1602392403,4278,4278
1602396003,4371,4371
1602399602,4520,4520
1602403202,4685,4685
1602407702,4833,4833
1602414901,5047,5047
1602418501,5161,5161
1602425701,5416,5416
1602429302,5514,5514
1602433802,5683,5683
1602441002,5944,5944
1602448202,6151,6151
1602451802,6267,6267
1602455402,6346,6346
1602459001,6419,6419
1602466202,4096,4096
1602470702,4325,4325
1602474302,4467,4467
1602477902,4621,4621
1602485102,4897,4897
1602492301,5203,5203
1602499502,5565,5565
1602503102,5713,5713
1602506701,5905,5905
1602510302,6031,6031
1602517501,6335,6335
1602521101,6496,6496
1602529202,6817,6817
1602532802,6939,6939
1602536402,7050,7050
1602540002,7179,7179
1602543602,7288,7288
1602547201,4816,4816
1602554401,5053,5053
1602558002,5190,5190
1602561602,5286,5286
1602565202,5447,5447
1602568802,5554,5554
1602572402,5700,5700
1602576002,5889,5889
1602580502,6077,6077
1602584102,6246,6246
1602587702,6377,6377
1602591302,6510,6510
1602598502,6803,6803
1602603002,6997,6997
1602610201,7300,7300
1602613802,7390,7390
1602617402,7514,7514
1602621002,7647,7647
1602624602,7792,7792
1602628202,7907,7907
1602631801,8039,8039
1602639002,4925,4925
1602643502,5061,5061
1602647102,5169,5169
1602650702,5274,5274
1602654302,5422,5422
1602661502,5731,5731
1602665102,5871,5871
1602668702,6000,6000
1602672302,6144,6144
1602675902,6332,6332
1602679501,6463,6463
1602683103,6641,6641
1602691202,6986,6986
1602694802,7142,7142
1602698403,7295,7295
1602702002,7449,7449
1602705602,7565,7565
1602709202,7681,7681
1602712802,7810,7810
1602720003,4698,4698
1602723603,4860,4860
1602727203,4983,4983
1602730802,5121,5121
1602734402,5229,5229
1602738002,5361,5361
1602741602,5510,5510
1602745203,5706,5706
1602748802,5876,5876
1602752403,6057,6057
1602756002,6204,6204
1602759603,6347,6347
1602766803,6642,6642
1602770403,6795,6795
1602777602,7069,7069
1602782102,7287,7287
1602785702,7396,7396
1602789302,7538,7538
1602792902,7648,7648
1602800101,7880,7880
1602807302,4791,4791
1602814502,5029,5029
1602818103,5175,5175
1602821703,5317,5317
1602825302,5446,5446
1602828902,5532,5532
1602832502,5652,5652
1602837002,5844,5844
1602840603,6006,6006
1602844203,6134,6134
1602851402,6506,6506
1602858602,6780,6780
1602865802,7062,7062
1602873002,7296,7296
1602876602,7415,7415
1602880203,7503,7503
1602883803,7614,7614
1602888302,7719,7719
1602891903,7791,7791
1602895502,4551,4551
1602899102,4663,4663
1602902703,4762,4762
1602906303,4884,4884
1602909902,4979,4979
1602917103,5182,5182
1602924302,5486,5486
1602927902,5620,5620
1602931502,5735,5735
1602935102,5876,5876
1602938702,6003,6003
1602942302,6102,6102
1602949502,6388,6388
1602953102,6515,6515
1602956701,6625,6625
1602960302,6736,6736
1602964802,6896,6896
1602968402,6997,6997
1602972002,7089,7089
1602975602,7230,7230
1602979203,4191,4191
1602982803,4327,4327
1602986402,4461,4461
1602990002,4580,4580
1602997202,4777,4777
1603000802,4872,4872
1603004402,4985,4985
1603008001,5079,5079
1603015202,5315,5315
1603018802,5424,5424
1603026002,5699,5699
1603029602,5818,5818
1603037701,6093,6093
1603044903,6397,6397
1603048503,6564,6564
1603052102,6679,6679
1603055701,6774,6774
1603059303,6877,6877
1603063802,6971,6971
1603067402,4124,4124
1603074601,4363,4363
1603081802,4594,4594
1603089002,4895,4895
1603096201,5301,5301
1603099802,5470,5470
1603104302,5661,5661
1603107902,5801,5801
1603111502,5966,5966
1603115102,6139,6139
1603118702,6292,6292
1603122302,6455,6455
1603129501,6712,6712
1603133102,6838,6838
1603136702,6962,6962
1603140301,7063,7063
1603143902,7156,7156
1603147502,7277,7277
1603151102,7370,7370
1603158302,4903,4903
1603161901,5048,5048
1603170003,5412,5412
1603173603,5562,5562
1603177202,5680,5680
1603180802,5821,5821
1603184402,5961,5961
1603188003,6114,6114
1603195203,6408,6408
1603198802,6558,6558
1603206002,6926,6926
1603209602,7073,7073
1603213202,7195,7195
1603216802,7307,7307
1603220402,7418,7418
1603227602,7684,7684
1603231202,7843,7843
1603239302,4972,4972
1603242902,5114,5114
1603246502,5238,5238
1603253702,5467,5467
1603257302,5619,5619
1603260902,5778,5778
1603268102,6011,6011
1603271702,6177,6177
1603278902,6480,6480
1603282502,6616,6616
1603287002,6815,6815
1603290602,7000,7000
