DateTime,AddedIPs,RemovedIPs
1599436188,1,0
1599443426,2,0
1599450598,1,0
1599457900,2,0
1599465162,1,0
1599468769,1,0
1599472394,1,0
1599476096,1,0
1599486834,1,0
1599494015,2,0
1599501169,5,0
1599508487,1,0
1599515662,1,0
1599523106,1,0
1599537604,2,0
1599544851,5,0
1599554439,4,0
1599568913,1,0
1599583331,1,0
1599586911,1,0
1599601285,2,0
1599623018,1,0
1599630242,2,0
1599634011,1,0
1599644902,3,0
1599652130,1,0
1599659357,1,0
1599666600,1,0
1599681060,2,0
1599699105,1,0
1599702711,2,0
1599713301,1,0
1599727683,1,0
1599741574,1,0
1599758324,6,0
1599765555,2,0
1599769251,1,0
1599772859,1,0
1599776447,1,0
1599787537,1,0
1599794760,3,0
1599801906,2,0
1599809164,1,0
1599812745,1,0
1599816401,1,0
1599823685,1,0
1599830870,2,0
1599847771,1,0
1599857343,6,0
1599864549,6,0
1599868422,1,0
1599872072,4,0
1599875923,1,0
1599879614,5,0
1599886928,1,0
1599894238,1,0
1599901540,2,0
1599926115,1,0
1599929751,1,0
1599948172,11,0
1599955342,1,0
1599959313,3,0
1599966223,6,0
1599972376,9,0
1599979874,3,0
1599987327,2,0
1600002262,2,0
1600019645,1,0
1600034612,2,0
1600038333,2,0
1600041830,2,0
1600045576,1,0
1600051407,2,0
1600059109,1,0
1600074001,1,0
1600089329,3,0
1600096736,3,0
1600118062,2,0
1600123862,1,0
1600131122,4,0
1600138392,3,0
1600142032,1,0
1600145662,3,0
1600160664,27,0
1600164854,1,0
1600170851,1,0
1600178554,29,0
1600182330,1,0
1600190558,1,0
1600194549,2,0
1600202528,15,0
1600210613,27,0
1600229696,4,0
1600246220,2,0
1600256863,1,0
1600260973,1,0
1600265081,2,0
1600273005,1,0
1600288302,2,0
1600292390,1,0
1600296595,1,0
1600312814,2,0
1600320874,2,0
1600329017,5,0
1600337279,4,0
1600353655,2,0
1600369952,1,0
1600378187,1,0
1600382379,1,0
1600386501,2,0
1600407506,1,0
1600411275,1,0
1600415362,2,0
1600419441,1,0
1600423591,1,0
1600431678,1,0
1600435868,2,0
1600449204,2,0
1600453367,1,0
1600457436,8,0
1600470299,1,0
1600478680,4,0
1600495616,2,0
1600504068,1,0
1600508241,1,0
1600512521,1,0
1600520261,1,0
1600530993,2,0
1600535104,2,0
1600543163,1,0
1600551784,1,0
1600572224,2,0
1600582855,6,0
1600599465,2,0
1600610192,1,0
1600618454,1,0
1600622617,1,0
1600626762,2,0
1600639290,1,0
1600647142,2,0
1600651317,1,0
1600659659,1,0
1600663855,3,0
1600672200,2,0
1600680609,4,0
1600688989,10,0
1600693202,1,0
1600706055,1,0
