DateTime,AddedIPs,RemovedIPs
1601195582,0,1
1601199181,2,2
1601206381,0,1
1601209981,0,5
1601220781,0,1
1601224381,1,0
1601227981,0,1
1601231581,2,0
1601238781,1,5
1601245981,0,3
1601249581,0,4
1601253181,0,3
1601256781,1,0
1601260381,1,2
1601263981,0,2
1601267582,0,2
1601278382,0,1
1601281981,0,3
1601285582,1,3
1601289182,0,1
1601296381,3,4
1601303581,0,6
1601310781,1,2
1601314381,1,0
1601317982,1,9
1601321581,0,1
1601325181,0,2
1601328781,2,1
1601335982,0,3
1601339582,1,1
1601343181,1,1
1601350381,1,1
1601353981,0,3
1601357581,0,1
1601361181,1,0
1601364781,0,6
1601371982,0,3
1601375581,3,2
1601379181,2,0
1601382781,0,2
1601386381,0,3
1601389981,0,4
1601393581,1,0
1601397182,0,6
1601404381,0,8
1601407981,0,5
1601411581,1,0
1601415182,1,1
1601422381,1,0
1601425981,0,2
1601436781,1,1
1601440381,1,1
1601443981,1,1
1601454782,1,0
1601458381,2,1
1601461982,1,2
1601469181,1,3
1601472781,2,0
1601476381,1,6
1601483581,3,3
1601487181,2,2
1601490781,3,0
1601494381,1,0
1601497981,1,7
1601501581,1,0
1601505181,1,1
1601508781,1,0
1601512381,2,5
1601519581,1,0
1601526781,0,1
1601530382,0,3
1601533981,1,0
1601537581,0,1
1601544781,0,3
1601551981,0,1
1601559181,2,0
1601562782,1,2
1601566381,2,0
1601569981,0,2
1601573581,2,0
1601577182,2,1
1601587982,0,6
1601595181,0,5
1601602381,0,3
1601620382,0,1
1601623981,0,1
1601627581,0,3
1601631181,1,0
1601634781,0,4
1601641982,0,4
1601645581,1,0
1601649182,0,2
1601652781,0,1
1601659981,0,2
1601667181,0,1
1601674381,1,1
1601677981,0,1
1601685181,0,3
1601692382,0,2
1601699581,1,2
1601706781,0,1
1601717581,0,2
1601724781,1,2
1601728381,1,5
1601731982,0,1
1601735581,0,3
1601739181,2,0
1601742782,1,0
1601749982,0,2
1601753581,1,1
1601767981,1,0
1601771581,0,1
1601785981,3,0
1601803981,0,1
1601807581,1,0
1601818381,0,1
1601821981,1,2
1601829182,0,1
1601832781,0,1
1601850782,0,1
1601854382,1,2
1601865181,0,1
1601872382,1,1
1601893981,0,2
1601901181,1,2
1601904781,0,4
1601911982,1,5
1601915582,1,0
1601919181,1,2
1601922781,1,1
1601929981,1,0
1601937181,0,1
1601940781,0,1
1601955182,0,2
1601969581,1,1
1601976781,0,1
1601983981,3,1
1601991181,2,1
1601994782,1,0
1602005581,1,0
1602016381,0,1
1602034381,1,1
1602037982,0,1
1602048782,0,1
1602052381,3,0
1602066782,1,0
1602073982,1,1
1602077581,1,0
1602081181,1,1
1602084781,1,0
1602088381,3,1
1602091982,1,0
1602095582,0,2
1602099181,1,2
1602102781,0,1
